GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	62920	98588	12	0.2277
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	98602	69010166	40799	-0.2269
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	69010526	74339653	3180	-0.2538
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	74340060	74340481	2	-2.062
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	74340868	105470754	19780	-0.2484
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	105476583	105479753	17	0.4173
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	105481433	108951525	2291	-0.2645
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	108954232	108955523	14	-1.0236
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	108961034	109684893	333	-0.2332
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	109690352	109696900	11	0.396
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	109697533	110833598	838	-0.2872
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	110834746	110841350	37	0.0922
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	110845562	119811396	6032	-0.2555
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	119811798	120146498	127	0.1069
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	120370887	121386039	23	-0.1648
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	121389102	121593055	73	0.1544
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	121593930	145977872	282	0.4121
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	145978426	152583051	2167	0.607
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	152583230	152614118	35	1.6415
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	152618018	153864145	896	0.6046
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	153874357	155210675	651	0.3999
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	155219369	155231273	11	1.3885
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	155241876	169265291	9931	0.4189
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	169268642	169272528	5	-0.558
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	169273163	174192814	3223	0.4013
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	174195274	174197402	3	-1.1599
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	174200703	175859909	1074	0.4022
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	175862597	175948595	66	0.1246
3d4afc95-7df5-44f4-a947-7ec42516b33b	1	175955307	219971171	29727	0.4295
