GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	62920	266187	17	0.0069
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	462795	462894	2	2.5092
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	599171	25256850	14002	-0.0002
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	25266637	25320455	24	-1.8062
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	25336819	72303233	28720	-0.001
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	72303253	72345465	45	-1.3006
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	72346221	89009572	10914	0.0042
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	89012275	89012522	2	-2.6179
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	89015841	99904217	6828	0.0021
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	99906499	99906514	2	-1.2563
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	99906686	103613180	2244	0.0041
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	103614539	103621165	8	-0.9795
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	103697067	103717410	3	2.3245
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	103717617	105476614	921	-0.0148
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	105476688	105481448	17	-0.6615
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	105481468	109690352	2634	0.0099
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	109690431	109697556	11	-0.6232
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	109702376	110834746	836	-0.0028
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	110834943	110845604	38	-0.8061
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	110849445	120885464	6162	-0.0005
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	120885477	120954128	2	1.4668
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	120954165	121705338	95	0.0195
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	143459641	143927887	126	0.5292
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	143928045	152583051	2318	0.0013
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	152583230	152588065	9	-1.0673
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	152588392	152613762	22	-2.2271
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	152613802	152614118	4	-1.1659
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	152618018	157508748	2693	-0.0087
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	157512664	157513157	2	-1.6652
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	157513483	196742057	26929	0.0019
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	196745692	196847600	64	0.3638
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	1	196854187	248930189	35788	0.0011
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	2	12784	4169966	2998	0.003
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	2	4170084	4174949	23	0.4118
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	2	4175059	34458223	21050	0.0047
f5ac36a0-58bf-4246-928f-5a1c16b9eef1	2	34460213	34512096	49	0.4768
