GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	62920	462894	19	0.1559
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	599171	3587509	845	-0.5737
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	3595777	4830065	971	-0.4851
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	4831543	4834890	3	-1.898
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	4836180	10107889	3186	-0.465
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	10111373	10128616	4	-1.9486
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	10129523	15827002	3271	-0.4579
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	15827041	15827338	3	-1.7855
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	15827362	16605031	309	-0.4258
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	16609512	16855942	50	-0.9164
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	16863509	16912972	25	0.257
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	16915871	16920587	6	-0.6135
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	16921178	16949746	25	-0.0216
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	16951445	25256850	5243	-0.4682
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	25266637	25320455	24	-1.7997
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	25336819	72303233	28619	-0.4665
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	72303253	72345450	43	-2.1142
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	72345465	75585159	1923	-0.4686
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	75589078	75589169	2	-3.0996
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	75593824	77999926	1640	-0.4614
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	78008569	79024617	594	0.0642
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	79024676	80758676	1119	-0.4497
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	80758821	81405036	458	0.0002
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	81405068	86307363	3368	-0.4761
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	86311139	86312583	2	-2.6572
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	86314399	105470754	11769	-0.4691
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	105476583	105479753	17	0.1495
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	105481433	112147704	4573	-0.4623
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	112153343	112154375	17	-1.5558
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	112154390	113898587	1027	-0.4757
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	113902991	117910756	2677	-0.0054
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	117911201	118139654	111	0.4351
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	118143502	121013779	1250	0.0002
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	121074420	121426988	16	0.3969
59704246-073a-4b1e-96ea-1fe6ee6df2a4	1	121430469	143754062	188	0.9847
