GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
768f2554-8fad-45ab-8d38-52a1b6a60226	1	62920	259407	14	-0.5614
768f2554-8fad-45ab-8d38-52a1b6a60226	1	259422	2944517	565	0.2296
768f2554-8fad-45ab-8d38-52a1b6a60226	1	2947232	16480729	8050	0.1228
768f2554-8fad-45ab-8d38-52a1b6a60226	1	16482199	16999460	147	0.3801
768f2554-8fad-45ab-8d38-52a1b6a60226	1	17003142	21820786	3229	0.1247
768f2554-8fad-45ab-8d38-52a1b6a60226	1	21825156	21825701	2	2.0347
768f2554-8fad-45ab-8d38-52a1b6a60226	1	21833618	21985415	87	0.069
768f2554-8fad-45ab-8d38-52a1b6a60226	1	21991690	22047131	25	0.6482
768f2554-8fad-45ab-8d38-52a1b6a60226	1	22052457	25256138	1892	0.1224
768f2554-8fad-45ab-8d38-52a1b6a60226	1	25256188	25359294	38	0.4996
768f2554-8fad-45ab-8d38-52a1b6a60226	1	25359353	30266452	2383	0.1129
768f2554-8fad-45ab-8d38-52a1b6a60226	1	30266509	30266949	2	-2.3606
768f2554-8fad-45ab-8d38-52a1b6a60226	1	30268649	72280884	26311	0.1246
768f2554-8fad-45ab-8d38-52a1b6a60226	1	72280898	72297687	12	-0.6544
768f2554-8fad-45ab-8d38-52a1b6a60226	1	72302735	72323161	22	0.9326
768f2554-8fad-45ab-8d38-52a1b6a60226	1	72323928	109690352	23619	0.1294
768f2554-8fad-45ab-8d38-52a1b6a60226	1	109690415	109697556	12	2.4973
768f2554-8fad-45ab-8d38-52a1b6a60226	1	109702376	121573699	7122	0.1322
768f2554-8fad-45ab-8d38-52a1b6a60226	1	121580012	144458153	146	0.457
768f2554-8fad-45ab-8d38-52a1b6a60226	1	144462189	152583051	2303	0.1343
768f2554-8fad-45ab-8d38-52a1b6a60226	1	152583230	152613802	32	1.3751
768f2554-8fad-45ab-8d38-52a1b6a60226	1	152614064	152787202	170	0.1437
768f2554-8fad-45ab-8d38-52a1b6a60226	1	152789447	152796224	37	0.6119
768f2554-8fad-45ab-8d38-52a1b6a60226	1	152801429	178874546	17446	0.1168
768f2554-8fad-45ab-8d38-52a1b6a60226	1	178875118	206990508	18555	0.0993
768f2554-8fad-45ab-8d38-52a1b6a60226	1	206991153	248930189	29270	0.1264
768f2554-8fad-45ab-8d38-52a1b6a60226	2	12784	34474248	24070	0.1087
768f2554-8fad-45ab-8d38-52a1b6a60226	2	34476327	34512096	46	0.9137
768f2554-8fad-45ab-8d38-52a1b6a60226	2	34512489	52511902	12988	0.104
768f2554-8fad-45ab-8d38-52a1b6a60226	2	52511964	52538470	29	-0.4287
768f2554-8fad-45ab-8d38-52a1b6a60226	2	52538485	87074984	21992	0.1053
768f2554-8fad-45ab-8d38-52a1b6a60226	2	87079825	87674944	122	-0.2131
768f2554-8fad-45ab-8d38-52a1b6a60226	2	87695122	89960252	666	0.1312
768f2554-8fad-45ab-8d38-52a1b6a60226	2	89963133	90209658	113	-0.5691
768f2554-8fad-45ab-8d38-52a1b6a60226	2	90209918	97184260	925	0.1132
768f2554-8fad-45ab-8d38-52a1b6a60226	2	97188422	97211436	16	0.8298
768f2554-8fad-45ab-8d38-52a1b6a60226	2	97310327	127094445	17945	0.105
768f2554-8fad-45ab-8d38-52a1b6a60226	2	127099470	127100187	2	2.5123
768f2554-8fad-45ab-8d38-52a1b6a60226	2	127100370	130022674	1913	0.1064
768f2554-8fad-45ab-8d38-52a1b6a60226	2	130024177	130539652	120	0.3873
768f2554-8fad-45ab-8d38-52a1b6a60226	2	130560276	146107526	9423	0.0764
768f2554-8fad-45ab-8d38-52a1b6a60226	2	146107615	146109097	13	-1.6139
768f2554-8fad-45ab-8d38-52a1b6a60226	2	146109139	163780342	10580	0.0937
768f2554-8fad-45ab-8d38-52a1b6a60226	2	163786978	163787246	3	-2.094
768f2554-8fad-45ab-8d38-52a1b6a60226	2	163788025	188254196	15116	0.0901
768f2554-8fad-45ab-8d38-52a1b6a60226	2	188255201	188262203	4	-2.3205
768f2554-8fad-45ab-8d38-52a1b6a60226	2	188264331	197281171	5142	0.0902
768f2554-8fad-45ab-8d38-52a1b6a60226	2	197283052	197283467	3	-1.5437
768f2554-8fad-45ab-8d38-52a1b6a60226	2	197283846	242147305	28161	0.0878
768f2554-8fad-45ab-8d38-52a1b6a60226	3	20930	2016797	1794	-0.2342
768f2554-8fad-45ab-8d38-52a1b6a60226	3	2018209	21736651	14455	-0.1056
768f2554-8fad-45ab-8d38-52a1b6a60226	3	21737551	22172202	456	-0.2651
768f2554-8fad-45ab-8d38-52a1b6a60226	3	22176672	26751327	3424	-0.1151
768f2554-8fad-45ab-8d38-52a1b6a60226	3	26751914	26751964	2	-2.7934
768f2554-8fad-45ab-8d38-52a1b6a60226	3	26751988	37935926	7445	-0.1115
768f2554-8fad-45ab-8d38-52a1b6a60226	3	37940970	37945615	18	-1.2261
768f2554-8fad-45ab-8d38-52a1b6a60226	3	37945651	46804886	5566	-0.1003
768f2554-8fad-45ab-8d38-52a1b6a60226	3	46805751	52988851	2493	-0.1503
768f2554-8fad-45ab-8d38-52a1b6a60226	3	52988877	59750573	4600	-0.0964
768f2554-8fad-45ab-8d38-52a1b6a60226	3	59750788	61061283	1476	-0.1806
768f2554-8fad-45ab-8d38-52a1b6a60226	3	61061605	65213893	3539	-0.0994
768f2554-8fad-45ab-8d38-52a1b6a60226	3	65214027	65221229	12	0.7946
768f2554-8fad-45ab-8d38-52a1b6a60226	3	65221269	75345284	7293	-0.1116
768f2554-8fad-45ab-8d38-52a1b6a60226	3	75348062	75853758	139	0.314
768f2554-8fad-45ab-8d38-52a1b6a60226	3	75863200	95919900	9122	-0.144
768f2554-8fad-45ab-8d38-52a1b6a60226	3	95920170	125705628	18002	-0.1092
768f2554-8fad-45ab-8d38-52a1b6a60226	3	125706925	125750578	18	0.8164
768f2554-8fad-45ab-8d38-52a1b6a60226	3	125756491	130035092	2450	-0.1094
768f2554-8fad-45ab-8d38-52a1b6a60226	3	130035506	130201415	78	0.5265
768f2554-8fad-45ab-8d38-52a1b6a60226	3	130202376	149245176	11855	-0.1072
768f2554-8fad-45ab-8d38-52a1b6a60226	3	149245189	149250334	26	-0.6224
768f2554-8fad-45ab-8d38-52a1b6a60226	3	149253293	152629969	2176	-0.1247
768f2554-8fad-45ab-8d38-52a1b6a60226	3	152630166	152633491	20	0.4919
768f2554-8fad-45ab-8d38-52a1b6a60226	3	152633722	162803704	6137	-0.1124
768f2554-8fad-45ab-8d38-52a1b6a60226	3	162803835	162908192	59	0.5958
768f2554-8fad-45ab-8d38-52a1b6a60226	3	162908207	173467502	6302	-0.1392
768f2554-8fad-45ab-8d38-52a1b6a60226	3	173467586	173684990	149	-0.3799
768f2554-8fad-45ab-8d38-52a1b6a60226	3	173687166	175400322	1232	-0.1057
768f2554-8fad-45ab-8d38-52a1b6a60226	3	175400876	175966875	350	-0.2739
768f2554-8fad-45ab-8d38-52a1b6a60226	3	175969845	186668814	6341	-0.112
768f2554-8fad-45ab-8d38-52a1b6a60226	3	186668830	186709205	47	0.2811
768f2554-8fad-45ab-8d38-52a1b6a60226	3	186709267	193156958	4712	-0.1182
768f2554-8fad-45ab-8d38-52a1b6a60226	3	193160113	193161217	7	1.2955
768f2554-8fad-45ab-8d38-52a1b6a60226	3	193162684	198169247	2707	-0.0869
768f2554-8fad-45ab-8d38-52a1b6a60226	4	68929	117100	34	-0.155
768f2554-8fad-45ab-8d38-52a1b6a60226	4	121227	3884081	1533	0.0865
768f2554-8fad-45ab-8d38-52a1b6a60226	4	3896017	4176082	76	0.5201
768f2554-8fad-45ab-8d38-52a1b6a60226	4	4180275	8704538	3445	0.1164
768f2554-8fad-45ab-8d38-52a1b6a60226	4	8705301	8720526	8	-0.7266
768f2554-8fad-45ab-8d38-52a1b6a60226	4	8722817	9652366	112	0.525
768f2554-8fad-45ab-8d38-52a1b6a60226	4	9657770	51840547	26515	0.0989
768f2554-8fad-45ab-8d38-52a1b6a60226	4	51848303	57837627	4073	0.0155
768f2554-8fad-45ab-8d38-52a1b6a60226	4	57838675	61727618	2325	-0.008
768f2554-8fad-45ab-8d38-52a1b6a60226	4	61729634	62802116	579	-0.1483
768f2554-8fad-45ab-8d38-52a1b6a60226	4	62804218	62813912	9	0.7639
768f2554-8fad-45ab-8d38-52a1b6a60226	4	62818784	63832015	560	-0.152
768f2554-8fad-45ab-8d38-52a1b6a60226	4	63832110	63841887	17	0.5482
768f2554-8fad-45ab-8d38-52a1b6a60226	4	63842036	63877078	23	-0.5464
768f2554-8fad-45ab-8d38-52a1b6a60226	4	63877992	68354665	2823	-0.1083
768f2554-8fad-45ab-8d38-52a1b6a60226	4	68361130	68501424	23	-0.5009
768f2554-8fad-45ab-8d38-52a1b6a60226	4	68506285	69254604	376	-0.0507
768f2554-8fad-45ab-8d38-52a1b6a60226	4	69254981	69460938	119	0.24
768f2554-8fad-45ab-8d38-52a1b6a60226	4	69461736	71539972	1219	-0.0596
768f2554-8fad-45ab-8d38-52a1b6a60226	4	71540749	71541012	2	2.6158
768f2554-8fad-45ab-8d38-52a1b6a60226	4	71544631	107147161	21588	-0.0705
768f2554-8fad-45ab-8d38-52a1b6a60226	4	107147227	107150731	6	1.1335
768f2554-8fad-45ab-8d38-52a1b6a60226	4	107152350	112019239	2965	-0.0655
768f2554-8fad-45ab-8d38-52a1b6a60226	4	112019356	112020171	2	-1.7564
768f2554-8fad-45ab-8d38-52a1b6a60226	4	112020325	113090278	616	-0.0844
768f2554-8fad-45ab-8d38-52a1b6a60226	4	113092484	113094380	7	-0.9058
768f2554-8fad-45ab-8d38-52a1b6a60226	4	113095080	114252500	822	-0.0602
768f2554-8fad-45ab-8d38-52a1b6a60226	4	114252544	114263073	25	-0.7997
768f2554-8fad-45ab-8d38-52a1b6a60226	4	114263096	129802344	9194	-0.06
768f2554-8fad-45ab-8d38-52a1b6a60226	4	129802567	137040260	3949	-0.1184
768f2554-8fad-45ab-8d38-52a1b6a60226	4	137042363	137050140	5	-1.5387
