GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d8443076-8b71-4254-8bb7-148545d25ee3	1	62920	3423671	817	-0.255
d8443076-8b71-4254-8bb7-148545d25ee3	1	3424165	17837427	8522	-0.0946
d8443076-8b71-4254-8bb7-148545d25ee3	1	17842526	17842579	2	-2.4436
d8443076-8b71-4254-8bb7-148545d25ee3	1	17844851	30264526	7079	-0.0942
d8443076-8b71-4254-8bb7-148545d25ee3	1	30265508	30272363	11	-1.1351
d8443076-8b71-4254-8bb7-148545d25ee3	1	30274729	34626073	2547	-0.0795
d8443076-8b71-4254-8bb7-148545d25ee3	1	34637053	34649941	22	-0.7791
d8443076-8b71-4254-8bb7-148545d25ee3	1	34650960	75585159	25736	-0.0845
d8443076-8b71-4254-8bb7-148545d25ee3	1	75589078	75589169	2	-3.3635
d8443076-8b71-4254-8bb7-148545d25ee3	1	75593824	102364324	17464	-0.0772
d8443076-8b71-4254-8bb7-148545d25ee3	1	102364344	102364435	2	-2.2182
d8443076-8b71-4254-8bb7-148545d25ee3	1	102364451	103614714	627	-0.0821
d8443076-8b71-4254-8bb7-148545d25ee3	1	103615687	103620877	4	-1.3472
d8443076-8b71-4254-8bb7-148545d25ee3	1	103621165	107427443	2262	-0.0595
d8443076-8b71-4254-8bb7-148545d25ee3	1	107428786	107430504	2	-1.7215
d8443076-8b71-4254-8bb7-148545d25ee3	1	107433671	109677968	1307	-0.111
d8443076-8b71-4254-8bb7-148545d25ee3	1	109678117	109702376	18	0.4682
d8443076-8b71-4254-8bb7-148545d25ee3	1	109703504	121598439	7130	-0.0824
d8443076-8b71-4254-8bb7-148545d25ee3	1	121601998	143890323	124	0.2287
d8443076-8b71-4254-8bb7-148545d25ee3	1	143893019	144451288	13	-0.2159
d8443076-8b71-4254-8bb7-148545d25ee3	1	144451316	152583319	2312	0.6566
d8443076-8b71-4254-8bb7-148545d25ee3	1	152583408	152613762	28	1.7897
d8443076-8b71-4254-8bb7-148545d25ee3	1	152613802	152789570	176	0.6812
d8443076-8b71-4254-8bb7-148545d25ee3	1	152789781	152796224	32	1.1303
d8443076-8b71-4254-8bb7-148545d25ee3	1	152801429	169247699	11289	0.6491
d8443076-8b71-4254-8bb7-148545d25ee3	1	169264736	169269507	6	1.7758
d8443076-8b71-4254-8bb7-148545d25ee3	1	169272528	187746723	12210	0.6492
d8443076-8b71-4254-8bb7-148545d25ee3	1	187748429	187752238	2	-2.2084
d8443076-8b71-4254-8bb7-148545d25ee3	1	187755479	188846710	692	0.6386
d8443076-8b71-4254-8bb7-148545d25ee3	1	188851404	188855750	2	-1.0132
d8443076-8b71-4254-8bb7-148545d25ee3	1	188856415	189128142	190	0.6287
d8443076-8b71-4254-8bb7-148545d25ee3	1	189128325	189128625	3	-0.8513
d8443076-8b71-4254-8bb7-148545d25ee3	1	189129354	195972897	4598	0.6538
d8443076-8b71-4254-8bb7-148545d25ee3	1	195973161	195979825	2	-1.2352
d8443076-8b71-4254-8bb7-148545d25ee3	1	195980501	196758720	482	0.659
d8443076-8b71-4254-8bb7-148545d25ee3	1	196761905	196762956	3	-1.0862
d8443076-8b71-4254-8bb7-148545d25ee3	1	196769493	196843377	55	0.8045
d8443076-8b71-4254-8bb7-148545d25ee3	1	196843400	196846661	2	4.2297
d8443076-8b71-4254-8bb7-148545d25ee3	1	196847600	209897717	8786	0.6578
d8443076-8b71-4254-8bb7-148545d25ee3	1	209908268	209908720	2	-1.4878
d8443076-8b71-4254-8bb7-148545d25ee3	1	209910639	242957694	23271	0.6568
d8443076-8b71-4254-8bb7-148545d25ee3	1	242960635	243105104	24	0.0492
d8443076-8b71-4254-8bb7-148545d25ee3	1	243105657	248091598	3330	0.6576
d8443076-8b71-4254-8bb7-148545d25ee3	1	248091963	248098027	5	-0.6943
d8443076-8b71-4254-8bb7-148545d25ee3	1	248100770	248930189	396	0.6405
d8443076-8b71-4254-8bb7-148545d25ee3	2	12784	1154670	782	-0.0916
d8443076-8b71-4254-8bb7-148545d25ee3	2	1155248	1831913	397	-0.1727
d8443076-8b71-4254-8bb7-148545d25ee3	2	1833222	34295406	22805	-0.0548
d8443076-8b71-4254-8bb7-148545d25ee3	2	34298911	34300513	2	-2.2858
d8443076-8b71-4254-8bb7-148545d25ee3	2	34300900	35742970	1012	-0.0199
d8443076-8b71-4254-8bb7-148545d25ee3	2	35750907	35762850	7	0.9513
d8443076-8b71-4254-8bb7-148545d25ee3	2	35762881	41011095	3925	-0.0469
d8443076-8b71-4254-8bb7-148545d25ee3	2	41011303	41018747	22	-0.602
d8443076-8b71-4254-8bb7-148545d25ee3	2	41024093	52527330	8179	-0.0414
d8443076-8b71-4254-8bb7-148545d25ee3	2	52527342	52554157	31	0.7265
d8443076-8b71-4254-8bb7-148545d25ee3	2	52554188	86882149	21983	-0.0476
d8443076-8b71-4254-8bb7-148545d25ee3	2	86893372	87223346	52	-0.4919
d8443076-8b71-4254-8bb7-148545d25ee3	2	87225631	97359885	1820	-0.0691
d8443076-8b71-4254-8bb7-148545d25ee3	2	97524284	97545726	9	0.8486
d8443076-8b71-4254-8bb7-148545d25ee3	2	97550415	111300796	8160	-0.0514
d8443076-8b71-4254-8bb7-148545d25ee3	2	111311200	111610248	66	-0.4267
d8443076-8b71-4254-8bb7-148545d25ee3	2	111615592	113604438	1132	-0.0641
d8443076-8b71-4254-8bb7-148545d25ee3	2	113604837	113623244	3	-1.6144
d8443076-8b71-4254-8bb7-148545d25ee3	2	113625975	128880353	9596	-0.0445
