GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	62920	812759	30	0.4795
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	814954	12853248	6482	-0.0034
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	12855993	12867264	2	-1.551
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	12868035	16504088	2120	-0.0029
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	16504325	16679483	38	0.2946
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	16685961	16766762	10	-0.6196
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	16766922	34626037	10277	-0.0026
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	34626073	34638890	21	-0.6105
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	34648667	49448451	8369	-0.0011
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	49449260	49532191	27	-0.8781
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	49533594	72284165	15279	-0.0021
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	72284670	72354344	66	0.252
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	72356822	94142051	13972	0.0017
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	94143690	94144335	5	-0.9965
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	94144631	109684893	9518	-0.0003
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	109690352	109697556	13	-1.6505
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	109702376	112147626	1944	-0.0014
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	112147704	112154619	24	-0.6314
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	112154754	152582700	7584	0.0078
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	152583051	152614100	35	-1.1234
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	152614118	152789447	168	0.001
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	152789463	152796224	36	-0.6063
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	152801429	179361393	17818	0.0022
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	179362247	179363963	2	-1.7822
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	179364180	196769506	11524	0.0104
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	196769638	196874718	78	0.2433
49aa4c7d-e04c-45fd-89a7-9ba36a3e1e62	1	196874919	199138574	1343	-0.0015
