GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	62920	98588	12	-0.8834
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	98602	16855942	8691	0.1244
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	16863509	16934753	49	-0.4105
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	16934768	25278567	5268	0.1166
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	25284629	25284961	2	-1.601
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	25289805	25319167	6	-0.348
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	25319693	26034913	315	0.1303
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	26037110	26223257	95	0.3181
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	26223723	34637053	4541	0.1123
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	34637069	34650960	22	-0.3778
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	34652324	72303233	23700	0.1294
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	72303253	72345465	45	-1.1682
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	72346221	84198507	7622	0.1325
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	84201547	84202279	3	1.7613
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	84206417	89009572	3273	0.1342
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	89012275	89012522	2	-2.9537
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	89015841	109690352	12617	0.1316
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	109690415	109697556	12	1.4541
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	109702376	112153343	1949	0.1402
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	112153465	112154619	22	0.5921
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	112154754	152583051	7590	0.1306
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	152583230	152613762	31	2.0977
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	152613802	152790191	183	0.1382
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	152790286	152795783	19	-0.4645
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	152795805	179192567	17695	0.1275
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	179192616	179200937	8	0.8712
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	179201013	194479104	10214	0.1315
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	194482281	194485888	2	2.6423
0acad7eb-ba9d-490c-b4de-027a92c10f7c	1	194487886	248930189	37219	0.1333
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	12784	4158097	2984	0.0275
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	4166274	4175922	37	-2.0574
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	4175977	24384085	14875	0.0323
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	24384113	24388259	14	-0.5933
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	24388858	45253689	14024	0.0239
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	45253889	45258157	8	-0.7103
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	45263683	52527727	5112	0.0265
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	52527743	52554359	31	0.8953
0acad7eb-ba9d-490c-b4de-027a92c10f7c	2	52554366	242147305	112069	0.029
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	20930	16199049	12856	-0.0807
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	16199122	16199672	5	-1.9381
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	16199818	33005364	11533	-0.0756
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	33005858	33007329	2	-1.5962
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	33009209	46750055	8680	-0.0799
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	46751887	46818342	43	-0.6154
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	46827338	52988851	2485	-0.0641
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	52988877	53005439	45	-0.3837
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	53005473	60413439	5341	-0.0889
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	60413589	60414988	5	-1.0585
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	60417925	65207706	4198	-0.0788
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	65210570	65232734	51	0.2153
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	65232767	84053071	11998	-0.0772
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	84056282	84057015	2	-2.924
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	84061816	130067097	24977	-0.0763
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	130067366	130087209	31	0.6538
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	130087393	158632329	17615	-0.0801
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	158633095	158633756	2	-2.4152
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	158641083	162794869	2596	-0.064
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	162794951	162908207	69	0.8062
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	162908784	195729177	20634	-0.0748
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	195730018	195747892	11	0.6756
0acad7eb-ba9d-490c-b4de-027a92c10f7c	3	195751823	198169247	1166	-0.0973
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	68929	9450197	5149	0.0249
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	9455251	9477699	7	-0.9146
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	9484440	10221792	537	0.0308
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	10222004	10229874	27	-1.3689
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	10232590	34676796	16870	0.0347
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	34683428	34685549	4	1.3904
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	34698272	34771893	54	-0.0423
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	34777238	34828327	49	0.5061
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	34828382	48138741	8346	0.0318
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	48138931	48194103	132	0.2184
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	48194318	63828222	8029	0.0355
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	63831751	63852325	31	0.4202
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	63856498	68378716	2832	0.03
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	68389352	68391041	2	-1.7747
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	68394355	68478894	17	-0.0238
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	68494770	68663241	73	0.6592
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	68671434	87845856	11869	0.0306
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	87848780	87849248	8	0.7671
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	87849407	114252544	15729	0.0324
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	114254167	114261019	23	-1.2019
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	114263073	137262082	13308	0.0349
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	137262097	137269022	28	0.4007
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	137269240	154881396	10623	0.0286
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	154881853	154881926	3	-2.6669
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	154882047	171448195	10567	0.0326
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	171453733	171456293	8	1.6045
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	171456307	172066706	400	0.0422
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	172066777	172068382	13	-1.6447
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	172074828	172503796	231	0.037
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	172503878	172504076	2	1.3771
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	172507191	188300104	10668	0.0231
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	188300206	188300221	2	-1.9251
0acad7eb-ba9d-490c-b4de-027a92c10f7c	4	188300270	190106768	1142	0.0347
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	15532	685633	306	0.0105
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	698256	779766	28	0.754
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	800724	896700	37	0.0946
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	905586	908425	3	-1.4767
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	913276	9268546	7067	0.0316
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	9268625	9272553	6	-1.2854
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	9277652	138469431	77083	0.0337
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	138472272	138480022	17	-0.8375
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	138480779	172681855	22853	0.0346
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	172682938	172735933	43	-0.2555
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	172739256	180947523	4934	0.03
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	180951710	181006264	21	-1.5865
0acad7eb-ba9d-490c-b4de-027a92c10f7c	5	181015400	181363319	167	0.0095
0acad7eb-ba9d-490c-b4de-027a92c10f7c	6	149661	302306	125	-0.0224
0acad7eb-ba9d-490c-b4de-027a92c10f7c	6	303017	380821	76	0.3201
