GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9da27907-449b-4940-82a5-402da92ae91d	1	62920	259926	16	-0.2766
9da27907-449b-4940-82a5-402da92ae91d	1	266187	7847944	3861	0.1638
9da27907-449b-4940-82a5-402da92ae91d	1	7848828	12409614	2404	0.1182
9da27907-449b-4940-82a5-402da92ae91d	1	12413933	12822696	232	0.1649
9da27907-449b-4940-82a5-402da92ae91d	1	12823233	12853248	6	-0.4086
9da27907-449b-4940-82a5-402da92ae91d	1	12855993	16617327	2138	0.1531
9da27907-449b-4940-82a5-402da92ae91d	1	16627347	16868660	48	-0.095
9da27907-449b-4940-82a5-402da92ae91d	1	16877002	16934768	47	0.5792
9da27907-449b-4940-82a5-402da92ae91d	1	16935200	22926769	3977	0.1419
9da27907-449b-4940-82a5-402da92ae91d	1	22933134	26715526	1943	-0.2315
9da27907-449b-4940-82a5-402da92ae91d	1	26717639	32721948	3073	-0.334
9da27907-449b-4940-82a5-402da92ae91d	1	32724506	34862644	1399	-0.2068
9da27907-449b-4940-82a5-402da92ae91d	1	34862674	41304640	3460	-0.2321
9da27907-449b-4940-82a5-402da92ae91d	1	41308682	41309583	2	0.9879
9da27907-449b-4940-82a5-402da92ae91d	1	41317411	46601894	3007	-0.2329
9da27907-449b-4940-82a5-402da92ae91d	1	46602972	58517115	7649	-0.2083
9da27907-449b-4940-82a5-402da92ae91d	1	58518423	58521298	2	-1.6022
9da27907-449b-4940-82a5-402da92ae91d	1	58521899	72303233	9518	-0.1988
9da27907-449b-4940-82a5-402da92ae91d	1	72303253	72345450	44	-1.5998
9da27907-449b-4940-82a5-402da92ae91d	1	72345465	97680322	16366	-0.1921
9da27907-449b-4940-82a5-402da92ae91d	1	97681063	98059888	169	0.0866
9da27907-449b-4940-82a5-402da92ae91d	1	98060570	109028555	6768	-0.1747
9da27907-449b-4940-82a5-402da92ae91d	1	109031904	109032025	2	-1.6487
9da27907-449b-4940-82a5-402da92ae91d	1	109061619	109684893	289	-0.2074
9da27907-449b-4940-82a5-402da92ae91d	1	109690352	109702376	14	0.9297
9da27907-449b-4940-82a5-402da92ae91d	1	109703504	114985090	3661	-0.204
9da27907-449b-4940-82a5-402da92ae91d	1	114985841	114987336	2	-1.4953
9da27907-449b-4940-82a5-402da92ae91d	1	114991530	118086502	2096	-0.1989
9da27907-449b-4940-82a5-402da92ae91d	1	118090616	118862777	444	0.1591
9da27907-449b-4940-82a5-402da92ae91d	1	118870553	121531511	900	0.6234
9da27907-449b-4940-82a5-402da92ae91d	1	121531997	143748421	129	0.4217
9da27907-449b-4940-82a5-402da92ae91d	1	143748590	143751380	6	1.1578
9da27907-449b-4940-82a5-402da92ae91d	1	143751625	148333107	856	0.4292
9da27907-449b-4940-82a5-402da92ae91d	1	148334553	152478314	1387	0.3348
9da27907-449b-4940-82a5-402da92ae91d	1	152481193	152583051	94	0.4312
9da27907-449b-4940-82a5-402da92ae91d	1	152583230	152614118	35	-2.0693
9da27907-449b-4940-82a5-402da92ae91d	1	152618018	153487977	726	0.3654
9da27907-449b-4940-82a5-402da92ae91d	1	153488899	161649136	4749	0.5547
9da27907-449b-4940-82a5-402da92ae91d	1	161649159	161678447	5	1.2874
9da27907-449b-4940-82a5-402da92ae91d	1	161678831	161893556	168	0.4981
9da27907-449b-4940-82a5-402da92ae91d	1	161893795	166033419	3391	0.3218
9da27907-449b-4940-82a5-402da92ae91d	1	166033442	166033458	2	-1.4571
9da27907-449b-4940-82a5-402da92ae91d	1	166033629	166786753	590	0.315
9da27907-449b-4940-82a5-402da92ae91d	1	166790360	169247699	1861	0.5348
9da27907-449b-4940-82a5-402da92ae91d	1	169264736	169272528	7	1.5223
9da27907-449b-4940-82a5-402da92ae91d	1	169273163	169588720	215	0.5351
9da27907-449b-4940-82a5-402da92ae91d	1	169590397	170608094	779	0.7332
9da27907-449b-4940-82a5-402da92ae91d	1	170608207	174225618	2241	0.5394
9da27907-449b-4940-82a5-402da92ae91d	1	174228803	174705987	216	0.3392
9da27907-449b-4940-82a5-402da92ae91d	1	174717556	196135968	14375	0.549
