GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	62920	86341	11	-1.2328
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	98588	3524818	842	-0.0438
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	3530249	3962184	234	0.0758
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	3962405	6866966	2127	-0.0758
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	6867426	7543936	476	-0.2098
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	7543971	9501606	1116	-0.0568
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	9502520	10189904	285	-0.1902
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	10189905	11572939	767	-0.0731
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	11573925	13012913	666	0.069
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	13110913	19526222	4088	-0.0619
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	19526588	20245961	479	-0.2011
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	20246036	21974705	1003	-0.0522
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	21974983	22010750	11	-0.929
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	22011632	24146250	1190	-0.0744
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	24148277	24720081	365	0.0724
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	24727732	26897120	1066	-0.0565
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	26898618	28631982	702	-0.1787
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	28632612	30750546	1407	-0.0676
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	30750740	30750810	2	-2.0397
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	30756343	34626073	2155	-0.06
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	34637053	34648667	21	-0.9366
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	34649941	37323810	1433	-0.0537
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	37328744	37776255	242	0.0936
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	37778113	38540935	432	-0.0689
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	38544290	39077065	338	0.0851
09a2d06b-a918-47fd-a1fd-ea07c0e0e185	1	39078476	41081304	1042	-0.0634
