GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	62920	98602	13	-0.2387
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	259407	5160702	2133	0.0393
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	5162015	25256800	11860	-0.1587
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	25256850	25320455	25	0.3804
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	25336819	38877393	7307	-0.1541
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	38880948	55076930	9038	0.2132
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	55080453	72303233	12325	0.2411
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	72303253	72345465	45	-1.4498
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	72346221	74378919	1187	0.2725
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	74378927	105476583	19686	-0.1403
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	105476614	105479753	16	0.5319
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	105481433	108187137	1935	-0.145
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	108191613	108194874	3	-2.6372
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	108196482	108223733	17	-0.2123
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	108226680	108274557	2	-3.3162
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	108310648	109684893	672	-0.1302
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	109690352	109697556	13	0.6062
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	109702376	110834943	835	-0.1751
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	110834946	110837143	17	-0.8565
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	110837198	111769532	729	-0.1626
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	111769589	111769929	3	1.1014
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	111770456	112049624	273	-0.1594
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	112051489	112051823	2	-1.5674
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	112053291	112147704	88	-0.1365
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	112153343	112154768	25	-1.3183
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	112163334	143546851	5159	-0.1746
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	143547055	143662805	55	-0.5184
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	143664677	144442098	71	-0.2508
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	144442342	152583051	2304	0.5366
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	152583230	152613762	31	-0.6096
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	152613802	152787202	170	0.4872
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	152789447	152796224	37	0.955
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	152801429	153206516	310	0.5489
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	153206707	157064324	1884	0.4805
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	157068435	169247699	9048	0.5305
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	169264736	169272528	7	-1.8063
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	169273163	169514606	140	0.6366
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	169514655	183206737	9045	0.5324
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	183207282	194479104	7480	0.5642
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	194482281	194485888	2	-1.2175
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	194487886	196745743	1447	0.562
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	196758720	196762956	4	-2.1234
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	196769493	200331676	2287	0.5603
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	200336555	207035741	4301	0.4954
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	207036009	222193326	10812	0.5432
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	222201492	222203662	2	-3.1705
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	222208792	238958420	11540	0.5317
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	238958879	246319780	5301	0.4234
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	1	246320123	248930189	1528	0.5654
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	12784	3630747	2511	0.0127
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	3633276	52516787	34535	0.0585
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	52527330	52554384	39	0.8748
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	52554404	57178926	3352	0.0834
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	57179043	57179330	2	-1.4127
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	57179424	86901078	18583	0.073
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	86902080	86910262	2	-1.768
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	86934730	87207066	38	-0.0304
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	87207935	87218834	5	-1.2245
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	87221597	87489240	55	0.2169
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	87489506	87528459	11	-0.8412
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	87542032	97359885	1755	0.0427
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	97524284	97545726	9	-1.312
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	97550415	106263639	5558	0.0563
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	106264257	106270952	13	0.8448
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	106271414	113604438	3778	0.0675
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	113604837	113604839	2	-2.0815
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	113623244	116831010	1937	0.0888
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	116832191	116832277	2	-2.2033
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	116833669	146104517	18036	0.0775
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	146106836	146109366	24	1.1254
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	146120238	146120907	6	-0.3666
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	146120964	152908081	4167	0.0701
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	152908934	152918802	11	-0.468
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	152925513	159102108	3585	0.1035
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	159103831	159104461	2	1.6828
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	159106775	183221060	15008	0.116
ade626fb-fb8c-42ec-80a8-f6360e51d9a2	2	183221669	183224996	8	-1.0211
