GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	62920	86341	11	0.795
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	98588	16864367	8687	0.0136
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	16868660	16935752	53	-0.4314
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	16949746	25256850	5261	0.0206
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	25266637	25319693	21	-1.9468
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	25320198	34626073	4954	0.0144
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	34637053	34638890	20	-0.837
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	34648667	61647430	16464	0.019
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	61648334	61652515	4	-1.1598
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	61654137	72284670	7277	0.0155
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	72290430	72297687	9	-0.9562
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	72302735	72323042	21	0.0361
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	72323161	72351338	31	0.3755
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	72352916	103613021	20012	0.0194
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	103613109	103620877	9	-0.8074
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	103621165	105470754	923	0.0046
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	105476583	105479753	17	1.1097
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	105481433	121705338	9781	0.0158
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	143459641	143942271	128	-0.8098
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	144432083	152583230	2315	0.0037
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	152583291	152614118	34	-1.9144
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	152618018	152790180	179	-0.0099
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	152790191	152796224	25	-0.5423
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	152801429	169247699	11277	0.017
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	169264736	169272528	7	-2.5486
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	169273163	209897717	27009	0.0165
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	209908268	209910639	3	-2.331
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	209913207	245252581	24636	0.0179
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	245254798	245254863	2	-1.5438
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	245255129	248574146	2197	0.0369
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	248585893	248673020	43	-0.6548
0026405b-73e3-4f42-ab52-702d26fcb5bb	1	248681521	248930189	129	0.0821
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	12784	24376380	17914	0.0142
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	24378642	24388259	19	-0.7663
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	24388858	87087002	41207	0.0172
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	87094919	87299676	55	-0.2911
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	87320178	89305244	720	0.0034
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	89896149	90235899	129	-0.8136
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	90262403	106263639	6517	0.0158
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	106264257	106268901	11	0.8283
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	106270799	107824280	992	0.0147
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	107830513	107864451	2	1.7267
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	107875632	111486393	1632	0.0146
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	111492084	111522564	10	-1.1457
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	111529956	128880904	10746	0.0121
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	128880928	128882741	14	0.6963
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	128882755	146107015	10414	0.0107
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	146107511	146109366	19	1.034
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	146120238	163780342	10581	0.0168
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	163786978	163788616	5	-1.2711
0026405b-73e3-4f42-ab52-702d26fcb5bb	2	163790132	242147305	48435	0.0166
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	20930	243604	201	-0.0021
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	243633	243886	2	-1.819
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	243897	11366589	9338	0.0166
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	11371130	11371926	4	-1.2907
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	11375791	84053071	47839	0.0192
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	84056282	84057015	2	-3.2027
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	84061816	84650033	300	0.03
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	84650533	84653084	16	-0.5399
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	84653262	89345473	2699	0.0203
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	89345501	89370231	48	-0.7565
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	89370771	95737262	1381	0.0208
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	95748036	95749266	2	-3.3954
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	95749836	95781111	19	0.0686
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	95781594	95787783	3	-1.5915
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	95789820	98180575	1229	0.0113
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	98189826	98194581	3	-1.4366
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	98195973	125950205	16941	0.0167
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	125954540	125957120	3	-2.3182
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	125961657	151792254	15997	0.0207
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	151793297	151828091	29	-1.1059
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	151830703	162794951	6652	0.0173
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	162795304	162807070	10	0.8377
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	162810842	162822702	10	-1.075
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	162827928	162908192	47	0.5701
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	162908207	175360729	7644	0.0187
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	175362803	175363437	6	-0.8955
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	175363536	193160113	11504	0.0212
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	193160173	193165114	19	1.114
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	193168646	194677604	991	0.0271
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	194679448	194680083	2	-2.0672
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	194681645	196043719	648	0.0054
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	196046906	196049993	5	1.1012
0026405b-73e3-4f42-ab52-702d26fcb5bb	3	196050340	198169247	1046	0.0271
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	68929	9445117	5151	0.0168
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	9447575	9477699	10	-0.7574
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	9484440	10222004	540	-0.0039
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	10222224	10229874	26	2.1722
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	10232590	19507208	7002	0.0207
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	19507848	19507902	2	-2.3794
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	19507977	25554958	4190	0.023
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	25555425	25576647	18	0.5499
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	25583761	34777432	5755	0.0179
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	34784878	34822561	37	-0.6332
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	34823103	63828222	16553	0.0228
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	63831751	63841887	22	-1.0801
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	63842036	63842540	6	-2.8611
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	63850713	65722817	1207	0.0111
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	65722833	65764047	42	0.6442
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	65764267	68389352	1601	0.0162
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	68391041	68620261	86	0.5136
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	68623617	69261934	317	-0.0328
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	69262694	69366081	52	-0.7174
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	69366304	69523998	110	-0.0338
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	69524143	69525061	2	-2.422
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	69526170	160952848	55175	0.0205
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	160958866	160963767	22	-0.7257
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	160963806	171448195	6657	0.0215
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	171453733	171456625	12	1.1844
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	171459220	172066777	397	0.0362
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	172067997	172068382	12	0.8558
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	172074828	189267889	11717	0.0229
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	189273964	189278110	4	-3.0526
0026405b-73e3-4f42-ab52-702d26fcb5bb	4	189278617	190106768	350	0.0028
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	15532	17625524	13373	0.0135
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	17629411	17642442	8	-1.0152
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	17655029	58030453	22347	0.0183
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	58033288	58044246	31	-0.6231
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	58045187	163431168	65166	0.0176
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	163435178	163435536	2	-2.023
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	163439542	177771448	9882	0.0131
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	177800550	177805604	3	2.4824
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	177827964	177879634	7	-0.6556
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	177883336	178233238	133	0.0422
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	178234901	178278090	27	-0.31
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	178278292	180947523	1629	0.0165
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	180951710	181015400	22	-0.4763
0026405b-73e3-4f42-ab52-702d26fcb5bb	5	181015441	181363319	167	-0.0015
0026405b-73e3-4f42-ab52-702d26fcb5bb	6	149661	315197	128	0.0223
