GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73555199-0741-4552-ae86-3df91f8b283e	1	62920	3109148	656	0.5717
73555199-0741-4552-ae86-3df91f8b283e	1	3109536	7645084	3111	0.3113
73555199-0741-4552-ae86-3df91f8b283e	1	7647227	10307151	1392	-0.5727
73555199-0741-4552-ae86-3df91f8b283e	1	10307286	10321714	20	0.0513
73555199-0741-4552-ae86-3df91f8b283e	1	10321730	12774437	1294	-0.6126
73555199-0741-4552-ae86-3df91f8b283e	1	12775725	13362275	48	0.0274
73555199-0741-4552-ae86-3df91f8b283e	1	13383455	15202171	1414	-0.6383
73555199-0741-4552-ae86-3df91f8b283e	1	15203764	15212763	4	-2.4575
73555199-0741-4552-ae86-3df91f8b283e	1	15214577	16488499	669	-0.5723
73555199-0741-4552-ae86-3df91f8b283e	1	16489035	17003654	146	0.0683
73555199-0741-4552-ae86-3df91f8b283e	1	17010382	30712791	7996	-0.5958
73555199-0741-4552-ae86-3df91f8b283e	1	30714548	30765649	36	0.6523
73555199-0741-4552-ae86-3df91f8b283e	1	30768199	32427952	776	0.2964
73555199-0741-4552-ae86-3df91f8b283e	1	32428780	32435247	3	1.5584
73555199-0741-4552-ae86-3df91f8b283e	1	32435639	34622883	1362	0.2991
73555199-0741-4552-ae86-3df91f8b283e	1	34625857	34650960	27	0.769
73555199-0741-4552-ae86-3df91f8b283e	1	34652324	37406384	1477	0.3034
73555199-0741-4552-ae86-3df91f8b283e	1	37411371	37455082	28	0.7168
73555199-0741-4552-ae86-3df91f8b283e	1	37455442	50890864	7530	0.307
73555199-0741-4552-ae86-3df91f8b283e	1	50894508	50909496	8	1.0753
73555199-0741-4552-ae86-3df91f8b283e	1	50912187	68784803	12651	0.3174
73555199-0741-4552-ae86-3df91f8b283e	1	68786274	68799770	10	0.9988
73555199-0741-4552-ae86-3df91f8b283e	1	68800300	72284670	2051	0.3325
73555199-0741-4552-ae86-3df91f8b283e	1	72290430	72297687	9	-0.721
73555199-0741-4552-ae86-3df91f8b283e	1	72302735	72345465	48	1.4398
73555199-0741-4552-ae86-3df91f8b283e	1	72346221	105470132	20953	0.3291
73555199-0741-4552-ae86-3df91f8b283e	1	105470754	105481448	20	0.9071
73555199-0741-4552-ae86-3df91f8b283e	1	105481468	119560261	9340	0.319
73555199-0741-4552-ae86-3df91f8b283e	1	119565514	119583381	30	0.8882
73555199-0741-4552-ae86-3df91f8b283e	1	119584367	121597150	407	0.3853
73555199-0741-4552-ae86-3df91f8b283e	1	121598439	145664420	150	0.7821
73555199-0741-4552-ae86-3df91f8b283e	1	145670653	149907993	900	0.4249
73555199-0741-4552-ae86-3df91f8b283e	1	149909846	150772536	391	0.268
73555199-0741-4552-ae86-3df91f8b283e	1	150772679	150798513	15	0.9025
73555199-0741-4552-ae86-3df91f8b283e	1	150802958	152557146	951	0.3127
