GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e42d985e-e1ec-47e1-9d46-954453b66f43	1	62920	599171	20	-0.4312
e42d985e-e1ec-47e1-9d46-954453b66f43	1	668210	2647902	496	0.1298
e42d985e-e1ec-47e1-9d46-954453b66f43	1	2777898	3530249	339	0.3915
e42d985e-e1ec-47e1-9d46-954453b66f43	1	3558079	4755563	933	0.0315
e42d985e-e1ec-47e1-9d46-954453b66f43	1	4756127	4768672	14	0.3197
e42d985e-e1ec-47e1-9d46-954453b66f43	1	4770425	4830065	50	0.6236
e42d985e-e1ec-47e1-9d46-954453b66f43	1	4831543	4834890	4	1.2036
e42d985e-e1ec-47e1-9d46-954453b66f43	1	4836180	5092099	237	0.6037
e42d985e-e1ec-47e1-9d46-954453b66f43	1	5096185	6407783	894	0.3885
e42d985e-e1ec-47e1-9d46-954453b66f43	1	6408568	6787310	190	0.0412
e42d985e-e1ec-47e1-9d46-954453b66f43	1	6793282	7175568	244	0.4113
e42d985e-e1ec-47e1-9d46-954453b66f43	1	7176583	7262100	63	0.087
e42d985e-e1ec-47e1-9d46-954453b66f43	1	7264408	16679483	5197	-0.3394
e42d985e-e1ec-47e1-9d46-954453b66f43	1	16685961	16949746	79	0.0981
e42d985e-e1ec-47e1-9d46-954453b66f43	1	16951445	25120965	5165	-0.3514
e42d985e-e1ec-47e1-9d46-954453b66f43	1	25121001	25256800	97	-0.2987
e42d985e-e1ec-47e1-9d46-954453b66f43	1	25256850	25320253	24	0.1152
e42d985e-e1ec-47e1-9d46-954453b66f43	1	25320455	29207089	1602	-0.3039
e42d985e-e1ec-47e1-9d46-954453b66f43	1	29207980	59128557	18077	-0.363
e42d985e-e1ec-47e1-9d46-954453b66f43	1	59128623	62949099	2648	0.0767
e42d985e-e1ec-47e1-9d46-954453b66f43	1	62950291	72303233	6411	0.0288
e42d985e-e1ec-47e1-9d46-954453b66f43	1	72303253	72345465	45	-1.2305
e42d985e-e1ec-47e1-9d46-954453b66f43	1	72346221	75585159	1931	0.0414
e42d985e-e1ec-47e1-9d46-954453b66f43	1	75589078	75589169	2	-1.9711
e42d985e-e1ec-47e1-9d46-954453b66f43	1	75593824	94620371	12405	0.0556
e42d985e-e1ec-47e1-9d46-954453b66f43	1	94620403	100241324	3600	0.0941
e42d985e-e1ec-47e1-9d46-954453b66f43	1	100243660	103589737	2083	0.0546
e42d985e-e1ec-47e1-9d46-954453b66f43	1	103613021	105470754	932	0.3982
e42d985e-e1ec-47e1-9d46-954453b66f43	1	105476583	105479753	17	1.117
e42d985e-e1ec-47e1-9d46-954453b66f43	1	105481433	109679105	2633	0.3859
e42d985e-e1ec-47e1-9d46-954453b66f43	1	109684695	109691933	11	-0.3203
e42d985e-e1ec-47e1-9d46-954453b66f43	1	109692006	112147704	1955	0.3784
e42d985e-e1ec-47e1-9d46-954453b66f43	1	112153343	112154619	23	1.0071
e42d985e-e1ec-47e1-9d46-954453b66f43	1	112154754	121275630	5084	0.4129
e42d985e-e1ec-47e1-9d46-954453b66f43	1	121347642	121386039	2	-1.3292
e42d985e-e1ec-47e1-9d46-954453b66f43	1	121389102	150058787	1198	0.4325
e42d985e-e1ec-47e1-9d46-954453b66f43	1	150061347	150461698	170	0.0661
e42d985e-e1ec-47e1-9d46-954453b66f43	1	150464308	152582700	1152	0.3772
e42d985e-e1ec-47e1-9d46-954453b66f43	1	152583051	152614118	36	1.5049
e42d985e-e1ec-47e1-9d46-954453b66f43	1	152618018	152778324	158	0.3309
e42d985e-e1ec-47e1-9d46-954453b66f43	1	152778761	152796224	46	0.7528
e42d985e-e1ec-47e1-9d46-954453b66f43	1	152801429	189130130	24399	0.3313
e42d985e-e1ec-47e1-9d46-954453b66f43	1	189143017	190238817	794	0.0461
e42d985e-e1ec-47e1-9d46-954453b66f43	1	190242947	196745743	4286	0.3326
e42d985e-e1ec-47e1-9d46-954453b66f43	1	196758720	196832525	57	1.1363
e42d985e-e1ec-47e1-9d46-954453b66f43	1	196832720	204255056	4793	0.3323
e42d985e-e1ec-47e1-9d46-954453b66f43	1	204257076	204281779	23	-0.4155
e42d985e-e1ec-47e1-9d46-954453b66f43	1	204285270	225657612	14680	0.3103
e42d985e-e1ec-47e1-9d46-954453b66f43	1	225658509	226150015	267	0.6322
e42d985e-e1ec-47e1-9d46-954453b66f43	1	226156301	228502147	1351	0.3032
e42d985e-e1ec-47e1-9d46-954453b66f43	1	228505354	229509960	627	0.5538
e42d985e-e1ec-47e1-9d46-954453b66f43	1	229516268	242811442	10241	0.3258
e42d985e-e1ec-47e1-9d46-954453b66f43	1	242814831	246058025	2133	0.0241
e42d985e-e1ec-47e1-9d46-954453b66f43	1	246061879	246778857	464	0.1474
e42d985e-e1ec-47e1-9d46-954453b66f43	1	246778869	247970987	780	0.0458
e42d985e-e1ec-47e1-9d46-954453b66f43	1	247974915	248574146	299	-0.2684
e42d985e-e1ec-47e1-9d46-954453b66f43	1	248585893	248633912	32	-0.681
e42d985e-e1ec-47e1-9d46-954453b66f43	1	248645563	248930189	141	-0.2987
e42d985e-e1ec-47e1-9d46-954453b66f43	2	12784	193991	108	0.3084
e42d985e-e1ec-47e1-9d46-954453b66f43	2	196973	382612	132	0.6086
e42d985e-e1ec-47e1-9d46-954453b66f43	2	390695	4158097	2747	0.341
e42d985e-e1ec-47e1-9d46-954453b66f43	2	4166274	4175577	36	-0.3424
e42d985e-e1ec-47e1-9d46-954453b66f43	2	4175922	32271431	19515	0.3573
e42d985e-e1ec-47e1-9d46-954453b66f43	2	32273359	33115283	500	0.4396
e42d985e-e1ec-47e1-9d46-954453b66f43	2	33117794	34466002	1056	0.3388
e42d985e-e1ec-47e1-9d46-954453b66f43	2	34474248	34502784	43	-0.091
e42d985e-e1ec-47e1-9d46-954453b66f43	2	34502800	37348238	2144	0.3549
e42d985e-e1ec-47e1-9d46-954453b66f43	2	37348993	38071060	571	0.4396
e42d985e-e1ec-47e1-9d46-954453b66f43	2	38072671	46285547	6026	0.3532
e42d985e-e1ec-47e1-9d46-954453b66f43	2	46289628	47014206	608	-0.4043
