GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2fa93f39-a125-43b1-af1e-9e39239180e9	1	62920	25256800	14001	0.0983
2fa93f39-a125-43b1-af1e-9e39239180e9	1	25256850	25373504	43	0.7233
2fa93f39-a125-43b1-af1e-9e39239180e9	1	25376228	31583793	3217	0.1001
2fa93f39-a125-43b1-af1e-9e39239180e9	1	31588493	33119087	626	0.3435
2fa93f39-a125-43b1-af1e-9e39239180e9	1	33119469	46044681	7423	0.0972
2fa93f39-a125-43b1-af1e-9e39239180e9	1	46046603	46048154	2	2.5611
2fa93f39-a125-43b1-af1e-9e39239180e9	1	46053881	46221115	66	0.0897
2fa93f39-a125-43b1-af1e-9e39239180e9	1	46221377	46786175	317	0.225
2fa93f39-a125-43b1-af1e-9e39239180e9	1	46788939	48371665	1019	0.0946
2fa93f39-a125-43b1-af1e-9e39239180e9	1	48376143	48378940	2	1.9627
2fa93f39-a125-43b1-af1e-9e39239180e9	1	48379809	72293529	15969	0.1007
2fa93f39-a125-43b1-af1e-9e39239180e9	1	72293826	72318265	21	0.723
2fa93f39-a125-43b1-af1e-9e39239180e9	1	72318471	152602985	33146	0.1071
2fa93f39-a125-43b1-af1e-9e39239180e9	1	152606973	152606992	2	3.4147
2fa93f39-a125-43b1-af1e-9e39239180e9	1	152607145	174827267	14961	0.1045
2fa93f39-a125-43b1-af1e-9e39239180e9	1	174827418	174828195	7	-1.274
2fa93f39-a125-43b1-af1e-9e39239180e9	1	174828247	196761905	14605	0.1105
2fa93f39-a125-43b1-af1e-9e39239180e9	1	196762480	196789029	35	0.5844
2fa93f39-a125-43b1-af1e-9e39239180e9	1	196790144	231794210	23319	0.0977
2fa93f39-a125-43b1-af1e-9e39239180e9	1	231800457	231801734	2	2.1332
2fa93f39-a125-43b1-af1e-9e39239180e9	1	231802753	243163650	8714	0.0951
2fa93f39-a125-43b1-af1e-9e39239180e9	1	243164636	243173458	2	2.6171
2fa93f39-a125-43b1-af1e-9e39239180e9	1	243174914	248525314	3514	0.1129
2fa93f39-a125-43b1-af1e-9e39239180e9	1	248546369	248631988	34	-0.5467
2fa93f39-a125-43b1-af1e-9e39239180e9	1	248633821	248930189	143	0.1625
2fa93f39-a125-43b1-af1e-9e39239180e9	2	12784	7499242	5915	0.0963
2fa93f39-a125-43b1-af1e-9e39239180e9	2	7502934	7506841	2	2.2298
2fa93f39-a125-43b1-af1e-9e39239180e9	2	7506876	19611339	8882	0.1058
2fa93f39-a125-43b1-af1e-9e39239180e9	2	19611488	20884977	906	0.2203
2fa93f39-a125-43b1-af1e-9e39239180e9	2	20885072	26772304	3398	0.1005
2fa93f39-a125-43b1-af1e-9e39239180e9	2	26776780	34466002	4925	-0.017
2fa93f39-a125-43b1-af1e-9e39239180e9	2	34474248	34512096	46	0.8928
2fa93f39-a125-43b1-af1e-9e39239180e9	2	34512489	113604438	46156	-0.017
2fa93f39-a125-43b1-af1e-9e39239180e9	2	113604837	113604839	2	-2.5705
2fa93f39-a125-43b1-af1e-9e39239180e9	2	113623244	127084661	8536	-0.0367
2fa93f39-a125-43b1-af1e-9e39239180e9	2	127084748	127100370	12	1.3063
2fa93f39-a125-43b1-af1e-9e39239180e9	2	127101070	146106875	11422	-0.0182
2fa93f39-a125-43b1-af1e-9e39239180e9	2	146106889	146109139	18	-1.4343
2fa93f39-a125-43b1-af1e-9e39239180e9	2	146109230	188223996	25635	-0.0113
2fa93f39-a125-43b1-af1e-9e39239180e9	2	188224898	190087617	1049	0.1382
2fa93f39-a125-43b1-af1e-9e39239180e9	2	190089275	194122969	2246	-0.0108
2fa93f39-a125-43b1-af1e-9e39239180e9	2	194123143	194124834	2	2.1243
2fa93f39-a125-43b1-af1e-9e39239180e9	2	194124876	228394089	21476	-0.0154
2fa93f39-a125-43b1-af1e-9e39239180e9	2	228397576	228399698	2	2.2071
2fa93f39-a125-43b1-af1e-9e39239180e9	2	228401658	242147305	8489	-0.0149
2fa93f39-a125-43b1-af1e-9e39239180e9	3	20930	12650870	10470	0.051
2fa93f39-a125-43b1-af1e-9e39239180e9	3	12651033	14159956	1015	0.2783
2fa93f39-a125-43b1-af1e-9e39239180e9	3	14162709	61454524	30488	0.0569
2fa93f39-a125-43b1-af1e-9e39239180e9	3	61457565	61603639	124	0.3004
2fa93f39-a125-43b1-af1e-9e39239180e9	3	61609095	68676600	5550	0.0734
2fa93f39-a125-43b1-af1e-9e39239180e9	3	68682877	68698262	16	-0.7353
2fa93f39-a125-43b1-af1e-9e39239180e9	3	68699607	75527410	4912	0.068
2fa93f39-a125-43b1-af1e-9e39239180e9	3	75528153	75537120	3	-1.6309
2fa93f39-a125-43b1-af1e-9e39239180e9	3	75537654	95958223	9197	0.0762
2fa93f39-a125-43b1-af1e-9e39239180e9	3	95961332	98190281	1149	-0.0138
2fa93f39-a125-43b1-af1e-9e39239180e9	3	98194581	98195973	2	2.1891
2fa93f39-a125-43b1-af1e-9e39239180e9	3	98197104	99225919	596	-0.0218
2fa93f39-a125-43b1-af1e-9e39239180e9	3	99225990	99232990	33	0.3928
2fa93f39-a125-43b1-af1e-9e39239180e9	3	99233548	130067366	18655	-0.0194
2fa93f39-a125-43b1-af1e-9e39239180e9	3	130067443	130079892	25	-1.403
2fa93f39-a125-43b1-af1e-9e39239180e9	3	130079938	130087393	6	-0.6446
2fa93f39-a125-43b1-af1e-9e39239180e9	3	130088081	131987852	1165	-0.03
2fa93f39-a125-43b1-af1e-9e39239180e9	3	131989313	131989627	2	-2.116
2fa93f39-a125-43b1-af1e-9e39239180e9	3	131996155	162795361	19047	-0.0216
2fa93f39-a125-43b1-af1e-9e39239180e9	3	162795671	162898127	60	-1.0225
2fa93f39-a125-43b1-af1e-9e39239180e9	3	162906054	187877506	15296	-0.0197
2fa93f39-a125-43b1-af1e-9e39239180e9	3	187877590	187877925	2	2.2954
2fa93f39-a125-43b1-af1e-9e39239180e9	3	187877952	191041134	2324	-0.0152
2fa93f39-a125-43b1-af1e-9e39239180e9	3	191041314	198169247	4192	0.1
2fa93f39-a125-43b1-af1e-9e39239180e9	4	68929	9450197	5148	0.0895
2fa93f39-a125-43b1-af1e-9e39239180e9	4	9455251	9484440	8	-0.8233
2fa93f39-a125-43b1-af1e-9e39239180e9	4	9494650	10221792	536	0.0909
2fa93f39-a125-43b1-af1e-9e39239180e9	4	10222004	10232984	30	0.845
2fa93f39-a125-43b1-af1e-9e39239180e9	4	10233383	34777432	16931	0.1085
2fa93f39-a125-43b1-af1e-9e39239180e9	4	34784878	34828250	39	-0.4032
2fa93f39-a125-43b1-af1e-9e39239180e9	4	34828291	68509442	19397	0.1078
2fa93f39-a125-43b1-af1e-9e39239180e9	4	68509630	68620122	61	-1.3156
2fa93f39-a125-43b1-af1e-9e39239180e9	4	68620261	88970047	12520	0.1086
2fa93f39-a125-43b1-af1e-9e39239180e9	4	88975821	89210861	206	0.2961
2fa93f39-a125-43b1-af1e-9e39239180e9	4	89211513	89422574	137	0.466
2fa93f39-a125-43b1-af1e-9e39239180e9	4	89431594	89573523	99	0.2623
2fa93f39-a125-43b1-af1e-9e39239180e9	4	89576982	91991377	1434	0.1183
2fa93f39-a125-43b1-af1e-9e39239180e9	4	92001246	92116326	50	-0.6295
2fa93f39-a125-43b1-af1e-9e39239180e9	4	92129436	92560227	205	0.1367
2fa93f39-a125-43b1-af1e-9e39239180e9	4	92566420	92574197	4	-0.7667
2fa93f39-a125-43b1-af1e-9e39239180e9	4	92575087	99369341	3983	0.1172
2fa93f39-a125-43b1-af1e-9e39239180e9	4	99369963	99375295	6	-1.0859
2fa93f39-a125-43b1-af1e-9e39239180e9	4	99377945	101646487	1376	0.1023
2fa93f39-a125-43b1-af1e-9e39239180e9	4	101646555	101798493	102	0.402
2fa93f39-a125-43b1-af1e-9e39239180e9	4	101799578	103824414	1203	0.1207
2fa93f39-a125-43b1-af1e-9e39239180e9	4	103830473	103832444	8	1.2019
2fa93f39-a125-43b1-af1e-9e39239180e9	4	103832580	105833671	1134	0.1021
2fa93f39-a125-43b1-af1e-9e39239180e9	4	105834277	108410802	1536	0.3048
2fa93f39-a125-43b1-af1e-9e39239180e9	4	108416514	160958989	31493	-0.1523
2fa93f39-a125-43b1-af1e-9e39239180e9	4	160959045	160963448	17	-1.0241
2fa93f39-a125-43b1-af1e-9e39239180e9	4	160963756	190013781	19102	-0.1562
2fa93f39-a125-43b1-af1e-9e39239180e9	4	190030808	190106768	8	0.2636
2fa93f39-a125-43b1-af1e-9e39239180e9	5	15532	217687	108	-0.0407
2fa93f39-a125-43b1-af1e-9e39239180e9	5	223002	685389	197	0.0648
2fa93f39-a125-43b1-af1e-9e39239180e9	5	685633	866255	51	0.4387
2fa93f39-a125-43b1-af1e-9e39239180e9	5	866315	11161513	8720	0.096
2fa93f39-a125-43b1-af1e-9e39239180e9	5	11162524	11162659	3	-2.7492
2fa93f39-a125-43b1-af1e-9e39239180e9	5	11167165	12785139	1075	0.0909
2fa93f39-a125-43b1-af1e-9e39239180e9	5	12785150	12819964	14	1.1756
2fa93f39-a125-43b1-af1e-9e39239180e9	5	12824299	17513285	3169	0.1072
2fa93f39-a125-43b1-af1e-9e39239180e9	5	17513301	17681225	37	-0.7745
2fa93f39-a125-43b1-af1e-9e39239180e9	5	17687224	20394617	1675	0.1213
2fa93f39-a125-43b1-af1e-9e39239180e9	5	20394697	20395945	2	1.9766
2fa93f39-a125-43b1-af1e-9e39239180e9	5	20397435	46191782	15511	0.1067
2fa93f39-a125-43b1-af1e-9e39239180e9	5	46195781	46209197	5	-1.0592
2fa93f39-a125-43b1-af1e-9e39239180e9	5	46209780	46251204	12	0.2006
2fa93f39-a125-43b1-af1e-9e39239180e9	5	46270906	46273400	8	1.2097
2fa93f39-a125-43b1-af1e-9e39239180e9	5	46278110	58025819	5060	0.0982
