GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr1	13116	121742438	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr1	143417573	145704365	3	2	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr1	145714354	248945703	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr2	10587	242183243	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr3	18519	198181744	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr4	11961	190122722	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr5	11882	181363900	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr6	100116	170740469	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr7	20608	159334386	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr8	61774	145078402	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr9	10469	138256233	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr10	15029	133787009	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr11	87268	135076424	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr12	11065	55108957	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr12	55110070	55116979	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr12	55118113	133264676	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr13	18445955	114343123	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr14	18223583	106880670	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr15	19795285	101980591	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	10291	28361590	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28362629	28402196	5	3	2
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28405984	28413833	3	3	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28415321	28438764	2	2	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28441225	28456974	8	8	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28471740	28471740	10	10	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr16	28473820	90226358	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr17	151035	83237603	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr18	16444	80259190	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr19	157892	58607412	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	80457	34989558	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	34991096	35527132	3	2	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	35528453	51197980	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	51201310	51743694	3	2	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	51746260	52678307	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	52679623	52705713	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	52706825	53261420	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	53263322	54662985	3	2	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	54665050	61927868	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	61928981	61928981	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr20	61930469	64331516	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr21	7762688	46699722	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chr22	15284540	50802392	2	1	1
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	2781514	76856275	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	76858748	76886576	2	2	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	76887592	79893056	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	79894149	79900535	0	0	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	79901710	104593374	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	104596200	104607072	2	2	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	104608123	105554323	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	105555570	105567812	0	0	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	105570541	115660954	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	115662766	115677672	3	3	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	115681092	116135173	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	116137596	116148689	2	2	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	116150814	134002512	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	134004850	134016821	0	0	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrX	134018347	155699751	1	1	0
c3ec294d-2862-4510-ba10-a7ea7d3ca87b	chrY	2789135	26622951	1	1	0
