GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	62920	98588	12	0.8752
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	98602	16868660	8696	0.0027
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	16877002	16935200	48	-0.6594
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	16935302	21975076	3343	0.0066
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	21983381	21985415	2	-1.8254
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	21991690	25256800	1919	0.0027
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	25256850	25320455	25	0.8582
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	25336819	34625993	4948	0.0072
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	34626037	34638890	22	-0.6266
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	34648667	72284670	23759	0.0028
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	72290430	72297687	9	-1.0212
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	72302735	72346221	49	0.6212
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	72346757	75585159	1930	0.0128
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	75589078	75589169	2	-2.9389
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	75593824	80217145	3033	0.0053
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	80217954	80220025	3	-1.411
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	80221254	89009572	5971	0.0044
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	89012275	89012522	2	1.7721
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	89015841	107995099	11812	0.0067
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	107995780	107996224	2	-1.7998
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	107997762	109679105	850	0.0142
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	109684695	109697533	14	0.8191
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	109697556	143748074	7236	0.0129
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	143748421	143751380	7	1.1833
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	143751625	150057713	1010	0.0419
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	150057994	150058787	2	-1.4279
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	150061347	152583230	1325	0.0126
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	152583291	152618018	35	0.4102
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	152618089	158896783	3818	0.0081
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	158898711	158899969	2	1.7562
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	158905028	159984579	728	0.0196
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	159984999	159985204	2	-1.725
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	159992687	174827267	10464	0.0028
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	174827418	174832716	17	-0.755
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	174832734	179361393	3074	0.0169
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	179362247	179364180	3	-1.5046
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	179370071	196745743	11569	0.0032
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	196758720	196832525	57	-0.9792
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	196832720	229675422	21844	0.0021
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	229681109	229684449	3	-3.2624
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	229684709	240228440	8114	-0.0023
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	240230715	240230824	5	-2.7135
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	240230839	242356730	1619	0.0123
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	242359890	242363967	4	-1.0383
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	242367455	248524859	4055	0.0093
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	248525264	248585918	10	0.643
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	1	248586259	248930189	171	0.0183
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	12784	27216883	19352	-0.0146
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	27218434	27218632	3	-1.9757
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	27219036	35750907	5644	-0.0032
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	35752724	35762850	6	-2.0766
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	35762881	41145494	4039	0.0044
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	41153307	41342865	160	-1.1356
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	41352582	49295759	5649	-0.0044
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	49305903	49308629	2	1.4968
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	49310530	52514599	2272	-0.0023
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	52516787	52554404	41	0.8805
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	52560811	57178889	3356	0.0026
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	57178926	57179732	7	0.6771
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	57180143	57223101	59	0.0214
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	57223479	57228337	2	-1.6984
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	57233909	65489482	4819	-0.007
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	65490878	65491040	3	1.6961
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	65491681	111331380	23772	-0.0034
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	111341356	111351762	2	-1.8009
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	111360747	128880504	10800	-0.005
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	128880904	128882723	14	-0.847
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	128882741	146104517	10415	-0.0039
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	146106836	146109366	24	1.0576
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	146120238	183219425	22843	-0.0126
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	183220725	183224996	10	-1.0785
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	2	183229270	242147305	36214	-0.0084
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	20930	1214696	994	0.0567
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	1215076	1215082	2	-2.0122
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	1215168	6604856	4820	0.0214
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	6609441	6611535	21	-0.7314
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	6611557	37272404	21353	0.008
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	37274033	37286947	4	-1.2242
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	37287651	47437019	6308	0.0098
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	47450332	47451230	2	-2.7636
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	47455724	52989195	2223	0.0072
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	52994359	53005247	39	-0.4775
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	53005263	58806435	3916	-0.0024
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	58813073	58813290	3	-1.4496
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	58814158	60428734	1455	0.0342
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	60429527	60449149	25	-1.1367
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	60455608	65202778	4162	0.0186
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	65203560	65214027	31	-0.7782
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	65214192	65217857	5	0.3316
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	65217863	65224777	16	-0.5372
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	65230674	68697013	2425	0.0032
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	68697108	68699607	15	-1.7469
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	68699635	74508994	4408	0.0042
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	74509717	74509830	2	-1.7026
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	74512656	99332309	11595	0.0208
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	99332466	99337046	8	-1.0299
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	99337604	130067896	18654	0.0061
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	130067910	130087393	28	0.7935
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	130088081	136300257	4028	0.0062
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	136304109	136306584	2	-2.9857
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	136319699	162815162	16259	0.0071
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	162816942	162822702	6	-1.5015
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	162827928	195558822	20717	0.0053
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	195559056	195720051	26	-0.9069
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	3	195728637	198169247	1185	0.0259
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	68929	4121101	1628	0.0156
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	4133219	4151033	5	-0.9896
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	4158336	9455251	3525	0.0078
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	9459504	9477699	6	1.2199
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	9484440	10208766	540	0.0406
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	10212536	10229874	29	-2.2267
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	10232590	26287196	11738	0.005
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	26290363	26293154	3	-1.471
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	26293552	68418873	24727	0.008
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	68422420	68422424	3	-2.0773
d6426bc1-2dc4-43d3-8f99-eb845179e0e0	4	68429081	68478894	9	-0.1427
