GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	62920	1575421	210	-0.0758
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	1696479	1741164	15	-1.4408
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	1756148	13445266	6325	-0.1153
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	13449605	13450361	2	-1.5878
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	13460805	16542868	2094	-0.1101
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	16544783	16855942	56	-0.3808
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	16863509	16935752	55	0.2158
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	16949746	25256850	5262	-0.1077
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	25266637	25319693	21	-0.761
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	25320198	26808902	653	-0.1324
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	26814582	27085981	98	0.35
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	27087099	34626073	4203	-0.1077
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	34637053	34638890	20	-1.2485
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	34648667	72284670	23757	-0.1096
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	72290430	72302815	11	-1.3118
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	72303233	72345465	46	0.5775
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	72346221	75585159	1932	-0.1443
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	75589078	75589169	2	-2.8703
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	75593824	109983974	21877	-0.1124
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	109988250	110832944	647	0.2278
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	110833459	110875595	78	0.3844
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	110875664	112147704	1039	0.2282
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	112153343	112154619	23	-0.4036
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	112154754	113546694	860	0.2376
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	113553216	121074420	4215	0.0559
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	121106220	152583051	2534	0.2216
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	152583230	152614118	35	1.3952
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	152618018	152789447	168	0.169
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	152789463	152795883	34	0.8643
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	152796094	158896783	3618	0.2073
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	158898711	158899969	2	3.3485
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	158905028	161509648	1641	0.2097
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	161532067	161649268	16	0.8004
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	161678447	169247699	6012	0.1971
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	169264736	169272528	7	1.0695
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	169273163	180803572	7511	0.195
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	180804831	180804994	2	-1.129
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	180805017	196745743	10668	0.185
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	196758720	196832720	58	0.5573
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	196843377	248546369	35652	0.197
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	248550567	248645808	37	0.6172
bf12da41-bbc7-4b51-b972-07a784eeaca6	1	248646068	248930189	139	0.2434
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	12784	12266885	9419	-0.3031
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	12268763	34466002	14673	-0.1097
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	34474248	34511990	46	-2.151
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	34512096	34694555	116	-0.1099
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	34697274	34698201	3	-1.1803
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	34702818	43712048	6644	-0.0914
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	43713127	43713177	2	-1.525
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	43714437	49305903	3961	-0.0924
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	49308629	49314051	5	-1.2805
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	49317902	52527330	2273	-0.1164
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	52527342	52554404	39	-2.3741
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	52560811	91793514	22935	-0.1109
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	91844982	92068872	36	0.4238
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	92078382	97359885	883	0.0727
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	97524284	97550415	10	0.7142
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	97552143	102909522	3294	0.0391
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	102911853	104708031	1089	-0.0214
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	104710554	106263639	1185	0.0377
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	106264257	106268557	10	-0.849
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	106268901	113604438	3787	0.033
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	113604837	113623244	3	-1.5877
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	113625975	123635151	6380	0.0216
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	123635641	123636215	2	-1.531
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	123639363	130031201	4113	0.0082
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	130036283	130116915	14	0.5017
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	130117303	137775186	4401	0.023
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	137779790	137780124	2	0.261
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	137783464	138143413	239	0.796
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	138145593	141428248	2040	0.2314
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	141429971	141746933	265	-0.3355
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	141746977	172690673	18692	-0.1193
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	172691152	172691308	2	-1.9707
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	172694340	194500751	13135	-0.1006
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	194500790	194501795	4	-1.6583
bf12da41-bbc7-4b51-b972-07a784eeaca6	2	194510785	242147305	29850	-0.1065
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	20930	25028254	18744	-0.0959
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	25036183	25040446	7	-2.0604
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	25040914	39773165	10102	-0.0993
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	39775922	39776003	2	-1.691
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	39776466	46733893	4330	-0.1035
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	46734326	46847885	59	0.1301
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	46853612	60251893	7724	-0.113
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	60255320	60662336	440	-0.261
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	60662399	65202778	3917	-0.1053
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	65203560	65222055	47	-0.3982
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	65224302	68682877	2428	-0.1198
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	68697013	68698262	15	-1.586
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	68699607	78922476	6880	-0.1201
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	78922890	78925029	3	-1.4871
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	78929850	83254573	2373	-0.13
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	83256215	83256584	2	-1.701
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	83263666	99218119	6651	-0.1137
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	99218940	99230577	39	0.3529
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	99232120	116630770	10572	-0.1157
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	116635621	117027414	342	-0.3544
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	117027910	130067910	7808	-0.1096
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	130068178	130089968	31	0.5527
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	130092370	131987852	1164	-0.1072
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	131989313	131989627	2	-2.0783
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	131996155	137314218	3332	-0.1189
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	137314418	137314421	3	1.267
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	137314580	162795304	15773	-0.0958
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	162795361	162807070	9	-1.1142
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	162810842	162822702	10	0.0804
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	162827928	162898127	42	-0.7203
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	162906054	193160173	19180	-0.0944
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	193160256	193165114	18	-1.4522
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	193168646	194523993	898	-0.0864
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	194524911	194532008	3	-1.3934
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	194532531	194879838	240	-0.0592
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	194883193	194885923	3	-1.076
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	194889610	195729069	370	-0.0816
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	195729085	195751823	14	-0.6645
bf12da41-bbc7-4b51-b972-07a784eeaca6	3	195751990	198169247	1165	-0.048
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	68929	360262	140	-0.1931
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	373130	547806	68	0.3132
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	547938	1356534	305	0.6123
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	1362992	3321018	815	0.2734
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	3322040	3757004	202	-0.1712
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	3759664	4361472	275	0.2596
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	4361807	6419679	1714	-0.2074
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	6420624	6421471	6	-2.4777
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	6421825	7124791	444	-0.179
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	7126132	7761121	546	0.2726
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	7761302	9455251	645	-0.1748
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	9459504	9477699	6	0.7485
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	9484440	10208766	540	-0.1836
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	10212536	10233644	36	-0.8127
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	10234518	10385349	169	-0.2147
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	10388498	10401094	19	0.1007
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	10401122	10791869	316	-0.1791
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	10793111	17928711	5500	0.2605
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	17929704	17937368	2	-1.2749
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	17937834	29739435	7966	0.2605
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	29743632	30205442	294	-0.2252
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	30207711	34777432	2707	0.2373
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	34784878	34823103	38	-2.5006
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	34828250	34830245	7	0.6298
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	34833940	36009771	763	0.2713
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	36010007	36012790	6	0.6761
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	36013359	36013896	4	-0.6469
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	36015896	37360520	947	0.2801
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	37361016	39702577	1595	0.3234
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	39702789	39712189	9	-0.2246
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	39712559	43366272	2359	0.3089
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	43372617	48094764	2649	0.2536
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	48095161	48334354	316	0.3721
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	48334676	48334905	3	-0.4922
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	48336327	49087357	306	0.3751
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	49091769	49656595	33	-0.147
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	51819533	57401906	3716	0.2772
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	57403002	61071220	2347	0.2383
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	61075217	61076234	2	-1.3311
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	61079968	63805522	1488	0.2258
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	63806949	63842540	43	0.6135
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	63850713	68378716	2851	0.2563
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	68389352	68422424	10	-1.01
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	68429081	68478894	9	0.4779
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	68494770	68725894	77	0.7407
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	68726064	105369944	22256	0.271
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	105370964	105374690	3	-0.9244
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	105376032	114252544	5437	0.2622
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	114254167	114261019	23	1.1264
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	114263073	126769752	7530	0.2607
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	126772613	126854028	51	0.496
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	126854408	126976953	70	0.288
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	126978379	126979285	3	-0.6681
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	126993421	128785271	897	0.2677
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	128786334	129259069	239	0.343
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	129261939	136384749	3919	0.2391
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	136387226	136524015	102	-0.2244
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	136524035	154881396	11239	0.2704
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	154881853	154881926	3	1.6073
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	154882047	157259355	1616	0.2584
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	157260685	157264760	4	-1.0831
bf12da41-bbc7-4b51-b972-07a784eeaca6	4	157266004	160925821	2266	0.2567
