GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	62920	266187	17	-0.0799
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	462795	462894	2	1.7251
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	599171	12428419	6269	0.0142
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	12429790	12432903	3	-1.1978
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	12436500	16636818	2371	0.017
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	16637050	16643961	15	-0.628
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	16679239	16863509	27	-0.0849
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	16864367	16932568	46	0.4382
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	16934716	25256850	5270	0.0141
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	25266637	25320455	24	-1.5979
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	25336819	41920619	9036	0.0161
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	41921259	41921752	2	-1.6972
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	41923942	52928334	5854	0.0182
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	52932888	52940007	2	-1.3351
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	52944542	64891496	8903	0.0083
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	64891534	64896857	16	-0.4729
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	64896882	72297687	4906	0.0142
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	72302735	72345465	48	-1.2598
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	72346221	72795311	325	0.0218
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	72796887	105470754	20595	-0.0908
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	105476583	105479753	17	0.5587
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	105481433	121562160	9769	-0.0841
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	121562506	152583051	2456	0.1334
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	152583230	152613762	31	-1.7492
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	152613802	174827267	14994	0.0962
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	174827418	174832869	20	-0.4464
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	174832902	193186662	12226	0.093
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	193187149	193187202	3	-1.6088
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	193187218	196762480	2394	0.0932
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	196762956	196854187	60	0.446
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	196854483	236946198	27240	0.0908
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	236946303	236946526	2	-1.8807
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	1	236950731	248930189	8542	0.0899
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	12784	15203406	11544	-0.0031
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	15205221	15208543	2	-1.7623
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	15211062	87134049	47576	-0.0043
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	87146770	87674944	112	0.523
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	87695122	146106875	31113	0.0096
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	146106889	146109366	21	-1.7598
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	146120238	152727907	4061	0.015
6f2eb06a-28db-4a18-aaec-e1d38a125ee2	2	152731078	152740132	2	-1.4087
