GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	62920	15823420	8339	0.0266
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	15827002	15827430	6	-1.3166
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	15827706	72280884	34335	0.0466
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	72280898	72345255	57	0.5478
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	72345393	109684893	23517	0.058
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	109690352	109692006	10	-1.2058
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	109696900	112147704	1951	0.0506
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	112153343	112154619	23	-1.757
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	112154754	121170716	5072	0.0535
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	121201569	152583051	2518	0.2238
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	152583230	152618089	37	-0.8187
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	152618187	152785214	163	0.221
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	152787202	152796224	38	-0.345
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	152801429	161509648	5244	0.2209
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	161532067	161649268	16	0.8305
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	161678447	189287661	19122	0.2238
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	189289682	189553766	164	0.4395
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	189553933	194479104	3364	0.2385
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	194482281	194485888	2	2.0404
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	194487886	195272551	487	0.2379
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	195272936	195396646	74	0.5146
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	195396767	203937000	5473	0.2348
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	203939357	203953367	12	-0.4812
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	203954065	211918681	5557	0.2218
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	211919458	211921656	2	-1.3035
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	211922123	212831113	604	0.2182
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	212831670	212837094	7	-1.2661
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	212841111	227237600	9688	0.2296
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	227238371	227238705	3	-1.2233
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	227241477	230468076	1976	0.2242
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	230470357	230470432	2	-1.6848
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	230478364	248903494	13319	0.2246
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	1	248903846	248930189	14	0.0005
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	12784	30143	10	-0.0295
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	33901	34346	3	-1.7077
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	36862	34294381	23919	0.0362
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	34295406	34300513	3	-1.5022
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	34300900	34466002	95	0.0725
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	34474248	34511990	45	-1.4707
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	34512096	41010908	4783	0.0509
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	41010924	41011478	10	0.935
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	41011533	49305903	5903	0.0452
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	49308629	49310656	3	-3.0298
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	49311506	52516787	2267	0.0672
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	52527330	52554274	36	0.9649
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	52554359	88836630	22546	0.0457
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	88836647	89933871	185	-0.1888
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	89936810	97535071	1073	0.0386
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	97537802	97545726	5	-1.2977
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	97550415	207485523	66206	0.0433
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	207485538	207494752	23	-0.6807
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	2	207494795	242147305	22025	0.0383
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	20930	5493206	4816	-0.1427
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	5493895	5497427	2	-2.728
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	5497901	86751632	53935	-0.1506
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	86760301	99218940	4758	0.078
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	99225614	99229699	18	-0.3484
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	99229738	99230212	9	-0.8897
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	99230225	136300257	22724	0.0722
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	136304109	136306584	2	-1.8593
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	136319699	162996729	16329	0.0789
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	162999939	163001774	2	-3.7037
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	163008371	193290254	19128	0.0826
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	193290686	193294123	2	-2.5218
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	193294794	195720051	1422	0.0695
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	195728637	195751823	20	-0.4671
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	195751990	198107699	1138	0.0679
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	3	198107849	198169247	27	-0.1943
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	68929	9455251	5150	-0.0246
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	9459504	9477560	5	-1.2054
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	9477699	10208766	537	-0.0461
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	10222004	10229469	25	0.7344
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	10229625	34777432	16935	-0.0051
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	34784878	34823103	38	-2.2505
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	34828250	63828222	16509	0.0059
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	63831751	63852325	31	0.4451
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	63856498	68418873	2837	0.0025
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	68422420	68422424	3	-1.6644
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	68429081	68967016	230	-0.0474
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	68969576	69436657	256	0.17
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	69436722	114413553	27350	-0.01
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	114428694	114520397	57	0.4977
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	114522539	121360818	4138	-0.0031
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	121361313	121363980	28	-0.549
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	121369976	160950523	23497	-0.0009
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	160950608	160964197	49	0.3749
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	160966393	189273964	18742	-0.0094
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	189274468	189278110	3	-2.3456
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	4	189278617	190106768	350	-0.0242
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	15532	741924	323	0.1512
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	742574	819700	20	-0.394
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	819817	1833513	546	0.1045
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	1834163	12800777	9268	0.2022
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	12815668	12838421	14	-1.2589
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	12849089	21434746	5487	0.206
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	21434769	21518398	20	0.7227
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	21518631	24869170	1950	0.2083
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	24870922	59635949	19320	0.0427
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	59638384	59750343	73	-0.7771
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	59752791	99147616	22327	0.0377
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	99152826	100512630	759	0.1217
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	100513951	106805136	3684	0.0465
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	106805728	106920232	78	0.2848
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	106920352	150815622	28286	0.0332
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	150819281	150839042	12	-0.7423
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	150843825	176033084	17683	0.0319
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	176038686	176042504	2	-2.4582
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	176043321	177839225	732	0.0208
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	177876764	177879634	2	-1.8097
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	5	177883336	181363319	1973	0.0176
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	149661	253861	99	0.084
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	254267	373453	96	0.5803
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	375277	29866672	21396	0.1574
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	29866695	29958684	66	-0.262
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	29968530	31313046	622	0.1439
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	31318499	31342147	12	-1.7665
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	31349570	32912768	738	0.0492
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	32913750	33970222	619	0.158
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	33970966	33974928	7	-0.9372
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	33976809	48963228	9564	0.1647
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	48964092	48967563	4	-1.5505
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	48978926	57434511	5295	0.1655
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	57791244	62215737	973	-0.1166
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	62215966	62217987	2	-1.8868
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	62218399	66328153	2383	-0.1336
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	66331020	66333004	6	-2.2044
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	66333299	74823796	5618	-0.1357
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	74824464	74824465	2	2.5351
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	74824680	78246837	2139	-0.1363
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	78251492	78336185	128	0.1883
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	78336944	80574999	1427	-0.1379
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	80575042	80579817	28	-1.1679
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	80584624	103282618	13957	-0.1407
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	103282678	103314186	53	0.607
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	103317795	170587556	44017	-0.151
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	6	170587756	170741917	15	0.1037
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	43355	16657813	11365	0.0489
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	16660822	16662219	10	-0.9051
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	16670083	22395161	4629	0.0524
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	22395853	22396868	2	-2.5237
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	22399135	134090709	65477	0.0443
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	134093676	134105690	29	0.6814
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	134110881	143780181	6140	0.0252
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	143790571	143802294	4	-1.5007
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	143846758	144176859	276	0.0737
039dd88e-a3dc-4abd-a8b1-9cfcfe98842f	7	144199159	144295437	10	0.8976
