GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	62920	3040102	631	0.1027
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	3040551	5060514	1434	0.0214
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	5061003	5062306	3	-1.0538
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	5062550	12779433	4422	0.0133
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	12792599	12817195	22	0.4014
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	12822696	15163186	1402	0.0205
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	15163303	15163790	7	-0.756
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	15167414	16689764	762	0.0306
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	16718963	16721984	6	-1.1837
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	16766762	25278567	5343	0.0204
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	25284629	25284961	2	-1.6336
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	25289805	61648334	21447	0.0141
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	61648509	61649279	2	-2.2285
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	61652515	70453039	6134	0.013
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	70453993	70455054	2	-1.2928
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	70455490	71327356	574	-0.0015
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	71327538	71327539	2	1.2591
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	71331231	72280898	574	0.0018
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	72284165	72297687	11	-0.7834
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	72302735	105470754	21001	0.0123
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	105476583	105479753	17	0.6273
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	105481433	109690352	2635	0.0046
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	109690415	109702376	13	-0.8314
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	109703504	112147704	1950	0.0123
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	112153343	112154768	25	-0.4362
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	112163334	143541857	5164	0.0187
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	143545399	143796140	117	-0.66
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	143811517	152583051	2324	0.0337
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	152583230	152613762	31	-1.5346
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	152613802	152787202	171	0.0198
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	152789447	152796224	37	0.7904
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	152801429	167795598	10172	0.0158
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	167796946	167797188	2	-1.7835
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	167797213	189053842	14140	0.0101
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	189058092	189063349	8	-0.8793
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	189065103	196762956	5157	0.0072
fdfd3cd6-dd4c-4b15-b130-73f7644e4ac1	1	196769493	196846661	57	-0.5139
