GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a048c2a2-6938-4952-8c05-1031fcf96b50	1	62920	3797918	992	-0.0328
a048c2a2-6938-4952-8c05-1031fcf96b50	1	3800840	15632869	7243	0.0121
a048c2a2-6938-4952-8c05-1031fcf96b50	1	15633391	16686246	447	-0.0424
a048c2a2-6938-4952-8c05-1031fcf96b50	1	16689764	16788139	20	0.4093
a048c2a2-6938-4952-8c05-1031fcf96b50	1	16855942	25269456	5322	0.005
a048c2a2-6938-4952-8c05-1031fcf96b50	1	25269914	25320455	21	-0.3624
a048c2a2-6938-4952-8c05-1031fcf96b50	1	25336819	27343668	844	-0.0173
a048c2a2-6938-4952-8c05-1031fcf96b50	1	27345434	27576831	78	0.3254
a048c2a2-6938-4952-8c05-1031fcf96b50	1	27579514	29028361	608	-0.0287
a048c2a2-6938-4952-8c05-1031fcf96b50	1	29031113	29382391	173	0.3932
a048c2a2-6938-4952-8c05-1031fcf96b50	1	29383231	30261189	683	0.001
a048c2a2-6938-4952-8c05-1031fcf96b50	1	30264526	30268809	10	-0.642
a048c2a2-6938-4952-8c05-1031fcf96b50	1	30269103	33399467	1609	-0.0038
a048c2a2-6938-4952-8c05-1031fcf96b50	1	33406992	33699965	208	0.3813
a048c2a2-6938-4952-8c05-1031fcf96b50	1	33708176	34626073	736	0.0163
a048c2a2-6938-4952-8c05-1031fcf96b50	1	34637053	34638890	20	-2.4335
a048c2a2-6938-4952-8c05-1031fcf96b50	1	34648667	37117557	1289	-0.0109
a048c2a2-6938-4952-8c05-1031fcf96b50	1	37118725	39456656	1331	0.0908
a048c2a2-6938-4952-8c05-1031fcf96b50	1	39459614	72284670	21134	0.0126
a048c2a2-6938-4952-8c05-1031fcf96b50	1	72290430	72297687	9	-1.0213
a048c2a2-6938-4952-8c05-1031fcf96b50	1	72302735	72346221	49	0.3374
a048c2a2-6938-4952-8c05-1031fcf96b50	1	72346757	88198108	10404	0.0173
a048c2a2-6938-4952-8c05-1031fcf96b50	1	88198325	90438901	1422	0.0771
a048c2a2-6938-4952-8c05-1031fcf96b50	1	90439355	99226471	5453	0.0145
a048c2a2-6938-4952-8c05-1031fcf96b50	1	99227603	101899509	1777	0.0752
a048c2a2-6938-4952-8c05-1031fcf96b50	1	101900154	103621165	973	0.0268
a048c2a2-6938-4952-8c05-1031fcf96b50	1	103697067	103717410	3	-1.5619
a048c2a2-6938-4952-8c05-1031fcf96b50	1	103717617	105470754	919	0.0256
a048c2a2-6938-4952-8c05-1031fcf96b50	1	105476583	105479753	17	0.7843
