GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	62920	10306654	5162	0.0231
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	10307072	10317419	19	0.4254
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	10317466	12832455	1335	0.0255
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	12850124	12867264	6	-1.0405
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	12868035	15823420	1819	0.0223
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	15827002	15828515	10	-0.4645
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	15839166	16679483	331	0.0169
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	16685961	16949746	79	-0.4587
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	16951445	20567472	2557	0.014
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	20567957	20568124	2	-1.6916
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	20568125	25266637	2704	0.0218
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	25269390	25318693	18	0.7116
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	25319167	34626073	4956	0.0238
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	34637053	34638890	20	-0.7793
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	34648667	72284670	23762	0.0193
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	72290430	72297687	9	-0.8555
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	72302735	74339653	1224	0.039
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	74340060	74340481	2	-1.4543
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	74340868	103616762	18860	0.0187
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	103620877	103717410	5	2.3348
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	103717617	108358141	2941	0.0125
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	108358744	108367395	3	-2.1528
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	108368123	109684893	628	0.0198
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	109690352	109691788	8	0.7377
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	109691933	152583051	9584	0.0198
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	152583230	152613762	31	-2.1518
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	152613802	152789447	172	-0.0116
0fc253b1-cd59-472d-a2d9-9e60b705e7d7	1	152789463	152796224	36	0.4937
