GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	62920	462894	19	0.1303
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	599171	3301765	719	-0.3885
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	3302046	16583114	7903	-0.2072
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	16604834	16721984	38	0.1211
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	16766762	16877002	18	-0.1357
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	16883108	16999460	74	-0.6292
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	17003142	19370884	1702	-0.239
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	19371421	24126203	2793	-0.1876
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	24126273	24126588	2	-1.5744
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	24128198	29203431	2360	-0.167
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	29207072	30245401	768	-0.2475
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	30246540	30264526	19	-0.4586
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	30265508	30266949	7	-2.2107
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	30268649	30680834	347	-0.2423
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	30682743	30778417	68	-0.4527
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	30778851	34626073	2140	-0.1989
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	34637053	34638890	20	-0.6471
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	34648667	47599666	7174	-0.1959
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	47605484	47605505	2	-2.0883
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	47605676	72297687	16577	-0.2233
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	72302735	72345465	48	0.9306
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	72346221	102287373	19332	-0.2218
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	102287779	102393290	93	-0.0323
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	102396750	103570265	575	-0.2327
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	103570536	103697067	27	0.2771
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	103697364	105470754	921	-0.2322
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	105476583	105479753	17	0.6996
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	105481433	108941228	2284	-0.2165
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	108943647	108955523	17	-1.2961
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	108961034	109072326	48	-0.0711
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	109080087	119984738	7303	-0.2117
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	119984772	121597150	117	-0.0529
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	121598439	152787202	2646	0.354
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	152789447	152795883	35	-0.17
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	152796094	155210675	1343	0.3557
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	155219369	155231273	11	0.8963
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	155241876	155691436	203	0.3463
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	155692180	155693566	2	-2.2661
2ffac0f4-2223-40a2-a315-ce26ec2244e4	1	155697170	248930189	63784	0.3326
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	12784	3176122	2215	-0.0263
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	3179183	3189269	10	-0.6605
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	3191657	4168830	765	-0.0138
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4168862	4171949	17	0.4279
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4171952	4602761	370	0.0095
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4604202	4605672	4	-0.8265
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4606898	4870219	245	-0.0026
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4870307	4870552	7	-1.9249
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	4876276	6158008	1051	0.012
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	6159905	6167718	32	-1.0895
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	6167743	12642957	5003	0.0359
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	12647693	23717176	7900	-0.0025
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	23718478	35750907	7382	0.0224
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	35752724	35762850	6	-1.8037
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	35762881	40385644	3426	0.0238
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	40386067	40386349	2	-1.975
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	40387528	52024798	8362	0.0178
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	52028097	52682544	467	0.0993
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	52682566	78648165	16763	0.0166
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	78650983	79462794	619	0.0981
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	79470645	89044490	5239	0.0081
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	89055939	89069842	6	-0.788
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	89085826	89265460	49	0.0038
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	89268711	89988886	24	0.3469
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	89988898	97359885	1056	0.0096
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	97524284	97545726	9	1.2328
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	97550415	106265177	5571	0.0184
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	106266773	106268901	8	-2.5295
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	106270799	109704919	2109	0.0082
2ffac0f4-2223-40a2-a315-ce26ec2244e4	2	109743935	109984252	3	1.4271
