GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
809d6661-c497-491a-810d-309546fa7b9a	1	62920	2793053	522	0.1508
809d6661-c497-491a-810d-309546fa7b9a	1	2794307	8911283	3935	0.0379
809d6661-c497-491a-810d-309546fa7b9a	1	8911966	8923700	5	-0.9446
809d6661-c497-491a-810d-309546fa7b9a	1	8923709	16542868	4186	0.0343
809d6661-c497-491a-810d-309546fa7b9a	1	16544783	16935302	108	-0.3427
809d6661-c497-491a-810d-309546fa7b9a	1	16935393	21992508	3347	0.0334
809d6661-c497-491a-810d-309546fa7b9a	1	21996664	22010750	5	-1.1877
809d6661-c497-491a-810d-309546fa7b9a	1	22011632	25256850	1912	0.0392
809d6661-c497-491a-810d-309546fa7b9a	1	25266637	25320455	24	0.6109
809d6661-c497-491a-810d-309546fa7b9a	1	25336819	36012683	5595	0.0424
809d6661-c497-491a-810d-309546fa7b9a	1	36031425	36270454	103	0.5906
809d6661-c497-491a-810d-309546fa7b9a	1	36272832	61648509	15744	0.0391
809d6661-c497-491a-810d-309546fa7b9a	1	61649279	61652515	2	-1.4591
809d6661-c497-491a-810d-309546fa7b9a	1	61654137	72318265	7313	0.048
809d6661-c497-491a-810d-309546fa7b9a	1	72318471	72345450	31	0.3968
809d6661-c497-491a-810d-309546fa7b9a	1	72345465	75585159	1933	0.0313
809d6661-c497-491a-810d-309546fa7b9a	1	75589078	75589169	2	-2.4649
809d6661-c497-491a-810d-309546fa7b9a	1	75593824	105470754	19026	0.0434
809d6661-c497-491a-810d-309546fa7b9a	1	105476583	105481448	19	-1.7647
809d6661-c497-491a-810d-309546fa7b9a	1	105481468	109684893	2635	0.042
809d6661-c497-491a-810d-309546fa7b9a	1	109690352	109697556	13	0.7065
809d6661-c497-491a-810d-309546fa7b9a	1	109702376	152582700	9582	0.0545
809d6661-c497-491a-810d-309546fa7b9a	1	152583051	152614100	35	0.5248
809d6661-c497-491a-810d-309546fa7b9a	1	152614118	152789447	169	0.0315
809d6661-c497-491a-810d-309546fa7b9a	1	152789463	152796224	36	0.7158
809d6661-c497-491a-810d-309546fa7b9a	1	152801429	158896783	3615	0.0495
809d6661-c497-491a-810d-309546fa7b9a	1	158898711	158899969	2	2.6494
809d6661-c497-491a-810d-309546fa7b9a	1	158905028	189679027	21121	0.0513
809d6661-c497-491a-810d-309546fa7b9a	1	189679353	189679397	2	-1.7026
809d6661-c497-491a-810d-309546fa7b9a	1	189682917	196769493	4742	0.0298
809d6661-c497-491a-810d-309546fa7b9a	1	196769506	196832720	53	-0.2991
809d6661-c497-491a-810d-309546fa7b9a	1	196843377	248524859	35647	0.0454
809d6661-c497-491a-810d-309546fa7b9a	1	248525264	248686496	60	0.3533
809d6661-c497-491a-810d-309546fa7b9a	1	248686511	248930189	121	0.0803
809d6661-c497-491a-810d-309546fa7b9a	2	12784	41011095	28945	0.0501
809d6661-c497-491a-810d-309546fa7b9a	2	41011303	41015728	17	-0.6689
809d6661-c497-491a-810d-309546fa7b9a	2	41015808	52516787	8185	0.0483
809d6661-c497-491a-810d-309546fa7b9a	2	52527330	52554404	40	0.9474
809d6661-c497-491a-810d-309546fa7b9a	2	52560811	130031201	43729	0.0458
809d6661-c497-491a-810d-309546fa7b9a	2	130036283	130036310	2	-1.9248
809d6661-c497-491a-810d-309546fa7b9a	2	130037806	130067885	8	-0.0763
809d6661-c497-491a-810d-309546fa7b9a	2	130068107	130116915	4	-1.0632
809d6661-c497-491a-810d-309546fa7b9a	2	130117303	131458124	425	0.0587
809d6661-c497-491a-810d-309546fa7b9a	2	131464435	131468795	3	-1.4038
809d6661-c497-491a-810d-309546fa7b9a	2	131472229	146106861	9103	0.037
809d6661-c497-491a-810d-309546fa7b9a	2	146106875	146109366	22	1.0606
809d6661-c497-491a-810d-309546fa7b9a	2	146120238	242147305	59084	0.0471
809d6661-c497-491a-810d-309546fa7b9a	3	20930	37935926	27635	0.0235
809d6661-c497-491a-810d-309546fa7b9a	3	37940617	37945651	20	-0.6047
809d6661-c497-491a-810d-309546fa7b9a	3	37946283	47437019	5850	0.0255
809d6661-c497-491a-810d-309546fa7b9a	3	47450332	47451230	2	-2.6733
809d6661-c497-491a-810d-309546fa7b9a	3	47455724	61009928	8251	0.0108
809d6661-c497-491a-810d-309546fa7b9a	3	61010124	61010264	2	-1.5297
809d6661-c497-491a-810d-309546fa7b9a	3	61010548	68675541	6041	0.0058
809d6661-c497-491a-810d-309546fa7b9a	3	68676600	68698262	17	1.1324
809d6661-c497-491a-810d-309546fa7b9a	3	68699607	90197950	13014	0.0116
809d6661-c497-491a-810d-309546fa7b9a	3	90198707	99218940	2894	0.0526
809d6661-c497-491a-810d-309546fa7b9a	3	99225614	99230577	38	0.4195
809d6661-c497-491a-810d-309546fa7b9a	3	99232120	131987852	19917	0.0474
809d6661-c497-491a-810d-309546fa7b9a	3	131989313	131989627	2	-2.2278
809d6661-c497-491a-810d-309546fa7b9a	3	131996155	158632329	16497	0.049
809d6661-c497-491a-810d-309546fa7b9a	3	158633095	158633756	2	-3.8196
809d6661-c497-491a-810d-309546fa7b9a	3	158641083	162807070	2619	0.0599
809d6661-c497-491a-810d-309546fa7b9a	3	162810842	162822702	10	0.9327
809d6661-c497-491a-810d-309546fa7b9a	3	162827928	162996729	120	0.0851
809d6661-c497-491a-810d-309546fa7b9a	3	162999939	163001774	2	1.4756
809d6661-c497-491a-810d-309546fa7b9a	3	163008371	193160113	19102	0.0514
809d6661-c497-491a-810d-309546fa7b9a	3	193160173	193165114	19	-1.3398
809d6661-c497-491a-810d-309546fa7b9a	3	193168646	194913439	1157	0.0491
809d6661-c497-491a-810d-309546fa7b9a	3	194913859	194921116	6	-0.9317
809d6661-c497-491a-810d-309546fa7b9a	3	194921751	198169247	1529	0.0486
809d6661-c497-491a-810d-309546fa7b9a	4	68929	4097949	1623	0.0647
809d6661-c497-491a-810d-309546fa7b9a	4	4101617	4151033	10	-0.7371
809d6661-c497-491a-810d-309546fa7b9a	4	4158336	6420749	1889	0.0438
809d6661-c497-491a-810d-309546fa7b9a	4	6421310	6421333	2	-1.6603
809d6661-c497-491a-810d-309546fa7b9a	4	6421471	10208766	2183	0.0574
