GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	62920	2013116	337	0.1066
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	2016961	15822508	7998	-0.0383
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	15822572	15827744	12	0.8408
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	15828471	30266949	8077	-0.0647
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	30268649	30272363	4	1.1691
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	30274729	72303233	26271	-0.0698
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	72303253	72345450	44	-1.1196
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	72345465	86674961	9315	-0.0655
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	86675539	86692446	2	-2.1051
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	86694509	90432644	2462	-0.0749
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	90432918	95689620	3362	-0.1458
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	95690160	95690510	2	1.5509
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	95690660	101575114	3608	-0.1453
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	101578176	102190637	450	0.2286
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	102192088	102375218	145	0.4891
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	102376371	109690415	4174	-0.1293
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	109690431	109702376	12	1.0245
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	109703504	110834746	834	-0.1359
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	110834943	110840603	25	-1.214
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	110840712	112153343	1089	-0.1329
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	112153465	112163438	26	0.4845
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	112163440	120089042	5037	-0.1456
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	120095238	121581632	107	0.4586
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	121593055	146044884	311	0.2013
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	146062439	147901334	609	0.5291
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	147901760	151201646	702	0.3073
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	151207169	152583319	822	0.4465
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	152583408	152600729	18	-0.475
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	152600940	152778761	172	0.4083
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	152782154	152806082	50	0.7727
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	152806100	155982706	1670	0.401
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	155984029	158167724	1325	0.2924
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	158170415	159286876	854	0.0518
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	159287430	161509203	1389	0.2931
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	161509648	169247699	5997	0.0466
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	169264736	169273163	8	0.8138
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	169285639	170227352	712	0.0491
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	170228337	172082792	1208	0.1777
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	172084785	172422125	236	0.3761
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	172422254	173258376	533	0.2119
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	173264788	174827267	811	0.0479
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	174827418	174828195	7	-0.8926
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	174828247	180797680	3966	0.0533
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	180797760	183565800	1970	0.0026
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	183567126	196745743	8667	0.0656
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	196758720	196832312	56	-0.5655
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	196832525	209897717	8765	0.059
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	209908268	209910639	3	-1.7032
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	209913207	225657612	10667	0.0589
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	225658509	226330001	333	0.259
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	226331116	248520099	15759	0.0584
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	248520100	248645563	47	0.4095
35862eb5-aaf2-4b03-9ebe-7f622260dab0	1	248645808	248930189	140	0.0854
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	12784	1287127	841	0.0755
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	1287324	1289899	3	1.5563
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	1290267	34466002	23190	0.0723
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	34474248	34511990	45	0.969
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	34512096	52527330	12970	0.0848
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	52527342	52527743	6	-1.0911
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	52531615	58891333	4437	0.0775
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	58893335	89972503	18327	-0.1985
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	89981062	90282538	123	-0.1014
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	90309328	97359380	939	0.0608
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	97359885	97560849	16	-0.6294
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	97562741	101774966	2484	0.0745
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	101775328	127084661	15401	-0.0529
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	127084748	127100370	12	0.7805
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	127101070	128881408	1031	-0.0618
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	128881423	128882741	8	-1.3053
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	128882755	146107801	10395	-0.0517
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	146108179	146108872	8	-1.0559
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	146109097	182961900	22645	-0.0481
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	182963918	184399858	929	0.0348
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	184400048	227333930	26148	-0.0495
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	227334743	232375213	2978	0.0795
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	232376888	232377633	7	1.0056
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	232377647	235949572	2520	0.0657
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	235950057	235950274	2	1.5846
35862eb5-aaf2-4b03-9ebe-7f622260dab0	2	235953182	242147305	3671	0.0675
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	20930	26570394	19937	-0.1449
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	26570407	60681185	21355	-0.0787
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	60683835	60691656	4	1.2497
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	60691671	60792199	124	-0.0583
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	60794907	60795146	3	-1.5504
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	60795294	62961690	1854	-0.074
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	62962491	62962571	2	1.5305
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	62962870	65211833	1924	-0.0876
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	65213292	65230693	32	0.448
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	65230808	65232734	8	0.0967
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	65232767	66133310	690	-0.0876
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	66135372	68697133	1723	0.2947
35862eb5-aaf2-4b03-9ebe-7f622260dab0	3	68697295	68698262	12	1.3949
