GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	62920	5119746	2103	0.3147
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	5119759	5314123	182	0.1532
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	5314624	5320461	2	1.6445
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	5320542	6645296	787	0.1312
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	6645884	7791826	777	0.2871
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	7792057	19277607	6578	0.1333
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	19277640	25244778	3588	0.0401
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	25247980	25361096	46	0.2977
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	25361785	30189691	2296	0.0405
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	30190003	30192228	3	1.4994
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	30192672	56029448	14818	0.0446
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	56029695	56030972	3	-1.9306
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	56033778	71943465	11379	0.0621
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	71943994	72303233	227	0.1138
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	72303253	72345465	45	-0.9752
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	72346221	81422771	5781	0.0718
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	81422917	81422920	2	1.8614
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	81422982	105079911	14956	0.0783
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	105080318	105080931	2	1.6939
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	105084196	109644606	2857	0.0708
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	109650144	109697556	26	-0.2905
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	109702376	121443040	7066	0.0739
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	121443163	121450637	5	1.1839
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	121451744	143710242	149	0.1348
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	143710767	146039555	214	0.2554
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	146040040	152582700	2140	0.3824
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	152583051	152613641	31	1.2629
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	152613762	152778761	164	0.3638
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	152782154	152805967	48	0.7343
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	152806050	158989785	3677	0.3551
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	158992249	158993006	2	-2.8599
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	158997074	174827267	11130	0.3714
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	174827418	174828195	7	-0.7443
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	174828247	174833313	17	0.1454
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	174833703	174835841	8	1.0933
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	174835884	179361393	3060	0.3726
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	179362247	179364180	3	-1.5237
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	179370071	188875637	6302	0.3786
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	188878383	193186662	2865	0.3331
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	193187149	193187202	3	1.6801
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	193187218	196762956	2400	0.3207
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	196769493	196859741	67	0.6179
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	196862194	199142235	1365	0.3388
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	199142298	199143343	5	-0.7196
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	199143396	204229134	3388	0.2955
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	204230882	204232239	4	1.1203
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	204234523	214464465	7113	0.3045
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	214465093	214465114	2	-0.8705
a163b78e-b83e-4e4b-9fdd-fede826ceb9e	1	214465910	214471952	8	0.0831
