GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	62920	9084905	4555	-0.4963
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	9084954	9590513	266	-1.1474
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	9593792	14588651	2613	-0.4877
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	14592090	14958920	287	-0.0957
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	14959600	17096659	1109	-0.4725
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	17097055	19567246	1779	-0.0735
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	19569726	25244339	3363	-0.4909
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	25244778	25320455	32	-0.0018
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	25336819	27053459	732	-0.4575
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	27053461	29317369	932	0.1732
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	29317816	29758957	313	0.2321
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	29760666	38300626	4951	0.4296
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	38301320	41331426	1648	0.7497
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	41331911	42729054	914	0.6177
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	42732223	54596346	6504	-0.1011
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	54602319	72290430	12726	0.6334
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	72290459	72297687	8	-0.0843
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	72302735	72323928	23	0.9227
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	72328621	72345465	25	1.3657
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	72346221	75585159	1932	0.669
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	75589078	75589169	2	-1.8983
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	75593824	85278006	6494	0.6493
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	85278058	85322284	23	-0.0625
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	85324375	85329136	10	0.6492
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	85330282	89009572	2471	-0.0345
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	89012275	89012522	2	-1.6833
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	89015841	89506503	286	-0.0631
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	89507040	90606628	712	0.2262
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	90609151	103616762	8082	-0.0477
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	103620877	103717410	5	-1.3188
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	103717617	107081853	1992	-0.0028
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	107081941	109679105	1574	-0.4381
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	109684695	109697556	15	-1.0857
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	109702376	109983974	186	-0.4925
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	109988250	112147704	1764	-0.0495
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	112153343	112154768	25	-1.2915
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	112163334	121705338	5159	-0.0635
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	143459641	143601106	36	0.6392
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	143601193	143708229	42	0.9325
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	143709115	143942271	50	0.6333
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	144432083	144442098	4	-0.1805
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	144442342	146044884	174	0.7824
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	146062439	146174153	4	-0.4434
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	146250588	147507367	348	0.6967
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	147507700	147507722	2	-0.6644
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	147509544	147761987	163	0.7154
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	147763487	148289669	119	0.5775
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	148290333	149820412	77	0.3983
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	149844633	150830551	459	0.7274
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	150836413	150836640	2	2.0383
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	150838529	152583051	962	0.7317
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	152583230	152614118	35	-1.421
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	152618018	152787202	166	0.74
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	152789447	152796224	37	-1.4288
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	152801429	152917994	83	0.8777
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	152921879	157352520	2295	0.7249
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	157353006	157470937	90	0.9613
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	157471861	158393913	667	0.4457
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	158395825	158544860	149	0.9167
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	158545103	158545233	5	-0.2016
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	158545295	159062618	435	0.9621
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	159064281	184953929	17991	0.2015
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	184956068	185007889	39	0.926
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	185017332	186406620	851	0.4434
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	186408793	186899949	276	0.7779
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	186900940	196843377	6632	0.2277
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	196843400	196846661	2	-1.5969
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	196847600	198348215	833	0.2182
132fea26-dd36-4dc1-9fab-69c4e23336ef	1	198348406	198349633	2	-1.4588
