GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	62920	2340625	417	-0.2079
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	2342007	2350915	4	1.4894
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	2351678	16583114	8219	-0.2418
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	16604834	16935752	107	-0.6269
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	16949746	16951445	2	1.4997
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	16955930	30264526	7656	-0.2388
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	30265508	30272363	10	-1.0974
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	30274729	34637053	2549	-0.2376
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	34637069	34637435	5	-2.7076
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	34637541	34638263	6	-0.7643
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	34638442	34638890	8	-4.1553
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	34648667	53576374	10400	-0.2304
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	53576663	53577198	3	-1.7783
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	53577437	70958755	12528	-0.227
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	70960577	70964183	2	1.6106
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	70967301	72297687	785	-0.2293
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	72302735	72303233	3	0.9726
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	72303253	72345465	44	-1.5474
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	72346221	89009572	10915	-0.221
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	89012275	89012522	2	-3.6005
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	89015841	103560166	9046	-0.2203
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	103560435	103761017	38	0.3417
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	103764621	105079911	694	-0.2076
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	105080318	105080931	2	1.5491
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	105084196	105470754	217	-0.1747
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	105476583	105479231	13	0.4517
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	105479468	109679105	2632	-0.224
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	109684695	109697556	14	1.4396
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	109702376	110823480	823	-0.2185
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	110827750	110852488	57	-0.6009
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	110852766	112147704	1061	-0.2313
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	112153343	112154768	25	0.5304
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	112163334	121431111	5078	-0.2208
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	121433808	121450637	9	0.6757
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	121451744	121705338	63	-0.2585
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	143459641	152582700	2435	0.3662
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	152583051	152614100	35	1.6842
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	152614118	152784298	165	0.3061
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	152784330	152795883	38	0.9253
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	152796094	169247699	11260	0.3273
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	169264736	169272528	6	-2.7529
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	169273163	194479104	16706	0.3393
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	194482281	194485888	2	-2.0086
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	194487886	196745692	1449	0.3546
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	196745743	196832720	59	0.7083
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	196843377	199142235	1377	0.3439
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	199142298	199143343	5	-2.6203
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	199143396	199144712	3	-0.7151
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	199145110	209897717	7392	0.3315
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	209908268	209908720	2	-1.1669
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	209910639	214464465	3094	0.3314
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	214465093	214465114	2	-1.7941
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	214465910	248220651	23556	0.3358
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	248221080	248263538	28	0.6586
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	248264925	248520100	124	0.4376
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	248520101	248661836	49	0.7496
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	1	248661962	248930189	137	0.3499
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	12784	34466002	24045	-0.0555
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	34474248	34511990	46	-1.9142
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	34512096	45181130	7811	-0.0493
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	45181809	45747716	421	0.341
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	45749281	52527330	4749	-0.0477
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	52527342	52554404	39	0.9252
d7f3ea53-58f6-49f1-9fb5-dfe9b8491814	2	52560811	188254196	78866	-0.0505
