GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	62920	825988	35	0.3314
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	826738	3283773	697	-0.0747
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	3285881	4361012	656	0.0434
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	4361945	4364038	4	-0.9561
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	4364085	16525019	7254	0.0525
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	16542868	16643961	31	0.5973
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	16679239	16767520	15	-0.443
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	16767532	16868660	14	0.1788
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	16877002	16958425	57	-0.4766
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	16959715	25266637	5255	0.059
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	25269390	25284629	12	-0.3969
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	25284961	34626073	4961	0.0524
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	34637053	34638890	20	-0.6132
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	34648667	59538932	14994	0.05
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	59539242	59580188	31	-1.1901
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	59580430	61648334	1443	0.0309
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	61648509	61652515	3	-0.9156
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	61654137	72303233	7299	0.04
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	72303253	72345465	45	-1.5048
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	72346221	109690352	23609	0.0353
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	109690415	109697556	12	0.7735
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	109702376	110700753	714	0.0442
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	110702764	110903233	223	0.1809
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	110907786	112147704	1014	0.0458
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	112153343	112163334	26	-0.6424
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	112163438	143541857	5164	0.0435
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	143545399	143710798	86	-0.7255
5706c297-61f8-46f9-9fd0-6a9ca627620c	1	143710845	152583230	2355	0.0582
