GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f59d6c47-3330-4a4b-8d75-01508fd39704	1	62920	82170	5	0.3489
f59d6c47-3330-4a4b-8d75-01508fd39704	1	82315	16542868	8599	-0.1193
f59d6c47-3330-4a4b-8d75-01508fd39704	1	16544783	16721910	41	-0.6585
f59d6c47-3330-4a4b-8d75-01508fd39704	1	16721984	16883108	20	-0.0848
f59d6c47-3330-4a4b-8d75-01508fd39704	1	16884157	16935737	49	0.3173
f59d6c47-3330-4a4b-8d75-01508fd39704	1	16935752	25256850	5231	-0.1222
f59d6c47-3330-4a4b-8d75-01508fd39704	1	25266637	25320198	22	-2.048
f59d6c47-3330-4a4b-8d75-01508fd39704	1	25320253	30265687	2387	-0.0938
f59d6c47-3330-4a4b-8d75-01508fd39704	1	30266452	30272363	7	-1.3117
f59d6c47-3330-4a4b-8d75-01508fd39704	1	30274729	34626037	2539	-0.0607
f59d6c47-3330-4a4b-8d75-01508fd39704	1	34626073	34638890	21	-0.7006
f59d6c47-3330-4a4b-8d75-01508fd39704	1	34648667	46056905	6305	-0.0589
f59d6c47-3330-4a4b-8d75-01508fd39704	1	46058345	47453336	712	0.1031
f59d6c47-3330-4a4b-8d75-01508fd39704	1	47454093	53162627	3048	0.0349
f59d6c47-3330-4a4b-8d75-01508fd39704	1	53162890	60077773	5209	0.0843
f59d6c47-3330-4a4b-8d75-01508fd39704	1	60078746	61648334	1117	-0.0995
f59d6c47-3330-4a4b-8d75-01508fd39704	1	61648509	61652515	3	-1.4149
f59d6c47-3330-4a4b-8d75-01508fd39704	1	61654137	66970709	3946	-0.0831
f59d6c47-3330-4a4b-8d75-01508fd39704	1	66971360	67525427	365	0.0346
f59d6c47-3330-4a4b-8d75-01508fd39704	1	67526399	67527394	3	-0.8466
f59d6c47-3330-4a4b-8d75-01508fd39704	1	67528099	68234486	543	0.055
f59d6c47-3330-4a4b-8d75-01508fd39704	1	68235861	72297687	2403	-0.1211
f59d6c47-3330-4a4b-8d75-01508fd39704	1	72302735	72345465	48	-1.1981
f59d6c47-3330-4a4b-8d75-01508fd39704	1	72346221	81422771	5749	-0.1197
f59d6c47-3330-4a4b-8d75-01508fd39704	1	81422917	81422920	2	-1.9305
f59d6c47-3330-4a4b-8d75-01508fd39704	1	81422982	103616762	14185	-0.1112
f59d6c47-3330-4a4b-8d75-01508fd39704	1	103620877	103697364	4	1.1719
f59d6c47-3330-4a4b-8d75-01508fd39704	1	103717410	109642611	3541	-0.1126
f59d6c47-3330-4a4b-8d75-01508fd39704	1	109644606	109654579	3	-1.2999
f59d6c47-3330-4a4b-8d75-01508fd39704	1	109658958	112153851	1961	-0.0881
f59d6c47-3330-4a4b-8d75-01508fd39704	1	112153880	112154552	13	0.5451
f59d6c47-3330-4a4b-8d75-01508fd39704	1	112154566	112925910	498	-0.1258
