GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	62920	599171	20	-0.4481
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	668210	2536626	468	0.1303
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	2536961	16863509	8215	0.0125
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	16864367	16898730	13	-0.5378
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	16898872	16909189	4	0.3368
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	16909203	16935752	37	-0.5079
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	16949746	34637053	10238	0.0067
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	34637069	34638890	19	-0.6482
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	34648667	72303233	23748	0.0048
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	72303253	72345465	45	-1.4018
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	72346221	108187137	22878	0
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108191613	108194874	3	-3.0562
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108196482	108223733	17	0.0828
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108226680	108274557	2	-2.4535
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108310648	108714547	181	-0.0041
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108715528	108723565	2	-1.2312
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	108723901	109684893	493	-0.0011
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	109690352	109697556	12	1.2631
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	109702376	152583230	9579	0.0144
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152583291	152613762	30	-1.8196
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152613802	152789447	171	0.0007
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152789463	152789781	5	0.624
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152789809	152795198	19	1.0544
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152795277	152801429	13	0.596
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	152804279	169247699	11268	0.0025
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	169264736	169272528	7	-1.8762
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	169273163	174827267	3511	0.0088
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	174827418	174832702	16	-0.7162
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	174832716	179361393	3075	0.0083
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	179362247	179364180	3	-1.3693
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	179370071	194479104	10094	0.0005
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	194482281	194485888	2	-1.7872
5a477fc2-aa2a-4026-a65b-5dff1b6699de	1	194487886	248930189	37306	0.0032
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	12784	34295406	23979	0.0127
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	34298911	34300513	2	-1.9903
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	34300900	87218834	35170	0.0143
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	87221597	87695122	90	0.5047
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	87696853	97192190	1703	0.0003
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	97199600	97211436	14	-0.9594
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	97310327	97359885	13	0.1724
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	97524284	97545247	8	1.1985
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	97545726	106258266	5565	0.0137
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	106263639	106268901	12	-2.039
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	106270799	146104517	23797	0.0097
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	146106836	146109366	24	-1.5357
5a477fc2-aa2a-4026-a65b-5dff1b6699de	2	146120238	242147305	59020	0.0106
5a477fc2-aa2a-4026-a65b-5dff1b6699de	3	20930	35759275	26075	0.0049
5a477fc2-aa2a-4026-a65b-5dff1b6699de	3	35762283	35762590	2	-1.927
5a477fc2-aa2a-4026-a65b-5dff1b6699de	3	35763779	68697013	21669	0.0042
5a477fc2-aa2a-4026-a65b-5dff1b6699de	3	68697108	68698262	14	-1.1027
