GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	62920	98602	13	0.6808
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	259407	25256850	13998	0.0023
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	25266637	25320253	23	0.4704
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	25320455	72284670	28716	0.0039
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	72290430	72297687	9	-1.1028
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	72302735	72345465	48	1.3967
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	72346221	105476583	20947	0.0046
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	105476614	105479753	16	-2.1363
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	105481433	112147704	4600	0.0095
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	112153343	112154591	22	-1.6154
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	112154619	143494500	5166	0.009
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	143541857	143710242	84	-0.673
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	143710767	143754798	30	-0.0832
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	143759680	143942271	12	-0.5166
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	144432083	146044884	177	0.0764
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	146062439	146250588	5	0.7944
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	146716041	152583230	2130	0.0396
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	152583291	152614100	33	-1.8307
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	152614118	248525314	65339	0.0025
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	248546369	248633912	36	-0.7441
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	1	248645563	248930189	141	0.0424
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	12784	34460213	24080	0.0075
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	34466002	34512096	48	0.4587
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	34512489	52527423	13000	0.0076
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	52527590	52527743	3	-1.8806
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	52531615	76615188	15571	0.003
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	76617340	76618300	6	-0.6697
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	76620460	79102020	1644	0.0224
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	79103652	79115685	8	0.5633
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	79116692	86710564	4713	0.0054
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	86725947	86726731	2	-1.6439
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	86743283	87249535	116	0.026
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	87251346	87542032	59	0.2371
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	87546272	97192190	1727	0.0191
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	97199600	97211436	14	-0.4097
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	97310327	97359885	13	0.1346
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	97524284	97545726	9	0.9953
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	97550415	130037806	19849	0.0064
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	130059766	130116915	11	0.4831
381b44b9-1f6a-4c76-97a9-e97c66cbf55e	2	130117303	139894851	5679	0.0083
