GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1da20181-a246-49e3-a0bd-8542a96b3243	1	62920	668210	21	-0.5957
1da20181-a246-49e3-a0bd-8542a96b3243	1	771719	25256850	13996	0.0153
1da20181-a246-49e3-a0bd-8542a96b3243	1	25266637	25320455	24	0.5917
1da20181-a246-49e3-a0bd-8542a96b3243	1	25336819	27091654	750	0.0276
1da20181-a246-49e3-a0bd-8542a96b3243	1	27097451	54007787	14892	0.0987
1da20181-a246-49e3-a0bd-8542a96b3243	1	54007843	61464390	5625	0.025
1da20181-a246-49e3-a0bd-8542a96b3243	1	61464925	61465789	3	1.1087
1da20181-a246-49e3-a0bd-8542a96b3243	1	61466240	61609847	126	-0.0076
1da20181-a246-49e3-a0bd-8542a96b3243	1	61612940	61613080	2	-1.3585
1da20181-a246-49e3-a0bd-8542a96b3243	1	61613517	61647430	30	0.0492
1da20181-a246-49e3-a0bd-8542a96b3243	1	61648334	61652515	4	-1.0708
1da20181-a246-49e3-a0bd-8542a96b3243	1	61654137	72297687	7286	0.022
1da20181-a246-49e3-a0bd-8542a96b3243	1	72302735	72345450	47	0.5277
1da20181-a246-49e3-a0bd-8542a96b3243	1	72345465	83659601	7261	0.0273
1da20181-a246-49e3-a0bd-8542a96b3243	1	83660647	83661409	3	-1.2568
1da20181-a246-49e3-a0bd-8542a96b3243	1	83666331	94668661	7129	0.0345
1da20181-a246-49e3-a0bd-8542a96b3243	1	94668741	94669803	5	-1.1333
1da20181-a246-49e3-a0bd-8542a96b3243	1	94669875	105478597	6533	0.0333
1da20181-a246-49e3-a0bd-8542a96b3243	1	105478759	105479753	10	-0.63
1da20181-a246-49e3-a0bd-8542a96b3243	1	105481433	107349743	1259	0.0358
1da20181-a246-49e3-a0bd-8542a96b3243	1	107352454	119984738	8402	-0.038
1da20181-a246-49e3-a0bd-8542a96b3243	1	119984772	121705338	120	0.045
1da20181-a246-49e3-a0bd-8542a96b3243	1	143459641	150769129	1437	1.0874
1da20181-a246-49e3-a0bd-8542a96b3243	1	150772536	152436200	879	0.9948
1da20181-a246-49e3-a0bd-8542a96b3243	1	152436726	152583051	128	1.1802
1da20181-a246-49e3-a0bd-8542a96b3243	1	152583230	152614118	35	0.0364
1da20181-a246-49e3-a0bd-8542a96b3243	1	152618018	152787202	166	1.1268
1da20181-a246-49e3-a0bd-8542a96b3243	1	152789447	152796224	37	-0.2352
1da20181-a246-49e3-a0bd-8542a96b3243	1	152801429	153018584	167	1.2295
1da20181-a246-49e3-a0bd-8542a96b3243	1	153023248	154037222	587	0.9181
1da20181-a246-49e3-a0bd-8542a96b3243	1	154040059	154108582	30	1.1499
1da20181-a246-49e3-a0bd-8542a96b3243	1	154116932	161363458	4404	0.2885
1da20181-a246-49e3-a0bd-8542a96b3243	1	161363511	167018761	4361	0.2423
1da20181-a246-49e3-a0bd-8542a96b3243	1	167019041	169247699	1721	0.2668
1da20181-a246-49e3-a0bd-8542a96b3243	1	169264736	169272528	7	1.3696
1da20181-a246-49e3-a0bd-8542a96b3243	1	169273163	189271188	13152	0.2546
1da20181-a246-49e3-a0bd-8542a96b3243	1	189271397	189577840	185	0.403
1da20181-a246-49e3-a0bd-8542a96b3243	1	189577858	194479104	3361	0.2514
1da20181-a246-49e3-a0bd-8542a96b3243	1	194482281	194485888	2	-1.9903
1da20181-a246-49e3-a0bd-8542a96b3243	1	194487886	196742057	1447	0.2531
1da20181-a246-49e3-a0bd-8542a96b3243	1	196745692	196832720	60	0.8431
1da20181-a246-49e3-a0bd-8542a96b3243	1	196843377	199138574	1374	0.2632
1da20181-a246-49e3-a0bd-8542a96b3243	1	199142235	199143883	8	-1.0867
1da20181-a246-49e3-a0bd-8542a96b3243	1	199144712	209897717	7400	0.268
