GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	62920	4831543	1849	0.01
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	4834078	4834084	2	-2.2942
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	4834890	10396090	3378	0.0105
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	10398321	10398382	2	-2.3998
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	10408661	15822848	3097	0.0044
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	15823420	15827706	8	0.7119
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	15827744	16494124	295	-0.0398
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	16504088	16864367	64	0.214
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	16868660	16935752	53	-0.5807
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	16949746	25003261	5067	0.0096
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	25003287	25003500	2	-1.462
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	25005094	25256850	191	0.003
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	25266637	25320455	24	-1.9994
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	25336819	45160503	10902	-0.0003
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	45169109	45176116	7	-1.1323
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	45186569	66198905	13878	0.0023
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	66205085	66205601	5	-1.3139
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	66206167	72280898	3925	0.0043
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	72284165	72284670	2	-1.3811
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	72290430	72297687	9	-3.1318
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	72302735	72345465	48	1.2121
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	72346221	80291576	5010	0.0026
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	80295181	80295512	2	-1.7263
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	80299126	87789839	5070	0.0088
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	87790363	87792315	3	-1.6794
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	87793567	102233991	9209	0.0028
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	102238929	102240089	3	-1.2792
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	102240920	105470754	1647	0.0018
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	105476583	105479753	17	-2.3336
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	105481433	109684893	2633	0.0111
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	109690352	109697556	13	1.0334
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	109702376	119475362	6620	0.0013
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	119477735	119478796	5	0.9737
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	119479552	119595765	106	0.0455
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	119596669	119597039	4	1.2541
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	119597400	121413668	324	-0.0252
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	121426988	143553882	92	0.6603
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	143554306	143708096	60	0.1199
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	143708149	143762042	43	0.3855
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	143796140	175610218	17949	0.0027
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	175612010	175613114	2	-1.8021
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	175616367	175757771	129	0.0156
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	175758102	175813730	38	0.3269
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	175817892	187746723	7934	-0.0021
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	187748429	187752238	2	-2.7485
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	187755479	193244080	3673	0.0128
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	193244261	193244344	4	2.3323
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	193252785	196758720	2291	0.0061
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	196761905	196846661	60	0.7345
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	196847600	212461216	10445	-0.0005
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	212461241	212461628	2	-2.774
68e304ea-77ba-48de-afc7-ccdac1e263f5	1	212462074	248930189	25364	0.0028
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	12784	3184269	2220	0.0074
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	3184340	3192955	6	-1.5548
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	3193106	14563508	8811	0.0062
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	14563570	14569968	13	-1.4377
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	14570240	17054441	1825	-0.0093
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	17054572	17056638	10	0.7915
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	17056694	19575473	1901	0.0099
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	19575844	19576277	2	-1.4939
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	19578255	32826462	8000	0.0031
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	32827119	32827696	3	-1.3
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	32828621	34466002	1288	0.0177
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	34474248	34511990	46	-2.4132
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	34512096	35750907	871	0.0083
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	35752724	35762850	6	-1.4565
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	35762881	45890775	7522	0.0089
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	45893251	45894564	4	-1.4133
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	45895025	50944824	3517	0.0143
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	50945716	50945830	2	-1.6581
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	50947496	52527330	1080	0.0175
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	52527342	52554404	39	-2.5013
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	52560811	54402189	1393	0.006
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	54406340	54407107	2	-1.9999
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	54407568	57182700	1990	0.0047
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	57186947	57187976	12	0.5883
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	57199415	68489127	7121	0.0028
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	68489979	68494590	3	1.2746
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	68502860	72008558	2303	0.004
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	72014374	72043880	24	0.4718
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	72044359	74932910	1439	-0.0021
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	74935082	74941170	10	0.667
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	74944557	79025824	2838	0.0145
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	79029249	79029500	3	-1.397
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	79032369	79278363	175	0.0057
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	79279517	79386367	105	0.1964
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	79395757	86153394	4171	-0.0019
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	86154589	86179833	20	-0.4827
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	86180943	97192190	2212	0.0338
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	97199600	97211436	14	-0.7049
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	97310327	97357159	11	0.1786
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	97359380	97560849	17	1.0254
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	97562741	106265177	5559	0.0043
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	106266773	106268901	8	0.8623
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	106270799	111294522	2582	0.01
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	111298710	111312123	6	0.8751
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	111331380	111483498	38	-0.0292
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	111486107	111495917	6	0.9852
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	111498124	113126442	956	0.0101
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	113128191	113128565	5	0.878
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	113129630	117459151	2538	0.0124
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	117465341	117467278	7	0.8133
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	117468375	124348970	4509	0.0058
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	124350614	124355398	2	-1.5093
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	124356600	125684646	795	0.0525
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	125694074	125694336	2	-2.431
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	125694355	134308905	5065	0.0138
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	134309531	134309650	2	1.7937
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	134310436	137998610	2332	0.015
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	138004486	138005281	4	-1.5792
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	138007882	163780342	15579	0.0001
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	163786978	163788025	4	-1.295
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	163788616	194495886	18621	0.0078
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	194500751	194501795	5	-1.0037
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	194510785	195090393	325	0.036
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	195090460	195137489	50	0.3441
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	195140521	204481987	5339	0.002
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	204482656	204484001	10	-0.6476
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	204484672	207490454	2016	-0.0063
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	207490614	207491392	8	1.0287
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	207493563	233971209	16905	0.0017
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	233977719	233981747	4	-1.4085
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	233981975	235028491	837	-0.0015
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	235030046	235031472	4	-1.2595
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	235034009	235041543	9	-0.5294
68e304ea-77ba-48de-afc7-ccdac1e263f5	2	235044921	242147305	4322	0.001
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	20930	755699	623	0.0722
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	758923	761049	2	-1.5022
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	763452	1096723	261	0.0432
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1097580	1098069	2	2.1138
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1101740	1250060	140	-0.0136
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1251260	1251963	4	-1.1715
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1255579	1765306	530	0.0338
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1768068	1768207	2	-2.2817
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1771640	1938341	169	0.0706
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1939623	1946551	7	-1.1708
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	1946787	2695850	577	0.0054
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	2696836	2697017	4	-0.9937
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	2699340	4065150	1354	0.0132
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	4065935	4067244	4	-1.2271
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	4068641	5363219	1042	0.0012
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	5363455	5367311	2	1.4498
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	5371662	5626019	209	0.038
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	5631953	5633029	3	-1.8366
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	5638774	37945437	22704	0.0057
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	37945615	37945651	2	1.6789
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	37946283	52998022	8085	0.005
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	52999132	53000164	6	0.9232
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	53000210	53004746	11	0.0426
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	53004757	53005661	13	-0.3922
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	53007328	53628591	378	0.0261
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	53628725	53629265	4	-1.0642
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	53629808	60223894	4778	0.0134
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	60223953	60224644	2	-1.4954
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	60225088	60789727	617	0.0259
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	60791849	60792199	2	1.9785
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	60794907	61151545	345	0.0368
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	61153972	61154075	2	-1.7425
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	61155359	61649482	380	0.0204
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	61649586	61658693	10	0.6495
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	61662199	62961690	1122	0.0025
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	62962491	62962990	4	-1.1844
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	62964804	65221229	1950	-0.0005
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	65221269	65224479	7	-0.8618
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	65224624	65231981	12	0.329
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	65232734	68697108	2416	0.0045
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	68697133	68698262	13	-1.3568
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	68699607	71903939	2399	0.0079
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	71906789	71907657	3	0.9244
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	71907836	72382437	434	0.0096
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	72383660	72383817	3	-1.0156
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	72385409	75372019	2029	0.0026
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	75377956	75500795	56	-0.7962
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	75511375	95737262	9131	0.0122
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	95748036	95749266	2	-3.4878
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	95749836	95781111	19	0.1124
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	95781594	95787783	3	-1.3033
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	95789820	99218940	1827	-0.0091
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	99225614	99226551	15	-1.8824
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	99226566	99230212	12	-3.9166
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	99230225	99230577	11	-1.4679
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	99232120	130044855	18711	0.0025
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	130047743	130087393	37	-1.7634
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	130088081	162822702	20289	0.0106
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	162827928	162908784	49	-0.4356
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	162908815	173612489	6414	0.0105
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	173614850	173614990	2	-2.0365
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	173622729	173813439	147	0.0447
68e304ea-77ba-48de-afc7-ccdac1e263f5	3	173815767	173816287	2	-1.4146
