GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	62920	826738	36	0.4676
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	833413	16685961	8640	0.0098
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	16686246	16886219	29	0.4128
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	16888327	25256850	5308	0.0238
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	25266637	25320455	24	-2.0943
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	25336819	72357114	28792	0.0163
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	72357136	72362295	3	-1.3033
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	72362629	73204605	515	0.0246
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	73205125	73227972	15	-0.4259
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	73231034	81422917	5234	0.0219
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	81422920	81423039	5	-0.888
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	81423183	109676386	17821	0.0182
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	109677464	109697556	19	0.5254
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	109702376	152583051	9581	0.0201
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	152583230	152614118	35	-2.3944
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	152618018	152787202	167	0.0062
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	152789447	152795805	33	-0.4655
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	152795862	158989785	3684	0.0189
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	158992249	158993006	2	-1.3875
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	158997074	161648901	1587	0.0186
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	161649069	161649268	6	-1.0436
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	161678447	163242933	1322	0.023
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	163247128	163247878	2	1.524
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	163250099	170153484	5351	0.0144
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	170157477	170157600	3	-1.3819
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	170159272	170511151	279	-0.0009
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	170513392	170513952	4	-0.9681
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	170519468	174827267	2577	0.0235
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	174827418	174832702	16	-1.1113
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	174832716	193186662	12242	0.012
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	193187149	193187218	4	-1.1465
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	193190593	193244261	102	0.0426
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	193244276	193244344	3	-0.8684
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	193252785	194257853	697	0.0204
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	194262903	194268450	5	-1.2137
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	194271276	196762956	1592	0.0239
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	196769493	196846661	57	0.2574
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	196847600	209897717	8786	0.0209
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	209908268	209910639	3	1.0503
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	209913207	216999050	4936	0.0191
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	216999948	217000786	3	-1.5233
c5e8c92e-3e8a-4817-b3fb-cea25ceceecb	1	217002518	222843064	4006	0.0159
