GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	62920	953279	64	-0.1275
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	965731	2876236	487	0.1004
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	2876667	15822042	7764	0.0048
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	15822508	15827430	11	0.6827
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	15827706	16542868	299	-0.02
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	16544783	16766922	44	-0.3502
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	16767520	72303233	33985	0.0016
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	72303253	72345465	45	-1.1717
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	72346221	75585159	1920	-0.0011
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	75589078	75589169	2	-2.2165
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	75593824	105470754	18939	0.0045
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	105476583	105501238	38	0.3043
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	105501665	112147626	4561	0.0032
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	112147704	112163440	29	0.4307
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	112163460	121601998	5133	0.001
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	121705338	143751744	112	-0.6697
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	143751765	143754798	5	0.2713
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	143759680	144442098	16	-0.5669
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	144442342	152582700	2298	0.0198
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	152583051	152613762	32	1.2215
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	152613802	152783934	165	0.0225
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	152784062	152796224	42	0.544
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	152801429	196843377	29392	0.0032
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	196843400	196846661	2	3.8739
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	196847600	198335406	813	-0.0146
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	198337730	198338649	3	-2.3405
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	198342229	214464465	11015	-0.0018
ac457035-34ac-4a0c-bc8f-8c9ae48cd96a	1	214465093	214465114	2	-2.3542
