GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	62920	12779433	6483	0.0221
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	12792599	13110913	35	-0.4584
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	13114062	61648334	28939	0.0185
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	61648509	61654306	5	-1.012
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	61654892	72302815	7293	0.0209
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	72303233	72345465	46	-1.1284
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	72346221	85933672	8855	0.0241
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	85934005	85934287	7	-0.6793
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	85940593	103520520	11122	0.0204
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	103520539	103621165	39	0.3073
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	103697067	103717410	3	1.3927
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	103717617	105470754	918	0.0259
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	105476583	105479753	17	-0.4679
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	105481433	121573287	9775	0.0162
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	121573699	152583051	2448	0.3467
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	152583230	152614118	35	-1.6112
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	152618018	152787202	166	0.3358
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	152789447	152796224	37	-1.4695
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	152801429	157508748	2491	0.3095
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	157512664	157513157	2	-2.1075
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	157513483	158896783	1119	0.3387
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	158898711	158899969	2	-0.9957
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	158905028	179791872	14559	0.3294
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	179792466	186984732	4779	0.0084
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	186985063	188567311	1076	0.336
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	188570607	194479104	3970	0.0347
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	194482281	194485888	2	2.6597
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	194487886	196762480	1455	0.0313
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	196762956	196846661	58	-0.4407
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	196847600	198298156	803	0.0211
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	198309549	209897717	7985	0.3343
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	209908268	209908720	2	-1.6635
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	209910639	213282877	2172	0.3376
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	213287405	225786509	8583	0.0255
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	225786784	225816460	20	-0.3007
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	225816860	244583848	13460	0.0256
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	244584822	244585032	2	-1.3221
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	1	244585155	248930189	2767	0.0464
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	12784	737505	518	0.0281
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	742100	751300	4	-1.1926
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	753378	34485794	23565	0.0251
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	34485834	34502784	31	-0.4323
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	34502800	78886679	30028	0.0231
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	78886941	79461920	482	0.1006
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	79461940	87087002	4523	0.0297
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	87094919	87696853	119	-0.6008
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	87725148	106264257	7307	0.016
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	106265083	106268901	10	-0.7121
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	106270799	111686882	2711	0.0124
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	111689367	111689789	2	-2.1649
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	111693810	113604438	1069	0.0101
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	113604837	113604839	2	-2.182
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	113623244	146106875	20029	0.0242
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	146106889	146120238	22	0.7775
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	146120827	160556076	8726	0.0177
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	160557147	160560198	2	-1.0924
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	160560281	163780342	1856	0.0138
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	163786978	163788616	5	-1.0194
8eb58bcf-01a8-4bc8-a501-bc984774d6d2	2	163790132	242147305	48443	0.0221
