GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5513b513-798a-486c-b60f-966c5101a700	1	62920	814954	31	-0.4217
5513b513-798a-486c-b60f-966c5101a700	1	817186	1565561	172	0.1822
5513b513-798a-486c-b60f-966c5101a700	1	1566216	2372073	235	0.4322
5513b513-798a-486c-b60f-966c5101a700	1	2372708	53768907	29114	0.2113
5513b513-798a-486c-b60f-966c5101a700	1	53776301	54179464	221	0.4626
5513b513-798a-486c-b60f-966c5101a700	1	54179589	72297687	12977	0.214
5513b513-798a-486c-b60f-966c5101a700	1	72302735	72345465	48	-1.5168
5513b513-798a-486c-b60f-966c5101a700	1	72346221	74711600	1442	0.2312
5513b513-798a-486c-b60f-966c5101a700	1	74718734	74720685	2	-1.3553
5513b513-798a-486c-b60f-966c5101a700	1	74721817	86246852	7662	0.2174
5513b513-798a-486c-b60f-966c5101a700	1	86248663	86254424	10	-0.5215
5513b513-798a-486c-b60f-966c5101a700	1	86255111	89009572	1819	0.2017
5513b513-798a-486c-b60f-966c5101a700	1	89012275	89012522	2	-3.4213
5513b513-798a-486c-b60f-966c5101a700	1	89015841	104949510	9721	0.205
5513b513-798a-486c-b60f-966c5101a700	1	104956399	104957900	2	-1.7612
5513b513-798a-486c-b60f-966c5101a700	1	104962400	105470754	287	0.2106
5513b513-798a-486c-b60f-966c5101a700	1	105476583	105481515	21	0.9082
5513b513-798a-486c-b60f-966c5101a700	1	105482176	107781755	1636	0.1947
5513b513-798a-486c-b60f-966c5101a700	1	107782086	107782487	3	-1.1734
5513b513-798a-486c-b60f-966c5101a700	1	107782599	109684893	992	0.2057
5513b513-798a-486c-b60f-966c5101a700	1	109690352	109707614	18	0.7835
5513b513-798a-486c-b60f-966c5101a700	1	109707950	110833598	830	0.1771
5513b513-798a-486c-b60f-966c5101a700	1	110834746	110836273	6	-2.521
5513b513-798a-486c-b60f-966c5101a700	1	110836443	110836704	6	-5.0913
5513b513-798a-486c-b60f-966c5101a700	1	110836709	110845604	27	-2.7879
5513b513-798a-486c-b60f-966c5101a700	1	110849445	112153851	1080	0.2029
5513b513-798a-486c-b60f-966c5101a700	1	112153880	112163583	30	0.7918
5513b513-798a-486c-b60f-966c5101a700	1	112163591	119984772	5029	0.1821
5513b513-798a-486c-b60f-966c5101a700	1	120002553	120064540	5	-0.8373
5513b513-798a-486c-b60f-966c5101a700	1	120089042	143494500	115	0.2044
5513b513-798a-486c-b60f-966c5101a700	1	143541857	143928045	125	1.0312
5513b513-798a-486c-b60f-966c5101a700	1	143942271	152789532	2521	0.2982
5513b513-798a-486c-b60f-966c5101a700	1	152789570	152795783	28	1.3289
5513b513-798a-486c-b60f-966c5101a700	1	152795805	157654691	2636	0.292
5513b513-798a-486c-b60f-966c5101a700	1	157655723	157656363	5	1.184
5513b513-798a-486c-b60f-966c5101a700	1	157658565	158896783	978	0.2734
5513b513-798a-486c-b60f-966c5101a700	1	158898711	158899969	2	2.216
5513b513-798a-486c-b60f-966c5101a700	1	158905028	161539085	1645	0.2766
5513b513-798a-486c-b60f-966c5101a700	1	161553345	161649268	11	-0.695
5513b513-798a-486c-b60f-966c5101a700	1	161678447	169247699	6008	0.2783
5513b513-798a-486c-b60f-966c5101a700	1	169264736	169272528	7	1.7805
5513b513-798a-486c-b60f-966c5101a700	1	169273163	174826800	3515	0.2751
5513b513-798a-486c-b60f-966c5101a700	1	174827128	174832716	19	-0.5578
5513b513-798a-486c-b60f-966c5101a700	1	174832734	174924731	52	0.215
5513b513-798a-486c-b60f-966c5101a700	1	174925032	174929387	6	-0.7887
5513b513-798a-486c-b60f-966c5101a700	1	174932989	188690289	9225	0.2821
5513b513-798a-486c-b60f-966c5101a700	1	188695569	188701924	3	-1.6983
5513b513-798a-486c-b60f-966c5101a700	1	188702301	193186662	2956	0.2809
5513b513-798a-486c-b60f-966c5101a700	1	193187149	193187218	4	-1.3808
5513b513-798a-486c-b60f-966c5101a700	1	193190593	194465707	931	0.2678
5513b513-798a-486c-b60f-966c5101a700	1	194467726	194485888	13	0.8184
5513b513-798a-486c-b60f-966c5101a700	1	194487886	195878611	881	0.2751
5513b513-798a-486c-b60f-966c5101a700	1	195883672	195883834	2	-1.3405
5513b513-798a-486c-b60f-966c5101a700	1	195886756	195969196	76	0.289
5513b513-798a-486c-b60f-966c5101a700	1	195969270	195979825	10	-0.1361
5513b513-798a-486c-b60f-966c5101a700	1	195980501	196282760	206	0.2958
5513b513-798a-486c-b60f-966c5101a700	1	196285504	196285840	3	-0.4986
5513b513-798a-486c-b60f-966c5101a700	1	196287368	196729112	253	0.3034
5513b513-798a-486c-b60f-966c5101a700	1	196729142	196736037	7	0.9919
5513b513-798a-486c-b60f-966c5101a700	1	196736126	196875037	100	0.2682
5513b513-798a-486c-b60f-966c5101a700	1	196875062	196986769	67	0.537
5513b513-798a-486c-b60f-966c5101a700	1	196990905	199111599	1242	0.2705
5513b513-798a-486c-b60f-966c5101a700	1	199113212	199120933	12	0.8731
5513b513-798a-486c-b60f-966c5101a700	1	199122011	199138424	23	0.2009
5513b513-798a-486c-b60f-966c5101a700	1	199138468	199138574	3	-1.6726
5513b513-798a-486c-b60f-966c5101a700	1	199142235	209897717	7412	0.2917
5513b513-798a-486c-b60f-966c5101a700	1	209908268	209913207	4	1.8675
5513b513-798a-486c-b60f-966c5101a700	1	209920149	225472113	10572	0.2895
5513b513-798a-486c-b60f-966c5101a700	1	225472312	225503718	40	-0.0801
5513b513-798a-486c-b60f-966c5101a700	1	225503797	248586259	16230	0.29
5513b513-798a-486c-b60f-966c5101a700	1	248589915	248633912	29	0.8736
5513b513-798a-486c-b60f-966c5101a700	1	248645563	248930189	141	0.2416
5513b513-798a-486c-b60f-966c5101a700	2	12784	4158097	2985	0.1537
5513b513-798a-486c-b60f-966c5101a700	2	4166274	4176429	42	-0.704
5513b513-798a-486c-b60f-966c5101a700	2	4182472	6262164	1801	0.1546
5513b513-798a-486c-b60f-966c5101a700	2	6264758	6266608	3	-1.5032
5513b513-798a-486c-b60f-966c5101a700	2	6271607	36105115	20435	0.1666
5513b513-798a-486c-b60f-966c5101a700	2	36108462	36108463	2	-2.325
5513b513-798a-486c-b60f-966c5101a700	2	36109476	44040661	5845	0.1758
5513b513-798a-486c-b60f-966c5101a700	2	44046571	44047629	2	-1.8585
5513b513-798a-486c-b60f-966c5101a700	2	44049436	52527743	6003	0.1716
5513b513-798a-486c-b60f-966c5101a700	2	52531615	52531977	8	1.5303
5513b513-798a-486c-b60f-966c5101a700	2	52537070	52537117	3	-0.0891
5513b513-798a-486c-b60f-966c5101a700	2	52537337	52554404	22	1.2717
5513b513-798a-486c-b60f-966c5101a700	2	52560811	90067117	22808	0.1705
5513b513-798a-486c-b60f-966c5101a700	2	90067714	90067906	3	-2.0212
5513b513-798a-486c-b60f-966c5101a700	2	90071909	91899191	113	0.1515
5513b513-798a-486c-b60f-966c5101a700	2	91902859	97172393	878	0.3578
5513b513-798a-486c-b60f-966c5101a700	2	97180592	97210536	18	-0.2567
5513b513-798a-486c-b60f-966c5101a700	2	97211069	97359885	16	0.4643
5513b513-798a-486c-b60f-966c5101a700	2	97524284	97540809	6	1.4279
5513b513-798a-486c-b60f-966c5101a700	2	97541661	101643405	2431	0.3627
5513b513-798a-486c-b60f-966c5101a700	2	101644195	106256280	3126	0.2331
5513b513-798a-486c-b60f-966c5101a700	2	106256981	106268901	20	0.9179
5513b513-798a-486c-b60f-966c5101a700	2	106270799	107824280	990	0.1963
5513b513-798a-486c-b60f-966c5101a700	2	107830513	107864451	2	-1.6602
5513b513-798a-486c-b60f-966c5101a700	2	107875632	111492295	1635	0.162
5513b513-798a-486c-b60f-966c5101a700	2	111492794	111855051	137	0.3571
5513b513-798a-486c-b60f-966c5101a700	2	111857327	111939815	40	0.1714
5513b513-798a-486c-b60f-966c5101a700	2	111940094	113604438	975	0.4379
5513b513-798a-486c-b60f-966c5101a700	2	113604837	113625975	4	1.4691
5513b513-798a-486c-b60f-966c5101a700	2	113626776	114642607	624	0.4241
5513b513-798a-486c-b60f-966c5101a700	2	114642705	114645655	12	1.0018
5513b513-798a-486c-b60f-966c5101a700	2	114645670	114773264	83	0.4876
5513b513-798a-486c-b60f-966c5101a700	2	114778337	114782017	14	-0.6568
5513b513-798a-486c-b60f-966c5101a700	2	114782028	116867887	1230	0.5003
5513b513-798a-486c-b60f-966c5101a700	2	116872015	116872027	4	1.767
5513b513-798a-486c-b60f-966c5101a700	2	116872896	117175147	177	0.4897
5513b513-798a-486c-b60f-966c5101a700	2	117175447	117658439	336	0.2792
5513b513-798a-486c-b60f-966c5101a700	2	117661239	118574724	643	0.0743
5513b513-798a-486c-b60f-966c5101a700	2	118577504	118631335	37	0.3253
5513b513-798a-486c-b60f-966c5101a700	2	118634667	118698434	39	0.585
5513b513-798a-486c-b60f-966c5101a700	2	118701171	119347743	506	0.277
5513b513-798a-486c-b60f-966c5101a700	2	119350654	120289065	459	0.4357
5513b513-798a-486c-b60f-966c5101a700	2	120291302	120291590	3	-0.8152
5513b513-798a-486c-b60f-966c5101a700	2	120294274	121613934	813	0.4794
5513b513-798a-486c-b60f-966c5101a700	2	121618026	122575109	617	0.7004
5513b513-798a-486c-b60f-966c5101a700	2	122580584	122930700	286	0.938
5513b513-798a-486c-b60f-966c5101a700	2	122933405	124234327	898	0.6764
5513b513-798a-486c-b60f-966c5101a700	2	124241443	128880504	2817	0.0854
5513b513-798a-486c-b60f-966c5101a700	2	128880904	128881662	13	-0.9463
5513b513-798a-486c-b60f-966c5101a700	2	128882723	132493798	1680	0.0756
5513b513-798a-486c-b60f-966c5101a700	2	132494454	132504987	5	-1.1887
5513b513-798a-486c-b60f-966c5101a700	2	132505033	132512502	13	0.1495
5513b513-798a-486c-b60f-966c5101a700	2	132512550	132527193	38	0.4188
5513b513-798a-486c-b60f-966c5101a700	2	132528129	137701874	3507	0.0775
5513b513-798a-486c-b60f-966c5101a700	2	137703603	138302884	365	0.2155
5513b513-798a-486c-b60f-966c5101a700	2	138303874	146104517	4807	0.0798
5513b513-798a-486c-b60f-966c5101a700	2	146106836	146109366	24	1.1931
5513b513-798a-486c-b60f-966c5101a700	2	146120238	148276808	1107	0.0936
5513b513-798a-486c-b60f-966c5101a700	2	148282175	150174288	1155	0.6645
5513b513-798a-486c-b60f-966c5101a700	2	150174937	150364679	104	0.4395
5513b513-798a-486c-b60f-966c5101a700	2	150369385	151159119	614	0.6824
5513b513-798a-486c-b60f-966c5101a700	2	151159477	151171010	12	1.1582
5513b513-798a-486c-b60f-966c5101a700	2	151177861	151937350	525	0.6188
5513b513-798a-486c-b60f-966c5101a700	2	151938390	156990104	3011	0.4475
5513b513-798a-486c-b60f-966c5101a700	2	156992012	158426641	819	0.6475
5513b513-798a-486c-b60f-966c5101a700	2	158429911	159102108	441	0.4851
5513b513-798a-486c-b60f-966c5101a700	2	159103831	160216033	751	0.6093
5513b513-798a-486c-b60f-966c5101a700	2	160216074	161676333	881	0.7165
5513b513-798a-486c-b60f-966c5101a700	2	161678769	162738104	545	0.5511
5513b513-798a-486c-b60f-966c5101a700	2	162740149	162755557	7	0.0224
5513b513-798a-486c-b60f-966c5101a700	2	162755938	162923390	101	0.5518
5513b513-798a-486c-b60f-966c5101a700	2	162924416	170499799	4717	0.1951
5513b513-798a-486c-b60f-966c5101a700	2	170500008	195245301	14853	0.1294
5513b513-798a-486c-b60f-966c5101a700	2	195247998	195248316	2	-1.9473
5513b513-798a-486c-b60f-966c5101a700	2	195257754	203032174	4408	0.1184
5513b513-798a-486c-b60f-966c5101a700	2	203035077	203037323	3	-3.3706
5513b513-798a-486c-b60f-966c5101a700	2	203039417	203349396	140	0.0738
5513b513-798a-486c-b60f-966c5101a700	2	203353133	205450967	1444	0.2771
5513b513-798a-486c-b60f-966c5101a700	2	205451611	205452484	2	-1.2427
5513b513-798a-486c-b60f-966c5101a700	2	205456302	206860892	877	0.2594
5513b513-798a-486c-b60f-966c5101a700	2	206868387	207764111	586	0.1451
5513b513-798a-486c-b60f-966c5101a700	2	207764198	210536927	1662	0.2752
5513b513-798a-486c-b60f-966c5101a700	2	210537756	210544050	4	-0.6889
5513b513-798a-486c-b60f-966c5101a700	2	210544340	210923690	267	0.2635
5513b513-798a-486c-b60f-966c5101a700	2	210926097	212325660	978	0.1596
