GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e59e603f-cafa-4762-8f0c-c55212caa576	1	62920	1756148	227	0.0055
e59e603f-cafa-4762-8f0c-c55212caa576	1	1756211	15822848	8113	-0.1463
e59e603f-cafa-4762-8f0c-c55212caa576	1	15823420	15827744	9	0.7015
e59e603f-cafa-4762-8f0c-c55212caa576	1	15828471	16898730	370	-0.1712
e59e603f-cafa-4762-8f0c-c55212caa576	1	16898872	16909203	5	0.7929
e59e603f-cafa-4762-8f0c-c55212caa576	1	16909357	25278567	5310	-0.1545
e59e603f-cafa-4762-8f0c-c55212caa576	1	25284629	25284961	2	-1.4257
e59e603f-cafa-4762-8f0c-c55212caa576	1	25289805	30189691	2319	-0.1551
e59e603f-cafa-4762-8f0c-c55212caa576	1	30190003	30192228	3	1.0692
e59e603f-cafa-4762-8f0c-c55212caa576	1	30192672	30265657	77	-0.2007
e59e603f-cafa-4762-8f0c-c55212caa576	1	30265687	30266949	4	-1.3351
e59e603f-cafa-4762-8f0c-c55212caa576	1	30268649	38117186	4392	-0.143
e59e603f-cafa-4762-8f0c-c55212caa576	1	38118360	38119077	2	-1.4486
e59e603f-cafa-4762-8f0c-c55212caa576	1	38119209	54804458	9354	-0.1494
e59e603f-cafa-4762-8f0c-c55212caa576	1	54804685	54808979	4	0.7008
e59e603f-cafa-4762-8f0c-c55212caa576	1	54809137	60994155	4805	-0.1386
e59e603f-cafa-4762-8f0c-c55212caa576	1	60994977	61648334	489	-0.1736
e59e603f-cafa-4762-8f0c-c55212caa576	1	61648509	61654137	4	-1.3296
e59e603f-cafa-4762-8f0c-c55212caa576	1	61654306	72284670	7284	-0.1707
e59e603f-cafa-4762-8f0c-c55212caa576	1	72290430	72297687	9	-1.4579
e59e603f-cafa-4762-8f0c-c55212caa576	1	72302735	119805044	30576	-0.1808
e59e603f-cafa-4762-8f0c-c55212caa576	1	119805548	143541857	240	-0.1312
e59e603f-cafa-4762-8f0c-c55212caa576	1	143545399	166654150	11981	0.1349
e59e603f-cafa-4762-8f0c-c55212caa576	1	166655971	166665031	13	-1.0403
e59e603f-cafa-4762-8f0c-c55212caa576	1	166667350	169247699	1972	0.1357
e59e603f-cafa-4762-8f0c-c55212caa576	1	169264736	169273163	8	0.8837
e59e603f-cafa-4762-8f0c-c55212caa576	1	169285639	174828195	3527	0.1326
e59e603f-cafa-4762-8f0c-c55212caa576	1	174828247	174828310	2	1.5684
e59e603f-cafa-4762-8f0c-c55212caa576	1	174828367	193186662	12254	0.1505
e59e603f-cafa-4762-8f0c-c55212caa576	1	193187149	193187202	3	2.0211
e59e603f-cafa-4762-8f0c-c55212caa576	1	193187218	196761905	2398	0.1427
e59e603f-cafa-4762-8f0c-c55212caa576	1	196762480	196771842	10	-0.0457
e59e603f-cafa-4762-8f0c-c55212caa576	1	196771987	196792690	28	0.727
e59e603f-cafa-4762-8f0c-c55212caa576	1	196798282	238691981	28789	0.1436
e59e603f-cafa-4762-8f0c-c55212caa576	1	238692338	238692794	3	-0.9879
e59e603f-cafa-4762-8f0c-c55212caa576	1	238699149	243139864	3338	0.1486
e59e603f-cafa-4762-8f0c-c55212caa576	1	243143622	243187175	15	0.7319
e59e603f-cafa-4762-8f0c-c55212caa576	1	243189078	248546369	3525	0.1548
e59e603f-cafa-4762-8f0c-c55212caa576	1	248550567	248633912	35	0.5684
e59e603f-cafa-4762-8f0c-c55212caa576	1	248645563	248930189	141	0.1799
e59e603f-cafa-4762-8f0c-c55212caa576	2	12784	34485743	24109	-0.0274
e59e603f-cafa-4762-8f0c-c55212caa576	2	34485758	34511990	36	-0.3998
e59e603f-cafa-4762-8f0c-c55212caa576	2	34512096	52527423	13008	-0.0297
e59e603f-cafa-4762-8f0c-c55212caa576	2	52527590	52527743	3	-2.2803
e59e603f-cafa-4762-8f0c-c55212caa576	2	52531615	52554404	33	0.6657
e59e603f-cafa-4762-8f0c-c55212caa576	2	52560811	183219425	76142	-0.0301
e59e603f-cafa-4762-8f0c-c55212caa576	2	183220725	183224996	10	-0.9099
e59e603f-cafa-4762-8f0c-c55212caa576	2	183229270	222895455	24062	-0.0278
e59e603f-cafa-4762-8f0c-c55212caa576	2	222902269	228165584	3520	-0.4179
e59e603f-cafa-4762-8f0c-c55212caa576	2	228166077	228895073	433	-0.042
e59e603f-cafa-4762-8f0c-c55212caa576	2	228895091	228895197	3	-1.1459
e59e603f-cafa-4762-8f0c-c55212caa576	2	228895367	242147305	8207	-0.0464
e59e603f-cafa-4762-8f0c-c55212caa576	3	20930	6604856	5821	0.0196
e59e603f-cafa-4762-8f0c-c55212caa576	3	6609441	6611427	19	-0.7987
e59e603f-cafa-4762-8f0c-c55212caa576	3	6611461	12654046	4681	-0.0054
e59e603f-cafa-4762-8f0c-c55212caa576	3	12655240	12658121	13	0.4703
e59e603f-cafa-4762-8f0c-c55212caa576	3	12659897	26015836	9128	-0.0066
e59e603f-cafa-4762-8f0c-c55212caa576	3	26015985	26016308	2	-1.4093
e59e603f-cafa-4762-8f0c-c55212caa576	3	26018803	26570619	362	0.0096
e59e603f-cafa-4762-8f0c-c55212caa576	3	26570673	26570675	3	1.7509
e59e603f-cafa-4762-8f0c-c55212caa576	3	26571710	41782346	10192	-0.0043
e59e603f-cafa-4762-8f0c-c55212caa576	3	41782831	41785686	4	-1.2957
e59e603f-cafa-4762-8f0c-c55212caa576	3	41789150	46790347	2994	-0.0239
e59e603f-cafa-4762-8f0c-c55212caa576	3	46790471	46790560	4	-1.0669
e59e603f-cafa-4762-8f0c-c55212caa576	3	46790591	52994359	2509	-0.0356
e59e603f-cafa-4762-8f0c-c55212caa576	3	52997720	53005263	39	-0.6148
e59e603f-cafa-4762-8f0c-c55212caa576	3	53005439	68697013	12033	-0.011
e59e603f-cafa-4762-8f0c-c55212caa576	3	68697108	68698262	14	-1.3955
e59e603f-cafa-4762-8f0c-c55212caa576	3	68699607	75519398	4930	0.0036
e59e603f-cafa-4762-8f0c-c55212caa576	3	75523398	75559488	9	0.7008
e59e603f-cafa-4762-8f0c-c55212caa576	3	75564023	89337951	7691	-0.0036
e59e603f-cafa-4762-8f0c-c55212caa576	3	89345442	89370231	51	-0.6512
e59e603f-cafa-4762-8f0c-c55212caa576	3	89370771	96585044	1794	-0.0083
e59e603f-cafa-4762-8f0c-c55212caa576	3	96588814	96608620	12	-0.6994
e59e603f-cafa-4762-8f0c-c55212caa576	3	96609526	98190281	831	0.0026
e59e603f-cafa-4762-8f0c-c55212caa576	3	98194581	98195973	2	1.5579
e59e603f-cafa-4762-8f0c-c55212caa576	3	98197104	99226566	608	-0.0069
e59e603f-cafa-4762-8f0c-c55212caa576	3	99229557	99230212	11	-0.9083
e59e603f-cafa-4762-8f0c-c55212caa576	3	99230225	124249572	15249	-0.0034
e59e603f-cafa-4762-8f0c-c55212caa576	3	124250804	124252017	4	-0.8773
e59e603f-cafa-4762-8f0c-c55212caa576	3	124257947	130044855	3470	-0.022
e59e603f-cafa-4762-8f0c-c55212caa576	3	130047743	130087393	37	0.5515
e59e603f-cafa-4762-8f0c-c55212caa576	3	130088081	161797809	19597	-0.0015
e59e603f-cafa-4762-8f0c-c55212caa576	3	161797839	161797861	2	1.4205
e59e603f-cafa-4762-8f0c-c55212caa576	3	161798156	162790404	675	0.0146
e59e603f-cafa-4762-8f0c-c55212caa576	3	162790480	162807070	13	0.469
e59e603f-cafa-4762-8f0c-c55212caa576	3	162810842	162822702	10	1.8187
e59e603f-cafa-4762-8f0c-c55212caa576	3	162827928	162908815	50	0.563
e59e603f-cafa-4762-8f0c-c55212caa576	3	162910826	165054102	1180	-0.0094
e59e603f-cafa-4762-8f0c-c55212caa576	3	165054209	165118584	29	0.2891
e59e603f-cafa-4762-8f0c-c55212caa576	3	165121828	188212725	14435	-0.0048
e59e603f-cafa-4762-8f0c-c55212caa576	3	188213864	188215573	2	-1.296
e59e603f-cafa-4762-8f0c-c55212caa576	3	188217061	193156958	3526	-0.0048
e59e603f-cafa-4762-8f0c-c55212caa576	3	193160113	193165114	20	1.1159
e59e603f-cafa-4762-8f0c-c55212caa576	3	193168646	195685341	1488	-0.0001
e59e603f-cafa-4762-8f0c-c55212caa576	3	195691392	195715696	15	-0.4634
e59e603f-cafa-4762-8f0c-c55212caa576	3	195715711	198169247	1190	-0.0146
e59e603f-cafa-4762-8f0c-c55212caa576	4	68929	3330752	1334	-0.0325
e59e603f-cafa-4762-8f0c-c55212caa576	4	3337955	3342611	5	-0.4638
e59e603f-cafa-4762-8f0c-c55212caa576	4	3348521	3354125	2	-1.3633
e59e603f-cafa-4762-8f0c-c55212caa576	4	3361116	3597723	99	-0.0503
e59e603f-cafa-4762-8f0c-c55212caa576	4	3598142	3600457	2	-2.1114
e59e603f-cafa-4762-8f0c-c55212caa576	4	3607663	9450197	3718	-0.0228
e59e603f-cafa-4762-8f0c-c55212caa576	4	9455251	9477699	7	-1.0651
e59e603f-cafa-4762-8f0c-c55212caa576	4	9484440	9858273	159	-0.0266
e59e603f-cafa-4762-8f0c-c55212caa576	4	9858277	9863418	4	0.8625
e59e603f-cafa-4762-8f0c-c55212caa576	4	9865878	10208766	377	-0.0019
e59e603f-cafa-4762-8f0c-c55212caa576	4	10212536	10229120	22	-1.0023
e59e603f-cafa-4762-8f0c-c55212caa576	4	10229173	34777432	16987	-0.012
e59e603f-cafa-4762-8f0c-c55212caa576	4	34784878	34823103	38	0.4379
e59e603f-cafa-4762-8f0c-c55212caa576	4	34828250	61071220	15058	-0.0145
e59e603f-cafa-4762-8f0c-c55212caa576	4	61075217	61076234	2	1.776
e59e603f-cafa-4762-8f0c-c55212caa576	4	61079968	63828222	1503	-0.0006
e59e603f-cafa-4762-8f0c-c55212caa576	4	63831751	63850713	29	0.4954
e59e603f-cafa-4762-8f0c-c55212caa576	4	63851308	68395346	2855	-0.0077
e59e603f-cafa-4762-8f0c-c55212caa576	4	68416487	68422424	5	-1.554
e59e603f-cafa-4762-8f0c-c55212caa576	4	68429081	68655691	81	0.0685
e59e603f-cafa-4762-8f0c-c55212caa576	4	68663241	68686026	4	-1.036
e59e603f-cafa-4762-8f0c-c55212caa576	4	68725894	69523998	470	0.032
e59e603f-cafa-4762-8f0c-c55212caa576	4	69524143	69525061	2	-2.6494
e59e603f-cafa-4762-8f0c-c55212caa576	4	69526170	103824414	20915	-0.0106
e59e603f-cafa-4762-8f0c-c55212caa576	4	103830473	103830480	5	1.504
e59e603f-cafa-4762-8f0c-c55212caa576	4	103830487	111385895	4455	-0.0112
e59e603f-cafa-4762-8f0c-c55212caa576	4	111385910	111385924	2	1.777
e59e603f-cafa-4762-8f0c-c55212caa576	4	111386201	114254167	1847	-0.001
e59e603f-cafa-4762-8f0c-c55212caa576	4	114254188	114263096	24	0.7012
e59e603f-cafa-4762-8f0c-c55212caa576	4	114263110	137171085	13239	-0.0079
e59e603f-cafa-4762-8f0c-c55212caa576	4	137171266	137173804	14	-1.3603
e59e603f-cafa-4762-8f0c-c55212caa576	4	137173818	153630131	9956	-0.0133
e59e603f-cafa-4762-8f0c-c55212caa576	4	153631681	153635288	5	-1.0157
e59e603f-cafa-4762-8f0c-c55212caa576	4	153635368	154881396	833	-0.0096
e59e603f-cafa-4762-8f0c-c55212caa576	4	154881853	154881926	3	1.3786
e59e603f-cafa-4762-8f0c-c55212caa576	4	154882047	155935218	711	0.0014
e59e603f-cafa-4762-8f0c-c55212caa576	4	155935493	155939953	4	-1.3328
e59e603f-cafa-4762-8f0c-c55212caa576	4	155941209	172501371	10542	-0.0031
e59e603f-cafa-4762-8f0c-c55212caa576	4	172503796	172507492	7	0.968
e59e603f-cafa-4762-8f0c-c55212caa576	4	172519981	188168142	10617	-0.0001
e59e603f-cafa-4762-8f0c-c55212caa576	4	188173846	188177590	3	-1.21
e59e603f-cafa-4762-8f0c-c55212caa576	4	188183397	188282265	64	0.0683
e59e603f-cafa-4762-8f0c-c55212caa576	4	188283436	188290525	6	-0.663
e59e603f-cafa-4762-8f0c-c55212caa576	4	188292021	189267889	804	0.0198
e59e603f-cafa-4762-8f0c-c55212caa576	4	189273964	189278110	4	-1.3573
e59e603f-cafa-4762-8f0c-c55212caa576	4	189278617	190106768	350	-0.0196
e59e603f-cafa-4762-8f0c-c55212caa576	5	15532	773453	333	-0.0194
e59e603f-cafa-4762-8f0c-c55212caa576	5	779766	833513	20	-1.0062
e59e603f-cafa-4762-8f0c-c55212caa576	5	852451	896700	18	0.1141
e59e603f-cafa-4762-8f0c-c55212caa576	5	905586	908425	3	-1.0886
e59e603f-cafa-4762-8f0c-c55212caa576	5	913276	3646573	2220	0.0141
e59e603f-cafa-4762-8f0c-c55212caa576	5	3647476	3648189	4	-0.8621
e59e603f-cafa-4762-8f0c-c55212caa576	5	3648935	6133460	2231	0.0111
e59e603f-cafa-4762-8f0c-c55212caa576	5	6137350	6164492	36	-1.0288
e59e603f-cafa-4762-8f0c-c55212caa576	5	6166860	12815668	5330	0.0187
e59e603f-cafa-4762-8f0c-c55212caa576	5	12815753	12826538	10	-1.8626
e59e603f-cafa-4762-8f0c-c55212caa576	5	12833745	15718383	1973	0.0146
e59e603f-cafa-4762-8f0c-c55212caa576	5	15719113	15720488	11	-0.7052
e59e603f-cafa-4762-8f0c-c55212caa576	5	15723237	21376735	3483	0.0142
e59e603f-cafa-4762-8f0c-c55212caa576	5	21377730	21377744	2	-2.1838
e59e603f-cafa-4762-8f0c-c55212caa576	5	21385957	21449167	44	0.0779
e59e603f-cafa-4762-8f0c-c55212caa576	5	21451091	21452329	5	-1.4869
e59e603f-cafa-4762-8f0c-c55212caa576	5	21452387	26789387	3136	0.0121
e59e603f-cafa-4762-8f0c-c55212caa576	5	26797651	26797735	2	-2.0818
e59e603f-cafa-4762-8f0c-c55212caa576	5	26803775	34700599	5071	0.0054
e59e603f-cafa-4762-8f0c-c55212caa576	5	34700960	34701084	2	-2.1003
e59e603f-cafa-4762-8f0c-c55212caa576	5	34703258	37476955	1754	0.0133
e59e603f-cafa-4762-8f0c-c55212caa576	5	37478293	37480357	2	1.2847
e59e603f-cafa-4762-8f0c-c55212caa576	5	37482769	50509347	5139	0.0165
e59e603f-cafa-4762-8f0c-c55212caa576	5	50509958	50825402	146	0.1507
e59e603f-cafa-4762-8f0c-c55212caa576	5	50825789	58025819	4787	0.0062
e59e603f-cafa-4762-8f0c-c55212caa576	5	58030200	58037706	32	2.1788
e59e603f-cafa-4762-8f0c-c55212caa576	5	58042530	99500868	23930	0.0042
e59e603f-cafa-4762-8f0c-c55212caa576	5	99504170	99504922	2	-2.5316
e59e603f-cafa-4762-8f0c-c55212caa576	5	99508633	104515520	2908	0.0311
e59e603f-cafa-4762-8f0c-c55212caa576	5	104524672	104524903	4	-1.6275
e59e603f-cafa-4762-8f0c-c55212caa576	5	104525348	156049910	33450	0.0159
e59e603f-cafa-4762-8f0c-c55212caa576	5	156049988	156055705	11	-0.8628
e59e603f-cafa-4762-8f0c-c55212caa576	5	156055719	156068249	4	0.5234
e59e603f-cafa-4762-8f0c-c55212caa576	5	156073982	156154727	57	-0.015
e59e603f-cafa-4762-8f0c-c55212caa576	5	156155758	156156127	2	-1.698
e59e603f-cafa-4762-8f0c-c55212caa576	5	156162642	170718378	10258	0.0205
e59e603f-cafa-4762-8f0c-c55212caa576	5	170718580	170719814	2	-1.2109
e59e603f-cafa-4762-8f0c-c55212caa576	5	170721517	172105593	854	0.032
e59e603f-cafa-4762-8f0c-c55212caa576	5	172105883	172109669	3	1.0212
e59e603f-cafa-4762-8f0c-c55212caa576	5	172109966	178292194	3813	0.0142
e59e603f-cafa-4762-8f0c-c55212caa576	5	178292291	181015441	1638	-0.0261
e59e603f-cafa-4762-8f0c-c55212caa576	5	181015920	181363319	166	0.0778
e59e603f-cafa-4762-8f0c-c55212caa576	6	149661	314962	128	0.2404
e59e603f-cafa-4762-8f0c-c55212caa576	6	315197	382559	75	-0.0966
e59e603f-cafa-4762-8f0c-c55212caa576	6	382897	19263127	14730	0.2518
e59e603f-cafa-4762-8f0c-c55212caa576	6	19269453	29875657	6734	-0.0281
e59e603f-cafa-4762-8f0c-c55212caa576	6	29876257	29953350	44	-0.3554
e59e603f-cafa-4762-8f0c-c55212caa576	6	29953446	31313046	626	-0.015
e59e603f-cafa-4762-8f0c-c55212caa576	6	31318499	31328674	11	1.0001
e59e603f-cafa-4762-8f0c-c55212caa576	6	31342147	32463515	497	0.0163
e59e603f-cafa-4762-8f0c-c55212caa576	6	32463775	32637799	57	0.6339
e59e603f-cafa-4762-8f0c-c55212caa576	6	32638107	48509130	10126	-0.0251
e59e603f-cafa-4762-8f0c-c55212caa576	6	48510552	49458680	536	-0.139
e59e603f-cafa-4762-8f0c-c55212caa576	6	49463856	49479582	14	0.6152
e59e603f-cafa-4762-8f0c-c55212caa576	6	49490122	53421202	2530	-0.1416
e59e603f-cafa-4762-8f0c-c55212caa576	6	53426472	53426778	2	-1.3811
e59e603f-cafa-4762-8f0c-c55212caa576	6	53427193	54066353	505	-0.1376
e59e603f-cafa-4762-8f0c-c55212caa576	6	54066432	54067057	6	-1.5632
e59e603f-cafa-4762-8f0c-c55212caa576	6	54070550	62500369	3128	-0.141
e59e603f-cafa-4762-8f0c-c55212caa576	6	62500724	66423553	2330	-0.0021
e59e603f-cafa-4762-8f0c-c55212caa576	6	66424059	67575201	890	-0.2901
e59e603f-cafa-4762-8f0c-c55212caa576	6	67582495	67799137	155	-0.1435
e59e603f-cafa-4762-8f0c-c55212caa576	6	67815618	73882142	3887	-0.284
e59e603f-cafa-4762-8f0c-c55212caa576	6	73882509	73887625	9	0.4683
e59e603f-cafa-4762-8f0c-c55212caa576	6	73891694	76318064	1507	-0.2828
e59e603f-cafa-4762-8f0c-c55212caa576	6	76323236	76323472	2	1.8171
e59e603f-cafa-4762-8f0c-c55212caa576	6	76323492	76726442	262	-0.2964
e59e603f-cafa-4762-8f0c-c55212caa576	6	76726815	76743040	22	-1.0038
e59e603f-cafa-4762-8f0c-c55212caa576	6	76751356	78259348	978	-0.2832
e59e603f-cafa-4762-8f0c-c55212caa576	6	78259388	78325468	112	0.194
e59e603f-cafa-4762-8f0c-c55212caa576	6	78329517	78661494	232	-0.3088
e59e603f-cafa-4762-8f0c-c55212caa576	6	78664338	78665008	2	-1.9076
e59e603f-cafa-4762-8f0c-c55212caa576	6	78665459	103286954	15247	-0.2865
e59e603f-cafa-4762-8f0c-c55212caa576	6	103290101	103314186	46	-1.2159
e59e603f-cafa-4762-8f0c-c55212caa576	6	103317795	170741917	44178	-0.2937
e59e603f-cafa-4762-8f0c-c55212caa576	7	43355	3399591	1484	0.5745
e59e603f-cafa-4762-8f0c-c55212caa576	7	3405117	3434452	41	-1.1741
e59e603f-cafa-4762-8f0c-c55212caa576	7	3439300	6903028	1933	0.5639
e59e603f-cafa-4762-8f0c-c55212caa576	7	6915340	6915396	2	-0.667
e59e603f-cafa-4762-8f0c-c55212caa576	7	6915679	8386166	1259	0.5945
e59e603f-cafa-4762-8f0c-c55212caa576	7	8386908	11306390	2320	0.6288
e59e603f-cafa-4762-8f0c-c55212caa576	7	11307892	11307907	2	-0.9261
e59e603f-cafa-4762-8f0c-c55212caa576	7	11308005	15888881	3753	0.6046
e59e603f-cafa-4762-8f0c-c55212caa576	7	15889359	19778941	3278	0.6423
e59e603f-cafa-4762-8f0c-c55212caa576	7	19779048	21381593	1162	0.6071
e59e603f-cafa-4762-8f0c-c55212caa576	7	21381997	22395161	831	0.5951
e59e603f-cafa-4762-8f0c-c55212caa576	7	22395853	22396868	2	1.5733
e59e603f-cafa-4762-8f0c-c55212caa576	7	22399135	23995508	1072	0.5953
e59e603f-cafa-4762-8f0c-c55212caa576	7	24000259	24000764	2	1.7873
e59e603f-cafa-4762-8f0c-c55212caa576	7	24001198	38251113	10232	0.589
e59e603f-cafa-4762-8f0c-c55212caa576	7	38254500	38356875	125	0.7775
e59e603f-cafa-4762-8f0c-c55212caa576	7	38361356	54299021	10988	0.5968
e59e603f-cafa-4762-8f0c-c55212caa576	7	54299063	54318824	10	-0.0759
e59e603f-cafa-4762-8f0c-c55212caa576	7	54325795	56899337	1612	0.5892
e59e603f-cafa-4762-8f0c-c55212caa576	7	56908389	57086717	11	-0.0245
e59e603f-cafa-4762-8f0c-c55212caa576	7	57088013	63381394	712	0.5714
e59e603f-cafa-4762-8f0c-c55212caa576	7	63455884	63510457	5	-0.6002
e59e603f-cafa-4762-8f0c-c55212caa576	7	63523944	63598980	7	0.7163
e59e603f-cafa-4762-8f0c-c55212caa576	7	63622962	63794352	14	0.188
e59e603f-cafa-4762-8f0c-c55212caa576	7	63797140	65176750	658	0.5827
