GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	62920	10307286	5166	0.0033
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	10310344	10317925	18	0.5339
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	10321714	20556929	6102	0.0103
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	20557010	20560274	5	-0.8845
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	20560287	25256850	2716	0.0044
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	25266637	25292440	16	0.7143
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	25292549	95689620	43962	0.0189
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	95690160	95690510	2	-2.6494
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	95690660	95695540	9	-0.5103
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	95695932	103566616	4799	0.0222
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	103566732	103616762	26	0.551
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	103620877	105476688	926	0.0145
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	105476748	105479753	14	0.9217
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	105481433	109690352	2633	0.0218
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	109690415	109692006	9	1.0279
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	109696900	112147704	1951	0.0028
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	112153343	112154591	22	-0.5693
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	112154619	121705338	5159	0.018
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	143459641	144432083	129	-0.7628
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	144432313	152583051	2314	0.0181
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	152583230	152613762	31	-1.6605
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	152613802	152787202	170	-0.03
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	152789447	152796224	37	-1.4605
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	152801429	153016845	167	-0.0227
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	153018584	153028238	5	-0.9399
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	153028502	174827267	14632	0.019
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	174827418	174832869	20	-0.5971
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	174832902	196762956	14639	0.0232
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	196769493	196847600	58	-0.2833
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	1	196854187	248930189	35789	0.0173
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	12784	4158097	2981	-0.0215
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	4166274	4175577	36	-0.5512
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	4175922	14566168	8019	0.0158
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	14566227	14569968	8	-1.2346
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	14570240	52527743	26086	0.0161
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	52531615	52554157	25	0.868
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	52554188	52756635	186	0.0018
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	52759150	52763209	3	-1.0963
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	52765593	54161100	1029	0.0239
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	54163433	54163839	2	-1.4796
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	54163976	86710564	20704	0.0179
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	86725947	86726731	2	-1.7632
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	86743283	87521665	172	0.0128
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	87522664	87528459	2	-2.2503
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	87542032	89251710	672	0.0181
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	89253753	89254398	2	1.526
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	89254427	97192190	1055	0.0187
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	97199600	97211436	14	0.5291
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	97310327	97359885	13	-0.0439
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	97524284	97550415	10	-0.5887
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	97552143	106258266	5561	0.0211
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	106263639	106265177	4	-0.9132
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	106266773	106270799	9	-2.4531
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	106270952	108968324	1617	0.006
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	108968792	108968954	2	-1.6667
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	108969478	130036283	12659	0.0099
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	130036310	130136424	15	-0.7444
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	2	130147351	242147305	68579	0.0179
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	20930	6604856	5812	0.0256
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	6609441	6613743	28	0.4806
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	6616577	21703548	10404	0.0133
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	21703854	21705791	6	-0.9404
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	21706349	37935926	11369	0.0211
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	37940617	37945316	16	-0.8915
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	37945392	65200174	17662	0.0214
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	65202778	65224777	53	-0.7142
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	65230674	68697013	2424	0.0267
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	68697108	68698262	14	-1.2604
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	68699607	75372019	4870	0.0209
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	75377956	75600083	76	-0.6942
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	75606920	130044016	29703	0.0176
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	130044855	130088155	40	0.4736
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	130089433	162807070	20267	0.0214
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	162810842	162822702	10	-0.884
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	162827928	162908784	49	0.3402
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	162908815	163721940	449	0.0053
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	163722418	163728146	7	-1.2016
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	163734181	189645889	16206	0.0231
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	189646041	189646807	9	-0.9954
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	189646849	191401348	1238	0.0182
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	191402029	191406229	3	-1.557
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	191406288	193155915	1249	0.0212
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	193156018	193168646	23	-0.4369
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	193168669	195685341	1486	0.0191
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	195691392	195720051	20	-1.031
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	195728637	195737444	14	-0.0703
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	195737636	195747892	5	-1.1391
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	3	195751823	198169247	1166	0.017
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	68929	10221792	5698	0.013
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	10222004	10229874	27	-1.5746
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	10232590	34789072	16982	0.0173
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	34789130	34817589	27	-0.6894
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	34819718	49289175	8977	0.0225
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	49289338	49656595	20	-0.6389
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	51819533	54631719	1821	0.0272
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	54635559	54639193	4	-1.0685
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	54639766	61071220	4236	0.0213
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	61075217	61076234	2	-1.7741
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	61079968	68354665	4379	0.0218
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	68361130	68395346	7	0.9276
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	68416487	68506285	17	-0.1166
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	68509223	68618331	61	0.4426
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	68618369	69090632	225	0.0591
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	69093407	69093961	2	1.603
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	69096028	69523998	256	0.0463
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	69524143	69525061	2	-2.3884
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	69526170	114252544	27210	0.0209
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	114254167	114261019	23	0.5761
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	114263073	121360818	4334	0.0167
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	121361313	121363980	28	-0.9567
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	121369976	156047028	20507	0.021
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	156047131	156047321	3	-1.241
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	156047531	160149426	2478	0.0112
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	160149572	160149637	3	1.1366
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	160162718	172066777	7684	0.0157
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	172067997	172068382	12	-1.6192
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	172074828	188300104	10934	0.0161
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	188300206	188300270	3	1.7492
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	188300285	189864410	1081	0.0447
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	189870388	189871792	2	-1.8103
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	189872905	190030808	50	0.0149
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	4	190036331	190106768	7	-0.6906
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	15532	717446	312	0.0037
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	717794	817735	27	-0.4091
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	817877	11161513	8750	0.0056
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	11162524	11162659	3	-1.9847
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	11167165	12791608	1085	0.012
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	12800777	12857021	17	0.7601
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	12857227	58033288	25547	0.0171
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	58033703	58037706	28	1.5347
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	58042530	156048089	60257	0.0188
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	156048092	156068240	18	-0.4898
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	156068247	177739139	14797	0.0129
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	177740962	177771448	3	-1.3856
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	177800550	177839225	8	-0.1766
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	177876764	177889739	4	0.9662
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	5	177897736	181363319	1974	-0.0005
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	149661	303017	126	0.0639
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	303121	389630	88	-0.2673
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	395056	29875657	21453	0.0183
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	29876257	29913481	18	0.9031
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	29913570	31313046	652	-0.0165
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	31318499	31328674	11	1.3426
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	31342147	32463515	497	-0.0334
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	32463775	32593518	32	0.9608
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	32602269	32658841	34	0.4008
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	32682835	32722250	44	0.0845
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	32723020	32723053	3	1.4989
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	32732907	78259348	26813	0.0169
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	78259388	78325468	112	0.3816
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	78329517	139279894	38279	0.016
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	139284190	139284620	2	-2.8009
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	139287466	167931821	19532	0.0153
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	167934598	168196562	180	0.5939
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	6	168196667	170741917	1679	0.0064
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	43355	109797036	66883	0.0206
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	109797037	109813746	30	-0.4671
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	109813762	112300407	1659	0.045
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	112304327	112320045	11	-1.1531
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	112323774	134100424	13071	0.0193
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	134100442	134113790	30	-1.5708
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	134113805	142345098	5415	0.0183
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	142347278	142347565	5	-0.903
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	142356135	144176284	1004	0.0002
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	144176859	144264193	10	-0.7783
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	144295437	144312471	3	0.943
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	144326306	150591743	3840	0.0166
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	150602197	150616096	11	-0.6037
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	150616328	154598185	2555	0.0087
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	154601461	154607903	4	-1.1645
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	7	154609120	159334314	3232	0.0171
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	8	81254	6968934	7620	0.0173
b4fe2fc3-bbb6-4549-b24a-a417d7c0af87	8	6968962	6969664	8	-1.5222
