GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	62920	777165	23	0.4525
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	783283	1939881	296	-0.5629
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	1939898	3301765	415	-0.7184
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	3302046	4361012	646	-0.5553
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	4361945	4363836	3	-2.2719
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	4364038	12779433	5079	-0.5289
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	12792599	13339386	43	0.1944
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	13362275	15185635	1400	-0.5352
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	15185682	15185844	3	-2.2897
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	15186261	15822572	392	-0.4793
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	15822793	15828515	13	-0.0068
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	15839166	16018332	83	-0.4769
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	16018760	16052921	8	-1.3446
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	16063071	16643961	236	-0.4459
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	16679239	16935302	78	-0.1273
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	16935393	25256850	5242	-0.5086
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	25266637	25320253	23	0.2772
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	25320455	29739718	1946	-0.4632
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	29740635	30568959	688	0.1853
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	30569069	30587017	15	-0.4649
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	30588527	47812093	9640	0.1846
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	47813112	49430834	1061	0.1148
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	49431322	54627618	2649	0.1644
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	54628716	54630777	2	-1.4245
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	54635192	64961923	7933	0.1482
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	64963532	64964291	7	-0.6284
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	64969380	68804016	2732	0.1349
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	68804316	72280884	2044	0.096
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	72280898	72297687	12	0.3519
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	72302735	72345465	48	-1.3049
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	72346221	76273782	2475	0.093
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	76275898	87450610	7362	0.1445
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	87451579	88000307	451	0.0585
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	88002375	89009572	647	0.1324
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	89012275	89012522	2	-3.7508
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	89015841	91745404	1786	0.1114
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	91745463	95685985	2460	0.1669
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	95686798	103616762	4843	0.1135
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	103620877	103717410	5	1.5724
a8466c33-c812-48aa-9c92-b5a19d944e1c	1	103717617	105470132	918	0.0867
