GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ace8fa87-a309-4abd-b38c-2848390d778d	1	62920	86341	11	-0.1302
ace8fa87-a309-4abd-b38c-2848390d778d	1	98588	1696979	201	0.4367
ace8fa87-a309-4abd-b38c-2848390d778d	1	1710664	1741164	14	1.1559
ace8fa87-a309-4abd-b38c-2848390d778d	1	1756148	3259896	497	0.4142
ace8fa87-a309-4abd-b38c-2848390d778d	1	3260916	12792599	5770	0.3111
ace8fa87-a309-4abd-b38c-2848390d778d	1	12797714	13389302	46	0.5865
ace8fa87-a309-4abd-b38c-2848390d778d	1	13391312	15823420	1802	0.3204
ace8fa87-a309-4abd-b38c-2848390d778d	1	15827002	15827430	6	1.1862
ace8fa87-a309-4abd-b38c-2848390d778d	1	15827706	16525019	300	0.3173
ace8fa87-a309-4abd-b38c-2848390d778d	1	16542868	16679239	32	0.89
ace8fa87-a309-4abd-b38c-2848390d778d	1	16679281	16898475	38	0.2958
ace8fa87-a309-4abd-b38c-2848390d778d	1	16898730	16930990	28	-0.013
ace8fa87-a309-4abd-b38c-2848390d778d	1	16931039	21358952	2991	0.3107
ace8fa87-a309-4abd-b38c-2848390d778d	1	21361264	21452015	48	0.563
ace8fa87-a309-4abd-b38c-2848390d778d	1	21453405	21970933	309	0.3027
ace8fa87-a309-4abd-b38c-2848390d778d	1	21971792	22031369	21	0.6603
ace8fa87-a309-4abd-b38c-2848390d778d	1	22031461	25256850	1905	0.318
ace8fa87-a309-4abd-b38c-2848390d778d	1	25266637	25336819	25	0.6679
ace8fa87-a309-4abd-b38c-2848390d778d	1	25336853	27585823	926	0.3158
ace8fa87-a309-4abd-b38c-2848390d778d	1	27589193	34622883	4020	0.2967
ace8fa87-a309-4abd-b38c-2848390d778d	1	34625857	34649941	26	0.664
ace8fa87-a309-4abd-b38c-2848390d778d	1	34650960	45632010	6130	0.2934
ace8fa87-a309-4abd-b38c-2848390d778d	1	45633104	56607528	6469	0.3249
ace8fa87-a309-4abd-b38c-2848390d778d	1	56608100	62525439	4507	0.1165
ace8fa87-a309-4abd-b38c-2848390d778d	1	62528289	63112583	414	0.3273
ace8fa87-a309-4abd-b38c-2848390d778d	1	63115107	65690794	1891	0.114
ace8fa87-a309-4abd-b38c-2848390d778d	1	65690934	68320210	1986	-0.1363
ace8fa87-a309-4abd-b38c-2848390d778d	1	68324208	68486673	121	0.1732
ace8fa87-a309-4abd-b38c-2848390d778d	1	68490278	72284670	2230	-0.1377
ace8fa87-a309-4abd-b38c-2848390d778d	1	72290430	72297687	9	-1.4602
ace8fa87-a309-4abd-b38c-2848390d778d	1	72302735	72345450	47	0.4889
ace8fa87-a309-4abd-b38c-2848390d778d	1	72345465	103620877	20023	-0.1379
ace8fa87-a309-4abd-b38c-2848390d778d	1	103621165	103760781	6	1.2986
ace8fa87-a309-4abd-b38c-2848390d778d	1	103760879	109679105	3564	-0.1633
ace8fa87-a309-4abd-b38c-2848390d778d	1	109684695	109702376	16	0.9442
ace8fa87-a309-4abd-b38c-2848390d778d	1	109703504	110834953	838	-0.1423
ace8fa87-a309-4abd-b38c-2848390d778d	1	110836273	110840727	23	-1.0224
ace8fa87-a309-4abd-b38c-2848390d778d	1	110840759	119975336	6139	-0.1483
ace8fa87-a309-4abd-b38c-2848390d778d	1	119978092	121347642	48	0.184
ace8fa87-a309-4abd-b38c-2848390d778d	1	121386039	121593055	74	-0.1528
ace8fa87-a309-4abd-b38c-2848390d778d	1	121593930	145642976	150	0.4201
ace8fa87-a309-4abd-b38c-2848390d778d	1	145642990	152579985	2291	0.0658
ace8fa87-a309-4abd-b38c-2848390d778d	1	152580015	152614118	41	0.4802
ace8fa87-a309-4abd-b38c-2848390d778d	1	152618018	158896783	3818	0.0358
ace8fa87-a309-4abd-b38c-2848390d778d	1	158898711	158899969	2	-1.5423
ace8fa87-a309-4abd-b38c-2848390d778d	1	158905028	212831113	36634	0.0423
ace8fa87-a309-4abd-b38c-2848390d778d	1	212831670	212832002	5	-1.5898
ace8fa87-a309-4abd-b38c-2848390d778d	1	212833055	239302751	18447	0.0434
ace8fa87-a309-4abd-b38c-2848390d778d	1	239302836	239302987	2	-1.5721
ace8fa87-a309-4abd-b38c-2848390d778d	1	239303047	242971405	2856	0.0553
ace8fa87-a309-4abd-b38c-2848390d778d	1	242971953	243094761	20	0.6397
ace8fa87-a309-4abd-b38c-2848390d778d	1	243105104	248930189	3731	0.0499
ace8fa87-a309-4abd-b38c-2848390d778d	2	12784	14566168	11034	-0.1673
ace8fa87-a309-4abd-b38c-2848390d778d	2	14566227	14569968	8	-4.176
ace8fa87-a309-4abd-b38c-2848390d778d	2	14570240	24386596	6882	-0.1675
ace8fa87-a309-4abd-b38c-2848390d778d	2	24386777	24387919	9	-1.0299
ace8fa87-a309-4abd-b38c-2848390d778d	2	24388259	39800429	9971	-0.1696
ace8fa87-a309-4abd-b38c-2848390d778d	2	39800760	39800778	2	-2.1792
ace8fa87-a309-4abd-b38c-2848390d778d	2	39801201	41011095	1005	-0.1646
ace8fa87-a309-4abd-b38c-2848390d778d	2	41011303	41015604	13	-0.8692
ace8fa87-a309-4abd-b38c-2848390d778d	2	41015619	41154039	104	-0.1188
ace8fa87-a309-4abd-b38c-2848390d778d	2	41154182	41333586	144	-0.345
ace8fa87-a309-4abd-b38c-2848390d778d	2	41333954	43332824	1456	-0.1555
ace8fa87-a309-4abd-b38c-2848390d778d	2	43332933	43334022	2	-1.7528
ace8fa87-a309-4abd-b38c-2848390d778d	2	43334280	47000412	2802	-0.1594
ace8fa87-a309-4abd-b38c-2848390d778d	2	47000629	50696595	2429	0.0212
ace8fa87-a309-4abd-b38c-2848390d778d	2	50696712	50698390	2	-1.5738
ace8fa87-a309-4abd-b38c-2848390d778d	2	50698702	52531615	1247	0.0002
ace8fa87-a309-4abd-b38c-2848390d778d	2	52531630	52554404	32	-0.3912
ace8fa87-a309-4abd-b38c-2848390d778d	2	52560811	64122500	7354	0.0241
ace8fa87-a309-4abd-b38c-2848390d778d	2	64122999	64141903	10	-0.6081
ace8fa87-a309-4abd-b38c-2848390d778d	2	64142202	77701273	8899	0.0267
ace8fa87-a309-4abd-b38c-2848390d778d	2	77701739	80680189	2198	0.1511
ace8fa87-a309-4abd-b38c-2848390d778d	2	80680823	84164963	1957	0.0165
ace8fa87-a309-4abd-b38c-2848390d778d	2	84166761	84983454	477	0.1975
ace8fa87-a309-4abd-b38c-2848390d778d	2	84987000	86882149	1074	0.2612
ace8fa87-a309-4abd-b38c-2848390d778d	2	86893372	87218834	50	0.577
ace8fa87-a309-4abd-b38c-2848390d778d	2	87221597	87877400	97	0.3511
ace8fa87-a309-4abd-b38c-2848390d778d	2	87892388	88878450	518	0.1644
ace8fa87-a309-4abd-b38c-2848390d778d	2	88882817	88903074	3	-0.782
ace8fa87-a309-4abd-b38c-2848390d778d	2	88903504	89189911	105	0.1185
ace8fa87-a309-4abd-b38c-2848390d778d	2	89193869	94675825	221	0.3633
ace8fa87-a309-4abd-b38c-2848390d778d	2	94675975	97188422	849	0.1856
ace8fa87-a309-4abd-b38c-2848390d778d	2	97192190	97211264	14	0.8345
ace8fa87-a309-4abd-b38c-2848390d778d	2	97211436	130037806	19881	0.1733
ace8fa87-a309-4abd-b38c-2848390d778d	2	130059766	130116915	11	1.0527
ace8fa87-a309-4abd-b38c-2848390d778d	2	130117303	130284860	42	0.3913
ace8fa87-a309-4abd-b38c-2848390d778d	2	130288531	131951621	569	0.1613
ace8fa87-a309-4abd-b38c-2848390d778d	2	131956771	132556272	257	0.3154
ace8fa87-a309-4abd-b38c-2848390d778d	2	132562078	146107526	8666	0.1699
ace8fa87-a309-4abd-b38c-2848390d778d	2	146107615	146120842	20	-0.2993
ace8fa87-a309-4abd-b38c-2848390d778d	2	146120874	153627724	4631	0.1633
ace8fa87-a309-4abd-b38c-2848390d778d	2	153630383	153646014	10	0.6918
ace8fa87-a309-4abd-b38c-2848390d778d	2	153654922	179548644	15846	0.1761
ace8fa87-a309-4abd-b38c-2848390d778d	2	179553484	179557161	27	-0.8282
ace8fa87-a309-4abd-b38c-2848390d778d	2	179557179	185539404	3752	0.1607
ace8fa87-a309-4abd-b38c-2848390d778d	2	185539712	185569731	13	-0.3867
ace8fa87-a309-4abd-b38c-2848390d778d	2	185571251	212504894	15885	0.1561
ace8fa87-a309-4abd-b38c-2848390d778d	2	212505638	212505978	2	-1.9533
ace8fa87-a309-4abd-b38c-2848390d778d	2	212508264	212520898	8	0.0054
ace8fa87-a309-4abd-b38c-2848390d778d	2	212521351	212523176	3	-0.7333
ace8fa87-a309-4abd-b38c-2848390d778d	2	212523893	213145987	446	0.1761
ace8fa87-a309-4abd-b38c-2848390d778d	2	213146692	232377024	12226	0.0825
ace8fa87-a309-4abd-b38c-2848390d778d	2	232377193	232423556	35	0.4624
ace8fa87-a309-4abd-b38c-2848390d778d	2	232424039	242147305	6163	0.0802
ace8fa87-a309-4abd-b38c-2848390d778d	3	20930	2660770	2283	-0.2409
ace8fa87-a309-4abd-b38c-2848390d778d	3	2666454	9318527	5913	-0.1577
ace8fa87-a309-4abd-b38c-2848390d778d	3	9320986	9326441	9	-1.981
ace8fa87-a309-4abd-b38c-2848390d778d	3	9329720	10149361	385	-0.1637
