GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f7f568c6-334e-4159-971b-bcb96684e436	1	62920	939652	61	0.1358
f7f568c6-334e-4159-971b-bcb96684e436	1	949392	3231261	650	-0.104
f7f568c6-334e-4159-971b-bcb96684e436	1	3236404	16570326	7932	0.0013
f7f568c6-334e-4159-971b-bcb96684e436	1	16583114	16689764	33	0.3404
f7f568c6-334e-4159-971b-bcb96684e436	1	16718963	16863509	21	-0.0857
f7f568c6-334e-4159-971b-bcb96684e436	1	16864367	16935752	54	-0.5051
f7f568c6-334e-4159-971b-bcb96684e436	1	16949746	48206729	17901	0.0012
f7f568c6-334e-4159-971b-bcb96684e436	1	48208019	48208073	2	-1.6118
f7f568c6-334e-4159-971b-bcb96684e436	1	48208216	55319999	3907	-0.0044
f7f568c6-334e-4159-971b-bcb96684e436	1	55320101	55320142	2	-1.5702
f7f568c6-334e-4159-971b-bcb96684e436	1	55321150	72284670	12187	0.0012
f7f568c6-334e-4159-971b-bcb96684e436	1	72290430	72297687	9	-1.0665
f7f568c6-334e-4159-971b-bcb96684e436	1	72302735	72345465	48	1.0215
f7f568c6-334e-4159-971b-bcb96684e436	1	72346221	72619663	162	-0.0091
f7f568c6-334e-4159-971b-bcb96684e436	1	72619763	72632541	11	-0.5347
f7f568c6-334e-4159-971b-bcb96684e436	1	72632681	94595799	14129	0.0018
f7f568c6-334e-4159-971b-bcb96684e436	1	94595884	94596476	2	-1.7153
f7f568c6-334e-4159-971b-bcb96684e436	1	94596510	94986370	401	0.0033
f7f568c6-334e-4159-971b-bcb96684e436	1	94986940	94987030	2	-1.0541
f7f568c6-334e-4159-971b-bcb96684e436	1	94987718	95888558	583	-0.0006
f7f568c6-334e-4159-971b-bcb96684e436	1	95893929	95893949	2	-1.2419
f7f568c6-334e-4159-971b-bcb96684e436	1	95894405	96777357	541	-0.0066
f7f568c6-334e-4159-971b-bcb96684e436	1	96787385	96787637	2	-1.4514
f7f568c6-334e-4159-971b-bcb96684e436	1	96789761	101512042	2917	0.0022
f7f568c6-334e-4159-971b-bcb96684e436	1	101515557	101520332	4	-1.0777
f7f568c6-334e-4159-971b-bcb96684e436	1	101521764	110834946	5692	0.0018
f7f568c6-334e-4159-971b-bcb96684e436	1	110834948	110845604	36	-0.7672
f7f568c6-334e-4159-971b-bcb96684e436	1	110849445	112147704	1073	0.0062
f7f568c6-334e-4159-971b-bcb96684e436	1	112153343	112163596	38	0.256
f7f568c6-334e-4159-971b-bcb96684e436	1	112166431	143714499	5235	0
f7f568c6-334e-4159-971b-bcb96684e436	1	143714665	144442098	38	0.3699
f7f568c6-334e-4159-971b-bcb96684e436	1	144442342	147188642	294	0.0184
f7f568c6-334e-4159-971b-bcb96684e436	1	147191235	147195146	2	-1.8079
f7f568c6-334e-4159-971b-bcb96684e436	1	147196456	152583051	2012	0.0016
f7f568c6-334e-4159-971b-bcb96684e436	1	152583230	152614118	35	0.7324
f7f568c6-334e-4159-971b-bcb96684e436	1	152618018	152789447	168	-0.013
f7f568c6-334e-4159-971b-bcb96684e436	1	152789463	152796224	36	0.6564
f7f568c6-334e-4159-971b-bcb96684e436	1	152801429	155691436	1554	0.0041
f7f568c6-334e-4159-971b-bcb96684e436	1	155692180	155693566	2	-2.3899
f7f568c6-334e-4159-971b-bcb96684e436	1	155697170	196762956	27898	0.004
f7f568c6-334e-4159-971b-bcb96684e436	1	196769493	196847600	58	-0.3585
f7f568c6-334e-4159-971b-bcb96684e436	1	196854187	197175589	178	-0.0272
f7f568c6-334e-4159-971b-bcb96684e436	1	197179206	197202936	16	-1.038
f7f568c6-334e-4159-971b-bcb96684e436	1	197215829	199138574	1177	0.0104
f7f568c6-334e-4159-971b-bcb96684e436	1	199142235	199143883	8	-0.6758
f7f568c6-334e-4159-971b-bcb96684e436	1	199144712	209897717	7401	-0.0007
f7f568c6-334e-4159-971b-bcb96684e436	1	209908268	209908720	2	-1.7667
f7f568c6-334e-4159-971b-bcb96684e436	1	209910639	215682652	3883	0.0021
f7f568c6-334e-4159-971b-bcb96684e436	1	215684851	215688763	14	-1.1354
f7f568c6-334e-4159-971b-bcb96684e436	1	215692667	234137598	12632	-0.0001
f7f568c6-334e-4159-971b-bcb96684e436	1	234141505	234141699	2	-1.6726
f7f568c6-334e-4159-971b-bcb96684e436	1	234144751	238588320	3315	0.0073
f7f568c6-334e-4159-971b-bcb96684e436	1	238588335	238588637	4	-1.25
f7f568c6-334e-4159-971b-bcb96684e436	1	238589096	240228440	1296	-0.0056
f7f568c6-334e-4159-971b-bcb96684e436	1	240230715	240230839	6	-2.2137
f7f568c6-334e-4159-971b-bcb96684e436	1	240232805	247999886	5400	0.0012
f7f568c6-334e-4159-971b-bcb96684e436	1	248002400	248008274	2	-1.6545
f7f568c6-334e-4159-971b-bcb96684e436	1	248010151	248930189	454	0.0084
f7f568c6-334e-4159-971b-bcb96684e436	2	12784	4870307	3625	-0.0114
f7f568c6-334e-4159-971b-bcb96684e436	2	4870327	4870552	6	-0.8341
f7f568c6-334e-4159-971b-bcb96684e436	2	4876276	7857288	2532	0.009
f7f568c6-334e-4159-971b-bcb96684e436	2	7858699	7858848	2	-2.3448
f7f568c6-334e-4159-971b-bcb96684e436	2	7861221	35750907	18829	0.0018
f7f568c6-334e-4159-971b-bcb96684e436	2	35752724	35762850	6	-1.7104
f7f568c6-334e-4159-971b-bcb96684e436	2	35762881	52527330	12120	0.0083
f7f568c6-334e-4159-971b-bcb96684e436	2	52527342	52554404	39	0.4453
f7f568c6-334e-4159-971b-bcb96684e436	2	52560811	97359885	23836	0.0099
f7f568c6-334e-4159-971b-bcb96684e436	2	97524284	97545247	8	1.2619
f7f568c6-334e-4159-971b-bcb96684e436	2	97545726	146104517	29389	0.0053
f7f568c6-334e-4159-971b-bcb96684e436	2	146106836	146120842	27	-0.4675
f7f568c6-334e-4159-971b-bcb96684e436	2	146120874	226088147	49051	0.0078
f7f568c6-334e-4159-971b-bcb96684e436	2	226089640	226096702	10	-1.0622
f7f568c6-334e-4159-971b-bcb96684e436	2	226098982	242147305	9988	-0.0015
f7f568c6-334e-4159-971b-bcb96684e436	3	20930	46750055	33176	0.0066
f7f568c6-334e-4159-971b-bcb96684e436	3	46751887	46807689	40	-0.7411
f7f568c6-334e-4159-971b-bcb96684e436	3	46808099	66616013	13105	0.0048
f7f568c6-334e-4159-971b-bcb96684e436	3	66617919	66617941	2	-2.5435
f7f568c6-334e-4159-971b-bcb96684e436	3	66619605	100692517	18193	-0.0017
f7f568c6-334e-4159-971b-bcb96684e436	3	100693033	100693050	2	-2.0853
f7f568c6-334e-4159-971b-bcb96684e436	3	100694337	100744343	27	-0.0505
f7f568c6-334e-4159-971b-bcb96684e436	3	100749656	100749932	2	-1.5637
f7f568c6-334e-4159-971b-bcb96684e436	3	100752503	130047743	17884	0.0002
f7f568c6-334e-4159-971b-bcb96684e436	3	130057015	130075961	29	0.4185
f7f568c6-334e-4159-971b-bcb96684e436	3	130079892	132407683	1532	0.0134
f7f568c6-334e-4159-971b-bcb96684e436	3	132411952	132412014	2	-1.1363
f7f568c6-334e-4159-971b-bcb96684e436	3	132413855	135977444	2362	0.0106
f7f568c6-334e-4159-971b-bcb96684e436	3	135979780	135981035	3	-1.1594
f7f568c6-334e-4159-971b-bcb96684e436	3	135983695	142127992	3556	-0.0049
f7f568c6-334e-4159-971b-bcb96684e436	3	142131697	142132171	2	-4.5929
f7f568c6-334e-4159-971b-bcb96684e436	3	142134891	162790480	12810	0.0039
f7f568c6-334e-4159-971b-bcb96684e436	3	162794869	162906054	65	0.5306
f7f568c6-334e-4159-971b-bcb96684e436	3	162906065	162996729	77	-0.0671
f7f568c6-334e-4159-971b-bcb96684e436	3	162999939	163001774	2	-2.8999
f7f568c6-334e-4159-971b-bcb96684e436	3	163008371	176467005	8295	0.0035
f7f568c6-334e-4159-971b-bcb96684e436	3	176471712	176473131	4	-1.6888
f7f568c6-334e-4159-971b-bcb96684e436	3	176474850	189372662	8068	0.0036
f7f568c6-334e-4159-971b-bcb96684e436	3	189376519	189380938	5	-1.1825
f7f568c6-334e-4159-971b-bcb96684e436	3	189384112	189642965	211	0.0015
f7f568c6-334e-4159-971b-bcb96684e436	3	189645889	189646849	11	-1.0349
