GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	62920	16604834	8648	0.0053
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	16605031	16721984	37	0.467
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	16766762	16863509	15	-0.3458
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	16864367	16951445	56	0.4463
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	16955930	72297687	34017	0.0057
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	72302735	72345465	48	1.0881
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	72346221	75585159	1932	0.0171
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	75589078	75589169	2	-3.1669
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	75593824	109679105	21679	0.0111
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	109684695	109697556	15	1.0269
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	109702376	112147704	1950	0.0132
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	112153343	112154591	22	-0.6465
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	112154619	152583051	7610	0.0138
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	152583230	152614064	33	1.1135
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	152614100	152789447	170	-0.0069
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	152789463	152806050	40	-0.5279
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	152806082	191856724	26178	0.0069
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	191859939	191898581	13	-0.9375
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	191902086	193186662	871	0.007
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	193187149	193187202	3	2.0884
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	193187218	196741937	2394	0.0124
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	196742057	196846661	64	0.5709
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	196847600	199142235	1376	0.0047
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	199142298	199144712	8	-2.2249
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	199145110	243143622	30714	0.004
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	243144364	243189078	15	0.5742
d404ce5a-7466-40a0-a5f3-08b816a720e8	1	243190549	248930189	3701	0.0309
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	12784	34775379	24319	0.0079
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	34776071	34783798	12	-1.1441
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	34784153	35742057	672	0.0266
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	35742319	35762850	9	0.9673
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	35762881	97359885	36019	0.0143
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	97524284	97545247	8	-1.0804
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	97545726	128880504	18966	0.014
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	128880904	128882755	16	-0.7468
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	128888874	133175612	2261	0.0368
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	133175890	133187872	6	0.818
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	133192376	179553606	28673	0.0112
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	179553661	179557410	28	-0.7697
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	179560916	213162120	20127	0.0135
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	213167432	213175370	14	-0.9292
d404ce5a-7466-40a0-a5f3-08b816a720e8	2	213180090	242147305	18402	0.0101
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	20930	6638555	5870	0.0311
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	6640293	16197556	7028	-0.0069
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	16199049	16199877	8	-0.7211
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	16202089	52960122	22781	0.013
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	52963834	52963855	2	-1.3725
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	52967279	52989195	33	-0.1213
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	52994359	53005247	39	-0.6224
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	53005263	68697013	12037	0.0107
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	68697108	68698262	14	-2.3153
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	68699607	75511990	4930	0.0119
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	75519398	75547095	9	0.7848
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	75559488	93839037	8144	0.01
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	93840082	93840290	2	-1.5458
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	93843067	100947516	3833	0.0209
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	100950673	100951695	3	-1.3074
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	100953918	125950205	15353	0.0083
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	125954540	125957120	3	-2.8776
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	125961657	130057015	2387	-0.0011
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	130057833	130087209	34	0.3439
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	130087393	140823697	6729	0.0017
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	140826859	140828142	2	-3.8898
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	140841776	146661402	3660	0.0062
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	146665207	146668345	4	-1.0026
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	146674197	147616427	489	0.0917
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	147618524	154475335	4360	0.0043
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	154477108	154619246	81	0.0917
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	154628206	154630599	2	-2.0504
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	154632021	161797809	4260	0.006
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	161797839	161797861	2	1.5744
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	161798156	165541222	2219	0.0186
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	165548290	165579327	39	-0.7368
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	165579837	193156958	17649	0.0087
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	193160113	193165114	20	0.8262
d404ce5a-7466-40a0-a5f3-08b816a720e8	3	193168646	198169247	2690	0.0019
d404ce5a-7466-40a0-a5f3-08b816a720e8	4	68929	8722817	5096	0.0019
