GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	62920	16689764	8654	0.0003
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	16718963	16935393	73	-0.6912
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	16935737	34625857	10194	-0.0006
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	34625993	34638890	23	-0.6544
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	34648667	72302735	23712	0.0097
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	72302815	72345465	47	-1.2697
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	72346221	78323769	3764	0.0211
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	78323890	78324107	2	1.7113
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	78329348	81422771	2008	0.0168
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	81422917	81422920	2	1.4677
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	81422982	83092101	1186	0.0181
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	83092504	83095059	2	-1.2854
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	83095760	86561241	2336	0.0218
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	86562986	86571239	10	-1.1771
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	86573749	109684695	14262	0.0125
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	109684893	109697556	14	1.6806
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	109702376	152583230	9557	0.0099
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	152583291	152614118	34	-1.6803
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	152618018	196740316	29599	0.0134
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	196740630	196847600	67	0.5097
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	196854187	228180529	20888	0.0171
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	228183046	228185869	5	-1.2189
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	228186551	228344757	84	0.01
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	228346751	228380803	14	-0.6306
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	228382881	237104034	6342	0.0116
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	237104070	237110913	3	-1.7214
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	237111820	248446755	8172	0.0205
19f2af68-44c5-4241-a616-8e6a97dff1d5	1	248447206	248520101	15	-0.7022
