GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	62920	2987492	593	0.0595
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	2988162	3449929	239	-0.1361
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	3451503	9542315	3987	0.0158
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	9543723	9544815	2	-1.1596
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	9548738	15827259	3521	0.0186
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	15827338	15827430	3	-1.6072
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	15827706	16864367	360	0.0382
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	16868660	16935302	50	-0.4235
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	16935393	25266637	5268	0.0279
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	25269390	25319167	19	0.3862
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	25319693	30265687	2395	0.0266
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	30266452	30268809	5	-1.2785
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	30269103	34626073	2556	0.0289
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	34637053	34638890	20	-0.5267
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	34648667	72297687	23758	0.0125
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	72302735	72345450	47	-1.0771
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	72345465	72986136	416	-0.0089
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	72987341	84941926	7793	-0.1204
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	84946753	86186247	865	-0.023
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	86189370	89009572	1864	-0.1138
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	89012275	89012522	2	-2.272
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	89015841	89969234	590	-0.0933
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	89969978	92966253	1803	-0.1495
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	92972899	92975569	2	-1.6733
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	92976275	105470132	7616	-0.1601
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	105470754	105479753	18	0.3355
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	105481433	112147626	4597	-0.1461
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	112147704	112154591	23	0.2051
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	112154619	121705338	5165	-0.1489
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	143459641	144442342	133	0.125
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	144445555	144503849	9	-0.5786
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	144503864	152582700	2298	0.0459
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	152583051	152618187	39	0.3355
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	152618274	169247699	11478	0.0319
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	169264736	169272528	7	0.6927
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	169273163	189679027	13435	0.0239
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	189679353	189679397	2	-1.5786
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	189682917	195380656	3835	0.0112
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	195383812	195386347	2	1.2093
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	195386615	196745692	895	0.0066
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	196745743	196843400	61	0.5745
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	196846661	248442451	35605	0.0236
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	248446755	248855176	165	0.1752
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	1	248864040	248930189	36	0.0104
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	12784	14563570	11038	0.0233
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	14564825	14569968	12	-0.9502
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	14570240	34295406	12939	0.0278
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	34298911	34300513	2	1.2823
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	34300900	36042343	1240	-0.0097
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	36042415	49622147	9831	0.0307
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	49622570	52527743	2076	0.0018
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	52531615	52563002	35	-0.3443
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	52563355	87489240	22075	0.024
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	87489506	87747102	38	0.3285
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	87835245	105767676	6883	0.0263
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	105768041	105768060	2	1.1098
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	105770408	106258266	419	0.0209
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	106263639	106266773	5	-0.6241
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	106266875	106268901	7	-1.7918
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	106270799	128880504	13390	0.0179
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	128880904	128882741	15	-0.6721
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	2	128882755	242147305	69504	0.0205
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	20930	7863837	6971	-0.0037
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	7863914	18918331	7568	0.0251
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	18918464	37935926	13079	0.0035
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	37940617	37945437	18	-0.6054
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	37945615	42023513	2655	0.0153
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	42032465	53484322	5727	0.0351
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	53484593	68697013	11762	0.0078
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	68697108	68698092	10	-0.6709
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	68698138	136300257	38718	0.0081
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	136304109	136306584	2	-2.1559
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	136319699	162790480	16239	0.0099
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	162794869	162898127	64	-1.2519
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	162906054	162908207	6	-0.5895
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	162908784	162996729	72	0.0125
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	162999939	163001774	2	1.3741
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	163008371	189642965	16591	0.0077
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	189645889	189646849	11	-0.5187
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	189653199	193160256	2493	0.0071
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	193160406	193165114	17	-0.839
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	193168646	195529851	1472	0.0226
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	195532499	195729069	43	0.3007
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	195729085	195973611	95	-0.0041
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	195974244	195974292	2	1.2158
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	195974457	196935283	454	0.0363
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	196935404	196961253	23	0.3936
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	3	196961656	198169247	604	0.0187
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	68929	10208766	5704	0.0062
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	10221792	10233542	33	-0.4643
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	10233558	27589313	12526	-0.0006
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	27595144	28345945	510	-0.2135
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	28349394	34777353	3935	-0.0147
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	34777382	34822561	41	0.4286
ab63abc0-c4a9-4d54-add0-078d7f1ceec7	4	34823103	35620797	526	-0.0114
