GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d48d698a-6981-44a7-8035-eea101cf6028	1	62920	15823420	8338	0.0235
d48d698a-6981-44a7-8035-eea101cf6028	1	15827002	15827430	6	-1.4849
d48d698a-6981-44a7-8035-eea101cf6028	1	15827706	16542868	302	0.0197
d48d698a-6981-44a7-8035-eea101cf6028	1	16544783	16636818	15	0.5
d48d698a-6981-44a7-8035-eea101cf6028	1	16637050	30264526	7768	0.0189
d48d698a-6981-44a7-8035-eea101cf6028	1	30265508	30266452	5	-1.1808
d48d698a-6981-44a7-8035-eea101cf6028	1	30266949	64436772	21019	0.015
d48d698a-6981-44a7-8035-eea101cf6028	1	64436800	64441692	2	-1.6882
d48d698a-6981-44a7-8035-eea101cf6028	1	64443946	72284670	5311	0.0134
d48d698a-6981-44a7-8035-eea101cf6028	1	72290430	72297687	9	-1.0097
d48d698a-6981-44a7-8035-eea101cf6028	1	72302735	72345450	46	1.3071
d48d698a-6981-44a7-8035-eea101cf6028	1	72345465	105470754	20944	0.0153
d48d698a-6981-44a7-8035-eea101cf6028	1	105476583	105479738	16	-0.8277
d48d698a-6981-44a7-8035-eea101cf6028	1	105479753	112147704	4598	0.013
d48d698a-6981-44a7-8035-eea101cf6028	1	112153343	112154619	23	0.5269
d48d698a-6981-44a7-8035-eea101cf6028	1	112154754	121601998	5158	0.0146
d48d698a-6981-44a7-8035-eea101cf6028	1	121705338	143710798	90	0.2447
d48d698a-6981-44a7-8035-eea101cf6028	1	143710845	152789781	2556	0.0245
d48d698a-6981-44a7-8035-eea101cf6028	1	152789809	152796224	31	-0.4696
d48d698a-6981-44a7-8035-eea101cf6028	1	152801429	196745743	29447	0.0131
d48d698a-6981-44a7-8035-eea101cf6028	1	196758720	196832298	55	0.3592
d48d698a-6981-44a7-8035-eea101cf6028	1	196832312	247802793	35201	0.0179
d48d698a-6981-44a7-8035-eea101cf6028	1	247804203	247808809	9	-1.1039
d48d698a-6981-44a7-8035-eea101cf6028	1	247812002	248429940	393	0.0096
d48d698a-6981-44a7-8035-eea101cf6028	1	248436996	248463321	10	-0.5485
d48d698a-6981-44a7-8035-eea101cf6028	1	248463796	248930189	193	0.0601
d48d698a-6981-44a7-8035-eea101cf6028	2	12784	3680102	2567	0.0357
d48d698a-6981-44a7-8035-eea101cf6028	2	3680514	3688948	7	-0.8858
d48d698a-6981-44a7-8035-eea101cf6028	2	3694481	4155990	413	0.0194
d48d698a-6981-44a7-8035-eea101cf6028	2	4158097	4187192	45	0.3909
d48d698a-6981-44a7-8035-eea101cf6028	2	4187794	35750907	21973	0.0144
d48d698a-6981-44a7-8035-eea101cf6028	2	35752724	35762850	6	-1.7276
d48d698a-6981-44a7-8035-eea101cf6028	2	35762881	43114959	5508	0.0101
d48d698a-6981-44a7-8035-eea101cf6028	2	43115162	43118539	2	-2.3863
d48d698a-6981-44a7-8035-eea101cf6028	2	43118875	52527330	6611	0.0103
d48d698a-6981-44a7-8035-eea101cf6028	2	52527342	52554359	36	0.4831
d48d698a-6981-44a7-8035-eea101cf6028	2	52554366	52828510	239	0.0001
d48d698a-6981-44a7-8035-eea101cf6028	2	52828554	52829999	7	-0.8259
d48d698a-6981-44a7-8035-eea101cf6028	2	52830027	76333322	15084	0.0138
d48d698a-6981-44a7-8035-eea101cf6028	2	76335213	76338343	2	-1.586
d48d698a-6981-44a7-8035-eea101cf6028	2	76339004	76990184	503	0.0044
d48d698a-6981-44a7-8035-eea101cf6028	2	76994194	76998804	5	-1.3886
d48d698a-6981-44a7-8035-eea101cf6028	2	76998855	87070602	6153	0.0085
d48d698a-6981-44a7-8035-eea101cf6028	2	87074984	87835245	127	-0.588
d48d698a-6981-44a7-8035-eea101cf6028	2	87853065	105529850	6664	0.0229
d48d698a-6981-44a7-8035-eea101cf6028	2	105529918	105535647	2	-1.7358
d48d698a-6981-44a7-8035-eea101cf6028	2	105535795	106258266	638	0.0204
d48d698a-6981-44a7-8035-eea101cf6028	2	106263639	106268557	11	0.8193
d48d698a-6981-44a7-8035-eea101cf6028	2	106268901	128880504	13382	0.015
d48d698a-6981-44a7-8035-eea101cf6028	2	128880904	128882755	16	-0.6331
d48d698a-6981-44a7-8035-eea101cf6028	2	128888874	146104517	10411	0.0212
d48d698a-6981-44a7-8035-eea101cf6028	2	146106836	146109366	24	-2.1081
d48d698a-6981-44a7-8035-eea101cf6028	2	146120238	207490614	36949	0.0176
d48d698a-6981-44a7-8035-eea101cf6028	2	207490972	207494612	14	-0.7195
d48d698a-6981-44a7-8035-eea101cf6028	2	207494752	212316597	3040	0.0151
d48d698a-6981-44a7-8035-eea101cf6028	2	212321824	212327101	25	-1.0397
d48d698a-6981-44a7-8035-eea101cf6028	2	212327402	226477322	9254	0.0181
d48d698a-6981-44a7-8035-eea101cf6028	2	226478072	226481352	5	-1.2506
d48d698a-6981-44a7-8035-eea101cf6028	2	226483083	242147305	9753	0.0157
d48d698a-6981-44a7-8035-eea101cf6028	3	20930	52989195	35705	0.0167
d48d698a-6981-44a7-8035-eea101cf6028	3	52994359	53007328	44	-0.5909
d48d698a-6981-44a7-8035-eea101cf6028	3	53007467	68697108	12021	0.0152
d48d698a-6981-44a7-8035-eea101cf6028	3	68697133	68698262	13	1.2428
d48d698a-6981-44a7-8035-eea101cf6028	3	68699607	75372019	4868	0.0171
d48d698a-6981-44a7-8035-eea101cf6028	3	75377956	75496021	50	-0.667
d48d698a-6981-44a7-8035-eea101cf6028	3	75496671	99218940	10987	0.0171
d48d698a-6981-44a7-8035-eea101cf6028	3	99225614	99226455	14	-1.6042
d48d698a-6981-44a7-8035-eea101cf6028	3	99226551	99230212	13	-3.4801
d48d698a-6981-44a7-8035-eea101cf6028	3	99230225	99230577	11	-1.3129
d48d698a-6981-44a7-8035-eea101cf6028	3	99232120	130044016	18707	0.0119
d48d698a-6981-44a7-8035-eea101cf6028	3	130044855	130087393	38	0.6061
d48d698a-6981-44a7-8035-eea101cf6028	3	130088081	158632329	17652	0.0168
d48d698a-6981-44a7-8035-eea101cf6028	3	158633095	158633756	2	1.6535
d48d698a-6981-44a7-8035-eea101cf6028	3	158641083	162815162	2616	0.0001
d48d698a-6981-44a7-8035-eea101cf6028	3	162816942	162822702	6	1.5588
d48d698a-6981-44a7-8035-eea101cf6028	3	162827928	162908815	50	-0.346
d48d698a-6981-44a7-8035-eea101cf6028	3	162910826	193155702	19154	0.0101
d48d698a-6981-44a7-8035-eea101cf6028	3	193155761	193164694	19	0.5605
d48d698a-6981-44a7-8035-eea101cf6028	3	193164968	198169247	2697	0.0153
d48d698a-6981-44a7-8035-eea101cf6028	4	68929	9858273	5322	0.0324
d48d698a-6981-44a7-8035-eea101cf6028	4	9858277	9862603	3	-1.3405
d48d698a-6981-44a7-8035-eea101cf6028	4	9863418	10221792	379	0.0068
d48d698a-6981-44a7-8035-eea101cf6028	4	10222004	10232984	30	-1.6331
d48d698a-6981-44a7-8035-eea101cf6028	4	10233383	34777418	16966	0.0221
d48d698a-6981-44a7-8035-eea101cf6028	4	34777432	34828382	44	-0.5321
