GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	62920	462894	19	-0.4143
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	599171	668210	2	-2.2528
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	771719	3033832	606	-0.0862
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	3034641	16480031	7986	-0.02
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	16480430	16868660	74	-0.3605
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	16877002	24179296	4600	-0.0063
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	24179559	24181365	3	-1.3296
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	24182584	25269456	702	-0.0039
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	25269914	25320455	21	0.5455
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	25336819	31854161	3361	-0.0185
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	31855355	31857604	3	-1.5808
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	31868876	55426738	13238	-0.0276
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	55426798	72290459	12077	-0.0673
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	72290491	72351338	59	0.3302
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	72352916	75585159	1925	-0.078
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	75589078	75589169	2	-3.0126
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	75593824	83350794	5138	-0.0909
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	83359894	83359907	2	-2.3561
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	83362590	86292906	2047	-0.0752
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	86293095	86297394	2	-2.54
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	86298134	105476583	11807	-0.0698
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	105476614	105481448	18	-1.5609
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	105481468	108187137	1933	-0.0784
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	108191613	108194874	3	-4.0199
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	108196482	109638683	678	-0.0188
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	109640204	109658958	7	-0.9116
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	109663353	109684893	10	0.1125
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	109690352	109697556	13	-1.0816
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	109702376	143546851	7133	-0.0523
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	143547055	152580343	2433	0.0488
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	152580550	152602773	26	0.6964
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	152602985	163183554	6771	0.0641
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	163184579	179470495	11410	0.0189
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	179476998	179478146	2	-1.7358
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	179478408	184249067	3272	0.0423
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	184249550	189199110	3167	-0.0098
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	189203281	189679027	306	0.1085
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	189679353	189679397	2	-2.1045
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	189682917	193186662	2337	-0.0028
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	193187149	193187218	4	1.2912
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	193190593	196769506	2399	0.0101
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	196769638	196855470	61	-0.3052
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	196858725	200467300	2316	0.0025
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	200467934	215398168	10235	0.047
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	215401824	222193326	4825	0.0012
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	222201492	222203662	2	1.6429
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	222208792	222840177	331	0.0019
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	222842928	237363880	9896	0.0374
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	237363893	248028918	7736	0.0085
78977eda-a503-44e9-af62-a3ccd1a1ab88	1	248029624	248930189	439	0.1156
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	12784	35750907	24988	0.0169
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	35752724	35761650	4	-2.0254
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	35761842	38033887	1800	0.0167
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	38035970	38036665	2	-1.9875
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	38041182	52527743	10324	0.019
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	52531615	52554236	27	0.9624
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	52554259	86710564	21907	0.0248
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	86725947	86726731	2	-2.4543
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	86743283	87203730	100	0.0442
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	87207015	87747102	100	-0.2855
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	87835245	94913637	925	0.0017
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	94914997	97357159	800	-0.1436
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	97359380	97545247	10	0.5919
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	97545726	112797472	8830	-0.1513
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	112798015	112798211	2	-2.4961
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	112799713	148257979	21637	-0.1729
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	148258135	148258317	2	-2.6116
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	148263941	241978767	57791	-0.1702
78977eda-a503-44e9-af62-a3ccd1a1ab88	2	241981891	242147305	115	-0.0319
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	20930	182919	154	0.0163
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	188339	191117	4	-1.3703
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	193194	1054355	702	0.1291
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	1054493	1057047	3	-1.5005
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	1066915	36564417	25870	0.088
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	36566456	58898543	12945	0.1161
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	58898753	80157232	15628	0.081
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	80160142	80162085	4	-1.2629
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	80162229	89620865	5255	0.0742
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	89622183	89624990	8	-1.443
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	89629449	107793581	8219	0.0602
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	107794245	107795263	3	-1.7001
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	107795287	122729413	9224	0.0776
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	122730046	130044016	4398	0.1202
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	130044855	130087393	38	-0.5165
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	130088081	132269794	1432	0.0837
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	132270020	132276840	8	-0.9772
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	132281633	144434675	7454	0.0909
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	144435702	144435992	2	-1.8641
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	144438307	146674197	1496	0.0584
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	146675288	147250762	317	0.2103
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	147253866	162773360	9528	0.0784
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	162774085	162822221	36	0.5192
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	162822685	162822702	2	3.1665
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	162827928	162857273	16	-0.1457
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	162860892	163008717	109	0.3383
78977eda-a503-44e9-af62-a3ccd1a1ab88	3	163008827	174160311	6714	0.0878
