GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da05479b-0855-4395-b689-10a5aa1a6884	1	62920	16864367	8691	0.0026
da05479b-0855-4395-b689-10a5aa1a6884	1	16868660	16949746	54	-0.4088
da05479b-0855-4395-b689-10a5aa1a6884	1	16951445	25256850	5260	0.0055
da05479b-0855-4395-b689-10a5aa1a6884	1	25266637	25320253	23	0.538
da05479b-0855-4395-b689-10a5aa1a6884	1	25320455	34625993	4949	0.0004
da05479b-0855-4395-b689-10a5aa1a6884	1	34626037	34638890	22	-0.5876
da05479b-0855-4395-b689-10a5aa1a6884	1	34648667	72297687	23744	-0.0035
da05479b-0855-4395-b689-10a5aa1a6884	1	72302735	72345465	48	-1.1793
da05479b-0855-4395-b689-10a5aa1a6884	1	72346221	105470754	20938	0.0018
da05479b-0855-4395-b689-10a5aa1a6884	1	105476583	105479753	17	0.4637
da05479b-0855-4395-b689-10a5aa1a6884	1	105481433	109684893	2635	-0.0079
da05479b-0855-4395-b689-10a5aa1a6884	1	109690352	109697556	13	0.9997
da05479b-0855-4395-b689-10a5aa1a6884	1	109702376	112147704	1950	0.0026
da05479b-0855-4395-b689-10a5aa1a6884	1	112153343	112154619	23	-0.3257
da05479b-0855-4395-b689-10a5aa1a6884	1	112154754	121705338	5158	-0.0007
da05479b-0855-4395-b689-10a5aa1a6884	1	143459641	143942271	128	-0.6777
da05479b-0855-4395-b689-10a5aa1a6884	1	144432083	152790191	2523	-0.0081
da05479b-0855-4395-b689-10a5aa1a6884	1	152790286	152796224	24	0.4479
da05479b-0855-4395-b689-10a5aa1a6884	1	152801429	194479104	27986	0.0005
da05479b-0855-4395-b689-10a5aa1a6884	1	194482281	194485888	2	1.3722
da05479b-0855-4395-b689-10a5aa1a6884	1	194487886	195378851	550	0.0145
da05479b-0855-4395-b689-10a5aa1a6884	1	195379014	195379808	2	-1.4133
da05479b-0855-4395-b689-10a5aa1a6884	1	195380656	195856252	315	-0.0313
da05479b-0855-4395-b689-10a5aa1a6884	1	195859381	195905777	42	-0.9207
da05479b-0855-4395-b689-10a5aa1a6884	1	195906930	196742057	540	0.0101
da05479b-0855-4395-b689-10a5aa1a6884	1	196745692	196843377	61	0.2521
da05479b-0855-4395-b689-10a5aa1a6884	1	196843400	248930189	35783	-0.0006
da05479b-0855-4395-b689-10a5aa1a6884	2	12784	34466002	24066	0.0042
da05479b-0855-4395-b689-10a5aa1a6884	2	34474248	34511990	46	0.3902
da05479b-0855-4395-b689-10a5aa1a6884	2	34512096	41011095	4800	-0.0104
da05479b-0855-4395-b689-10a5aa1a6884	2	41011303	41024584	26	-0.5394
da05479b-0855-4395-b689-10a5aa1a6884	2	41024614	52514599	8167	-0.0006
da05479b-0855-4395-b689-10a5aa1a6884	2	52516787	52527743	8	-1.5059
da05479b-0855-4395-b689-10a5aa1a6884	2	52531615	87223346	22046	0.0021
da05479b-0855-4395-b689-10a5aa1a6884	2	87225631	87489506	54	-0.2456
da05479b-0855-4395-b689-10a5aa1a6884	2	87489521	89305244	690	0.0032
da05479b-0855-4395-b689-10a5aa1a6884	2	89896149	90235899	130	-0.789
da05479b-0855-4395-b689-10a5aa1a6884	2	90262403	113604438	10310	0.0019
da05479b-0855-4395-b689-10a5aa1a6884	2	113604837	113623244	3	-1.5295
da05479b-0855-4395-b689-10a5aa1a6884	2	113625975	130060624	10485	-0.0059
da05479b-0855-4395-b689-10a5aa1a6884	2	130063181	130063277	2	-1.2693
da05479b-0855-4395-b689-10a5aa1a6884	2	130065662	146104517	9530	-0.0008
da05479b-0855-4395-b689-10a5aa1a6884	2	146106836	146120238	25	0.5517
da05479b-0855-4395-b689-10a5aa1a6884	2	146120827	212316597	39983	0.0005
da05479b-0855-4395-b689-10a5aa1a6884	2	212321824	212327101	25	-0.7049
da05479b-0855-4395-b689-10a5aa1a6884	2	212327402	242147305	19000	-0.0028
da05479b-0855-4395-b689-10a5aa1a6884	3	20930	52989195	35694	0.0004
da05479b-0855-4395-b689-10a5aa1a6884	3	52994359	53007503	47	-0.5261
da05479b-0855-4395-b689-10a5aa1a6884	3	53007838	68697013	12006	0.0072
da05479b-0855-4395-b689-10a5aa1a6884	3	68697108	68698262	14	1.0995
da05479b-0855-4395-b689-10a5aa1a6884	3	68699607	89337951	12619	0.002
da05479b-0855-4395-b689-10a5aa1a6884	3	89345442	89370231	51	-0.6219
da05479b-0855-4395-b689-10a5aa1a6884	3	89370771	133289648	24073	-0.003
da05479b-0855-4395-b689-10a5aa1a6884	3	133292360	133293636	3	-1.6774
da05479b-0855-4395-b689-10a5aa1a6884	3	133295928	162153440	17740	0.0028
