GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6173c9dd-d1aa-42e4-81ad-db724d654200	1	62920	2066166	349	0.0792
6173c9dd-d1aa-42e4-81ad-db724d654200	1	2083241	3207591	344	0.242
6173c9dd-d1aa-42e4-81ad-db724d654200	1	3210080	12774437	5791	0.0278
6173c9dd-d1aa-42e4-81ad-db724d654200	1	12775725	12817195	26	0.4935
6173c9dd-d1aa-42e4-81ad-db724d654200	1	12822696	25256850	7506	0.0244
6173c9dd-d1aa-42e4-81ad-db724d654200	1	25266637	25289805	15	0.8218
6173c9dd-d1aa-42e4-81ad-db724d654200	1	25292440	28182007	1224	0.0403
6173c9dd-d1aa-42e4-81ad-db724d654200	1	28183294	28185994	2	-1.5035
6173c9dd-d1aa-42e4-81ad-db724d654200	1	28186296	30265687	1174	0.0185
6173c9dd-d1aa-42e4-81ad-db724d654200	1	30266452	30266949	3	-1.8069
6173c9dd-d1aa-42e4-81ad-db724d654200	1	30268649	34626073	2555	0.0255
6173c9dd-d1aa-42e4-81ad-db724d654200	1	34637053	34638890	20	-2.3836
6173c9dd-d1aa-42e4-81ad-db724d654200	1	34648667	72284670	23749	0.02
6173c9dd-d1aa-42e4-81ad-db724d654200	1	72290430	72297687	9	-0.9346
6173c9dd-d1aa-42e4-81ad-db724d654200	1	72302735	72345450	47	0.9236
6173c9dd-d1aa-42e4-81ad-db724d654200	1	72345465	105457777	20942	0.0145
6173c9dd-d1aa-42e4-81ad-db724d654200	1	105458321	105510820	58	-0.2635
6173c9dd-d1aa-42e4-81ad-db724d654200	1	105511711	112145689	4563	0.0239
6173c9dd-d1aa-42e4-81ad-db724d654200	1	112147589	112154768	28	0.4724
6173c9dd-d1aa-42e4-81ad-db724d654200	1	112163334	121597150	5156	0.0245
6173c9dd-d1aa-42e4-81ad-db724d654200	1	121598439	145664420	150	0.2841
6173c9dd-d1aa-42e4-81ad-db724d654200	1	145670653	152583051	2296	0.0279
6173c9dd-d1aa-42e4-81ad-db724d654200	1	152583230	152613762	31	-1.2716
6173c9dd-d1aa-42e4-81ad-db724d654200	1	152613802	196762480	29673	0.0105
6173c9dd-d1aa-42e4-81ad-db724d654200	1	196762956	196769493	2	-2.0249
6173c9dd-d1aa-42e4-81ad-db724d654200	1	196769506	196843377	54	0.2145
6173c9dd-d1aa-42e4-81ad-db724d654200	1	196843400	196846661	2	3.1874
6173c9dd-d1aa-42e4-81ad-db724d654200	1	196847600	202598585	3688	0.0079
6173c9dd-d1aa-42e4-81ad-db724d654200	1	202598658	202599414	2	1.5617
6173c9dd-d1aa-42e4-81ad-db724d654200	1	202599607	209897717	5093	0.0162
6173c9dd-d1aa-42e4-81ad-db724d654200	1	209908268	209908720	2	-1.6006
6173c9dd-d1aa-42e4-81ad-db724d654200	1	209910639	244574087	24245	0.0177
