GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	62920	16864367	8688	-0.2241
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	16868660	16935302	50	-0.6632
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	16935393	72297687	33990	-0.216
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	72302735	72345465	48	0.5691
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	72346221	109690352	23588	-0.2173
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	109690415	109697556	12	-1.3425
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	109702376	111045346	1018	-0.1998
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	111047076	112147704	932	0.0637
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	112153343	112154768	25	0.6087
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	112163334	121601998	5160	0.036
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	121705338	143751380	107	-0.3923
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	143751625	145982165	175	-0.2013
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	145988296	146161924	28	-0.3702
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	146174153	147004967	5	0.153
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	147008051	147289362	194	0.6452
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	147292119	149041886	500	-0.1821
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	149370761	150701971	397	0.5572
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	150703805	151166348	204	0.3919
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151171342	151359541	77	0.5866
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151364223	151373784	18	0.7353
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151374998	151484072	72	1.1086
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151486314	151498967	3	0.3561
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151500420	151544952	35	1.0873
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	151548255	152423239	491	0.8604
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152424116	152540286	87	0.6734
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152541365	152583051	49	0.3578
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152583230	152613802	32	-1.72
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152614064	152614118	3	-0.3578
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152618018	152787202	166	0.3728
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152789447	152796224	37	-0.7391
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152801429	152871451	48	0.3675
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	152872109	153059433	148	0.0246
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	153059503	154086400	582	0.427
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	154088004	154335486	98	0.7695
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	154336165	154951763	376	0.9519
16ea7d3a-3868-44fc-b546-d6cf83520a6b	1	154952953	155353390	173	0.7896
