GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	62920	15823420	8331	0.0049
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	15827002	15828515	10	-1.0418
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	15839166	23631293	4767	0.0108
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	23632431	23633123	2	-1.1179
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	23634378	25088630	776	0.0114
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	25089191	25090270	2	-0.7309
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	25092208	25256850	121	0.0538
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	25266637	25319693	21	0.4979
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	25320198	30265585	2391	0.0052
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	30265657	30266949	5	-0.8332
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	30268649	34626073	2554	0.0102
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	34637053	34637435	6	-0.5735
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	34637541	34637909	4	0.0395
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	34638226	34638890	10	-0.6179
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	34648667	66909523	20387	0.0031
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	66909525	66912141	2	-1.161
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	66912647	72290459	3353	0.0111
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	72290491	72351338	59	0.5078
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	72352916	105290591	20833	0.0014
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	105293108	105294707	2	-1.2536
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	105295673	105476614	105	0.0035
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	105476688	105479753	15	0.503
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	105481433	108187137	1938	0.0102
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	108191613	108192255	2	-3.6091
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	108194874	109684893	696	-0.005
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	109690352	109697556	13	0.935
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	109702376	112147704	1951	-0.001
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	112153343	112154768	25	0.4816
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	112163334	121201569	5077	-0.0005
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	121211648	149904279	1123	0.0702
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	149904572	152583051	1398	0.0082
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	152583230	152614118	35	0.9937
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	152618018	152789447	167	0.0026
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	152789463	152796224	36	0.4123
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	152801429	175660961	15427	0.0002
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	175661387	175673751	13	-0.4182
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	175673776	189679027	9275	-0.0041
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	189679353	189679397	2	-1.7253
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	189682917	196762480	4736	0.0077
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	196762956	196846661	58	-0.4756
e29e9cf3-2e25-48e5-9912-7fa893d03df7	1	196847600	248930189	35800	0.0054
e29e9cf3-2e25-48e5-9912-7fa893d03df7	2	12784	32401205	22568	0.0035
e29e9cf3-2e25-48e5-9912-7fa893d03df7	2	32402929	33096637	438	0.0809
e29e9cf3-2e25-48e5-9912-7fa893d03df7	2	33100455	34466002	1075	0.0015
e29e9cf3-2e25-48e5-9912-7fa893d03df7	2	34474248	34511990	46	-2.0316
e29e9cf3-2e25-48e5-9912-7fa893d03df7	2	34512096	35750907	871	0.018
