GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3796ceec-ef54-4252-97b4-08c0a564a308	1	62920	98602	13	-0.842
3796ceec-ef54-4252-97b4-08c0a564a308	1	259407	16583114	8639	0.0094
3796ceec-ef54-4252-97b4-08c0a564a308	1	16604834	16679239	27	0.4655
3796ceec-ef54-4252-97b4-08c0a564a308	1	16679281	16689764	5	-0.5901
3796ceec-ef54-4252-97b4-08c0a564a308	1	16718963	16864367	22	0.4421
3796ceec-ef54-4252-97b4-08c0a564a308	1	16868660	16949746	54	-0.4122
3796ceec-ef54-4252-97b4-08c0a564a308	1	16951445	72284670	34015	0.0106
3796ceec-ef54-4252-97b4-08c0a564a308	1	72290430	72297687	9	-0.62
3796ceec-ef54-4252-97b4-08c0a564a308	1	72302735	72303253	4	0.0373
3796ceec-ef54-4252-97b4-08c0a564a308	1	72305460	72346757	46	0.306
3796ceec-ef54-4252-97b4-08c0a564a308	1	72351072	105470754	20956	0.0152
3796ceec-ef54-4252-97b4-08c0a564a308	1	105476583	105481448	19	0.6106
3796ceec-ef54-4252-97b4-08c0a564a308	1	105481468	109684893	2635	0.016
3796ceec-ef54-4252-97b4-08c0a564a308	1	109690352	109697556	13	-1.387
3796ceec-ef54-4252-97b4-08c0a564a308	1	109702376	112153343	1952	0.0071
3796ceec-ef54-4252-97b4-08c0a564a308	1	112153465	112154754	23	0.3925
3796ceec-ef54-4252-97b4-08c0a564a308	1	112154768	116651953	2889	0.0225
3796ceec-ef54-4252-97b4-08c0a564a308	1	116657749	116657782	2	-1.4283
3796ceec-ef54-4252-97b4-08c0a564a308	1	116663714	178370370	22072	0.0154
3796ceec-ef54-4252-97b4-08c0a564a308	1	178373684	178374172	2	-1.3503
3796ceec-ef54-4252-97b4-08c0a564a308	1	178377636	182113837	2646	0.019
3796ceec-ef54-4252-97b4-08c0a564a308	1	182115841	182118201	6	-1.0175
3796ceec-ef54-4252-97b4-08c0a564a308	1	182118842	193186662	7303	0.0219
3796ceec-ef54-4252-97b4-08c0a564a308	1	193187149	193187187	2	1.5829
3796ceec-ef54-4252-97b4-08c0a564a308	1	193187202	196742057	2395	0.019
3796ceec-ef54-4252-97b4-08c0a564a308	1	196745692	196847600	64	0.3848
3796ceec-ef54-4252-97b4-08c0a564a308	1	196854187	205107665	5511	0.0207
3796ceec-ef54-4252-97b4-08c0a564a308	1	205110328	205152119	27	0.4789
3796ceec-ef54-4252-97b4-08c0a564a308	1	205153108	248442451	30082	0.0195
3796ceec-ef54-4252-97b4-08c0a564a308	1	248446755	248572774	27	-0.2983
