GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	62920	9308150	4684	-0.0082
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	9309959	9310324	2	-1.819
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	9310744	16909203	4021	-0.0038
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	16909357	16935302	33	0.3582
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	16935393	25256850	5260	-0.0064
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	25266637	25336819	25	0.486
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	25336853	34626073	4950	-0.0099
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	34637053	34649941	22	-0.4917
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	34650960	72303233	23748	-0.0034
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	72303253	72345465	45	0.6727
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	72346221	75585159	1930	-0.0049
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	75589078	75589169	2	-2.3378
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	75593824	81422771	3838	-0.0043
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	81422917	81422920	2	-1.6307
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	81422982	105470754	15164	0.0043
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	105476583	105479753	17	-2.2712
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	105481433	143494500	9782	-0.0028
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	143541857	143554590	16	-0.6951
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	143557234	143574450	5	-1.4656
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	143574592	143928045	104	-0.6535
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	143942271	152583051	2312	-0.0101
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	152583230	152613762	31	-1.972
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	152613802	152614118	4	-0.7586
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	152618018	152789447	167	-0.0515
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	152789463	152796224	36	0.4505
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	152801429	161509648	5248	-0.002
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	161532067	161649222	15	0.5669
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	161649268	196758720	24169	0.0049
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	196761905	196832298	54	-0.6085
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	1	196832312	248930189	35781	-0.0024
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	12784	34466002	24072	0.0016
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	34474248	34512096	47	-0.2942
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	34512489	35750907	870	0.0172
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	35752724	35762881	7	-1.4466
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	35772407	97359885	35990	0.0036
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	97524284	97545726	9	-1.0141
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	97550415	125684646	17008	0.009
4a8cef79-fc3f-49f7-b8e8-88cd5a5e9e51	2	125694074	125694336	2	-2.5884
