GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	62920	259422	15	-0.8872
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	259926	3301765	722	0.2028
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	3302046	12779433	5750	0.0003
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	12792599	12867264	31	0.5645
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	12868035	15823420	1817	-0.0203
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	15827002	15828471	9	0.8443
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	15828515	16915871	381	-0.0027
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	16918718	16997950	51	0.3791
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	16999460	30699627	8014	0.0017
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	30702481	30789158	59	0.3688
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	30789990	37374921	3614	-0.0032
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	37375479	37434814	43	0.3659
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	37436534	54752482	9629	-0.0105
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	54755221	54804685	35	0.3787
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	54804878	72303233	12592	-0.0216
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	72303253	72345465	45	-1.4742
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	72346221	109690352	23603	-0.0241
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	109690415	109697556	12	-1.0189
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	109702376	112153686	1955	-0.0319
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	112153851	112154341	11	0.706
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	112154375	121705338	5170	-0.0086
0ed77b1c-f9a4-4370-9f16-5ea70b7f1e17	1	143459641	152583051	2443	0.3445
