GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
368a97be-432f-400f-b6b2-644d5d06cafe	1	62920	15822848	8337	-0.0007
368a97be-432f-400f-b6b2-644d5d06cafe	1	15823420	15828471	10	0.596
368a97be-432f-400f-b6b2-644d5d06cafe	1	15828515	25256850	5669	0.0013
368a97be-432f-400f-b6b2-644d5d06cafe	1	25266637	25320455	24	0.6419
368a97be-432f-400f-b6b2-644d5d06cafe	1	25336819	34626037	4951	0.0071
368a97be-432f-400f-b6b2-644d5d06cafe	1	34626073	34638890	21	-0.7162
368a97be-432f-400f-b6b2-644d5d06cafe	1	34648667	72284670	23756	0.0005
368a97be-432f-400f-b6b2-644d5d06cafe	1	72290430	72297687	9	-0.9587
368a97be-432f-400f-b6b2-644d5d06cafe	1	72302735	72343689	40	1.4223
368a97be-432f-400f-b6b2-644d5d06cafe	1	72343748	72345465	6	0.658
368a97be-432f-400f-b6b2-644d5d06cafe	1	72346221	75585159	1931	0.0016
368a97be-432f-400f-b6b2-644d5d06cafe	1	75589078	75589169	2	-2.5657
368a97be-432f-400f-b6b2-644d5d06cafe	1	75593824	105470754	19011	0.0019
368a97be-432f-400f-b6b2-644d5d06cafe	1	105476583	105479722	15	-0.4895
368a97be-432f-400f-b6b2-644d5d06cafe	1	105479738	106047551	359	0.0234
368a97be-432f-400f-b6b2-644d5d06cafe	1	106053201	106054202	2	-1.1529
368a97be-432f-400f-b6b2-644d5d06cafe	1	106055905	110836788	3140	0.0077
368a97be-432f-400f-b6b2-644d5d06cafe	1	110836933	110840759	14	0.4272
368a97be-432f-400f-b6b2-644d5d06cafe	1	110840812	112147704	1084	0.0096
368a97be-432f-400f-b6b2-644d5d06cafe	1	112153343	112163334	26	0.4675
368a97be-432f-400f-b6b2-644d5d06cafe	1	112163438	143748012	5256	0.0007
368a97be-432f-400f-b6b2-644d5d06cafe	1	143748074	143760271	20	0.4178
368a97be-432f-400f-b6b2-644d5d06cafe	1	143762042	152583051	2323	0.0035
368a97be-432f-400f-b6b2-644d5d06cafe	1	152583230	152614118	35	0.5218
368a97be-432f-400f-b6b2-644d5d06cafe	1	152618018	152789447	167	0.0078
368a97be-432f-400f-b6b2-644d5d06cafe	1	152789463	152796224	36	0.4789
368a97be-432f-400f-b6b2-644d5d06cafe	1	152801429	169247699	11275	-0.0011
368a97be-432f-400f-b6b2-644d5d06cafe	1	169264736	169272528	7	-2.5813
368a97be-432f-400f-b6b2-644d5d06cafe	1	169273163	174827267	3515	-0.0024
368a97be-432f-400f-b6b2-644d5d06cafe	1	174827418	174832702	16	-0.8028
368a97be-432f-400f-b6b2-644d5d06cafe	1	174832716	196762956	14643	0.0054
368a97be-432f-400f-b6b2-644d5d06cafe	1	196769493	196846661	57	-0.5828
368a97be-432f-400f-b6b2-644d5d06cafe	1	196847600	199142298	1376	0.0006
368a97be-432f-400f-b6b2-644d5d06cafe	1	199142393	199144712	7	-0.8007
368a97be-432f-400f-b6b2-644d5d06cafe	1	199145110	248930189	34425	0.0012
368a97be-432f-400f-b6b2-644d5d06cafe	2	12784	4155597	2986	0.0201
368a97be-432f-400f-b6b2-644d5d06cafe	2	4155990	4176429	44	-0.4438
368a97be-432f-400f-b6b2-644d5d06cafe	2	4182472	34295406	20962	0.0021
368a97be-432f-400f-b6b2-644d5d06cafe	2	34298911	34300513	2	-1.9914
368a97be-432f-400f-b6b2-644d5d06cafe	2	34300900	52527743	13148	0.0098
368a97be-432f-400f-b6b2-644d5d06cafe	2	52531615	52560811	34	-0.5061
368a97be-432f-400f-b6b2-644d5d06cafe	2	52563002	83015115	19768	0.0093
368a97be-432f-400f-b6b2-644d5d06cafe	2	83016904	83019942	3	-1.2784
368a97be-432f-400f-b6b2-644d5d06cafe	2	83023449	87286164	2275	0.0035
368a97be-432f-400f-b6b2-644d5d06cafe	2	87287256	87295819	3	-1.59
368a97be-432f-400f-b6b2-644d5d06cafe	2	87299357	97188422	1770	0.0153
368a97be-432f-400f-b6b2-644d5d06cafe	2	97192190	97211436	15	-0.5642
368a97be-432f-400f-b6b2-644d5d06cafe	2	97310327	97359885	13	0.0996
368a97be-432f-400f-b6b2-644d5d06cafe	2	97524284	97545726	9	0.8048
368a97be-432f-400f-b6b2-644d5d06cafe	2	97550415	106263639	5570	0.0045
368a97be-432f-400f-b6b2-644d5d06cafe	2	106264257	106268901	11	0.5721
368a97be-432f-400f-b6b2-644d5d06cafe	2	106270799	131458124	14710	0.0107
368a97be-432f-400f-b6b2-644d5d06cafe	2	131464435	131468795	3	-1.0411
368a97be-432f-400f-b6b2-644d5d06cafe	2	131472229	146106861	9098	0.0038
368a97be-432f-400f-b6b2-644d5d06cafe	2	146106875	146109366	22	0.969
368a97be-432f-400f-b6b2-644d5d06cafe	2	146120238	212316597	40007	0.0068
368a97be-432f-400f-b6b2-644d5d06cafe	2	212321824	212327402	26	-0.7477
368a97be-432f-400f-b6b2-644d5d06cafe	2	212327434	228892290	10803	0.0057
368a97be-432f-400f-b6b2-644d5d06cafe	2	228894763	228895197	8	-0.6875
368a97be-432f-400f-b6b2-644d5d06cafe	2	228895367	241831203	8066	0.0048
