GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	62920	98602	13	-0.31
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	259407	3259074	708	0.2047
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	3259896	15820897	7594	0.0319
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	15822042	15841360	20	0.3996
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	15843965	16006704	73	0.0064
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	16007074	17277122	580	0.0847
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	17278206	17283656	3	-0.784
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	17284418	21361361	2722	0.0168
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	21361441	21484015	60	0.2533
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	21486587	25088630	2099	0.0303
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	25089191	25090270	2	-1.6672
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	25092208	25256850	120	0.0932
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	25266637	25320455	24	0.5232
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	25336819	34626073	4940	0.0318
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	34637053	34638890	20	-0.5662
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	34648667	72297687	23723	0.0187
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	72302735	72345465	48	-1.194
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	72346221	105476688	20902	0.009
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	105476748	105479753	14	0.6588
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	105481433	107745598	1605	0.0095
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	107746732	107757519	12	-0.4334
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	107759409	109684893	1014	0.0268
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	109690352	109697556	13	0.9178
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	109702376	112147704	1948	0.0176
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	112153343	112154619	23	-0.4533
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	112154754	113224635	687	0.0354
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	113225129	113231359	2	-1.9698
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	113231492	152583051	6898	0.0243
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	152583230	152614064	33	-0.7565
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	152614100	152787202	169	-0.0099
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	152789447	152796224	37	-1.4435
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	152801429	180803572	18739	0.0147
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	180804831	180804994	2	-1.5541
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	180805017	187746723	4681	0.014
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	187748429	187752238	2	-1.8074
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	187755479	193186662	3556	0.0067
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	193187149	193187218	4	-1.2194
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	193190593	196758720	2388	0.019
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	196761905	196843377	58	0.282
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	196843400	196846661	2	-1.8872
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	196847600	222787411	17648	0.0127
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	222788313	222789335	3	-1.9606
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	222790412	245473108	15891	0.0207
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	245473737	245483602	11	-0.8253
7108bf7d-20b6-4537-9ef8-7ed86975de40	1	245486349	248930189	2180	0.0048
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	12784	1373572	901	0.0318
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	1373971	1924995	352	0.1158
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	1925024	34474248	22784	0.0188
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	34476327	34512096	46	-0.404
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	34512489	41011095	4787	0.0052
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	41011303	41015808	18	-0.5373
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	41016199	52527330	8167	0.0104
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	52527342	52527743	6	-1.3688
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	52531615	89305244	22753	0.0102
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	89896149	90228255	128	-2.6116
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	90230139	146106861	30296	0.0092
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	146106875	146109366	22	0.8587
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	146120238	158692934	7493	0.0052
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	158693412	158699363	3	-1.2162
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	158699792	183929673	15728	0.0129
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	183929787	183937714	16	-0.8269
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	183943862	207490614	13633	0.0056
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	207490972	207494612	14	-0.703
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	207494752	228892290	13838	0.012
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	228894763	228895197	8	-1.142
7108bf7d-20b6-4537-9ef8-7ed86975de40	2	228895367	242147305	8181	0.0286
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	20930	8999030	7898	-0.0105
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	8999410	10149571	687	0.0442
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	10151198	10266508	98	0.1996
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	10266642	14966207	3406	0.0261
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	14969608	16199049	780	0.0002
7108bf7d-20b6-4537-9ef8-7ed86975de40	3	16199122	16199672	5	-2.7531
