GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	62920	939652	61	0.1657
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	949392	3420057	753	0.3042
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	3420844	15827002	7520	0.2378
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	15827041	15828515	9	-0.767
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	15839166	16689764	333	0.2441
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	16718963	16787932	18	0.6261
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	16788139	25256850	5320	0.2357
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	25266637	25320455	24	-1.3614
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	25336819	54624527	16005	0.2392
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	54627618	54628716	2	-1.6636
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	54630777	72303233	12726	0.2679
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	72303253	72345465	45	-0.9334
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	72346221	103560608	19996	0.2701
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	103566616	103760781	34	0.5858
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	103760879	105476583	917	0.2631
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	105476614	105479722	14	-0.2897
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	105479738	108223733	1959	0.2636
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	108226680	108274557	2	-2.3497
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	108310648	109684893	676	0.2449
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	109690352	109697556	13	-0.922
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	109702376	112147704	1951	0.2378
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	112153343	112163334	26	0.642
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	112163438	143748421	5260	0.2631
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	143748590	143748793	3	1.2295
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	143748826	146150530	204	0.2536
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	146161924	146250588	3	-0.8889
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	146716041	152789447	2332	0.2602
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	152789463	152796224	36	0.6984
f2f45a0e-2d4d-4f7f-a13e-1472fb2c1a36	1	152801429	162555148	5991	0.2237
