GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	62920	16570326	8640	-0.1751
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	16583114	16643961	27	-0.9279
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	16679239	25256850	5334	-0.1736
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	25266637	25320455	24	0.4301
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	25336819	30268809	2393	-0.1708
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	30269103	30272363	2	-2.1665
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	30274729	54582425	13575	-0.1666
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	54582517	54585140	3	-2.0347
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	54588923	108187137	35671	-0.1876
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	108191613	108194874	3	-4.4813
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	108196482	109690352	696	-0.1309
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	109690415	109697556	12	-0.8958
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	109702376	110833598	836	-0.1688
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	110834746	110845604	39	-1.137
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	110849445	112153571	1079	-0.2005
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	112153651	112154754	21	0.4195
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	112154768	118704196	4153	-0.1821
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	118704311	121601998	1003	0.2857
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	121705338	144458153	138	-0.1991
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	144462189	152583051	2307	0.3481
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	152583230	152613802	32	-1.395
1c3f76ca-a0f5-4b4c-8438-7eea1c5e161f	1	152614064	174827267	15021	0.3036
