GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c802681e-a493-4289-8741-c2df7647c6a3	1	62920	1027585	76	-0.3107
c802681e-a493-4289-8741-c2df7647c6a3	1	1052992	2013116	260	0.0341
c802681e-a493-4289-8741-c2df7647c6a3	1	2016961	16718963	8342	-0.1694
c802681e-a493-4289-8741-c2df7647c6a3	1	16719082	16721984	5	-2.0556
c802681e-a493-4289-8741-c2df7647c6a3	1	16766762	25235596	5305	-0.1738
c802681e-a493-4289-8741-c2df7647c6a3	1	25244339	25320198	31	0.3748
c802681e-a493-4289-8741-c2df7647c6a3	1	25320253	30266949	2393	-0.1588
c802681e-a493-4289-8741-c2df7647c6a3	1	30268649	30272363	4	1.357
c802681e-a493-4289-8741-c2df7647c6a3	1	30274729	34637053	2547	-0.1564
c802681e-a493-4289-8741-c2df7647c6a3	1	34637069	34638890	19	-1.1453
c802681e-a493-4289-8741-c2df7647c6a3	1	34648667	46535258	6543	-0.1644
c802681e-a493-4289-8741-c2df7647c6a3	1	46535324	51798210	2819	-0.6819
c802681e-a493-4289-8741-c2df7647c6a3	1	51798392	51799172	2	-3.729
c802681e-a493-4289-8741-c2df7647c6a3	1	51799845	65876324	10128	-0.6887
c802681e-a493-4289-8741-c2df7647c6a3	1	65878472	72303233	4163	-0.1596
c802681e-a493-4289-8741-c2df7647c6a3	1	72303253	72345465	45	-1.08
c802681e-a493-4289-8741-c2df7647c6a3	1	72346221	78323769	3755	-0.1602
c802681e-a493-4289-8741-c2df7647c6a3	1	78323890	78343374	14	0.5696
c802681e-a493-4289-8741-c2df7647c6a3	1	78347266	94104200	10169	-0.1601
c802681e-a493-4289-8741-c2df7647c6a3	1	94104627	94104662	2	-2.1997
c802681e-a493-4289-8741-c2df7647c6a3	1	94106714	95689161	1196	-0.1464
c802681e-a493-4289-8741-c2df7647c6a3	1	95689188	95690660	5	1.0783
c802681e-a493-4289-8741-c2df7647c6a3	1	95691860	102242320	4093	-0.1574
c802681e-a493-4289-8741-c2df7647c6a3	1	102242961	102313067	46	0.222
c802681e-a493-4289-8741-c2df7647c6a3	1	102314059	105476583	1591	-0.1433
c802681e-a493-4289-8741-c2df7647c6a3	1	105476614	105479722	14	-1.072
c802681e-a493-4289-8741-c2df7647c6a3	1	105479738	109684695	2630	-0.1695
c802681e-a493-4289-8741-c2df7647c6a3	1	109684893	109697556	14	0.7633
c802681e-a493-4289-8741-c2df7647c6a3	1	109702376	112153571	1950	-0.1591
c802681e-a493-4289-8741-c2df7647c6a3	1	112153651	112154619	20	0.5204
c802681e-a493-4289-8741-c2df7647c6a3	1	112154754	143546558	5157	-0.1617
c802681e-a493-4289-8741-c2df7647c6a3	1	143546851	143942271	123	-1.2157
c802681e-a493-4289-8741-c2df7647c6a3	1	144432083	152583051	2307	0.5139
c802681e-a493-4289-8741-c2df7647c6a3	1	152583230	152613762	31	3.3967
c802681e-a493-4289-8741-c2df7647c6a3	1	152613802	152614118	4	1.5909
c802681e-a493-4289-8741-c2df7647c6a3	1	152618018	152778761	158	0.4961
c802681e-a493-4289-8741-c2df7647c6a3	1	152782154	152806082	50	0.798
c802681e-a493-4289-8741-c2df7647c6a3	1	152806100	153699567	616	0.4909
c802681e-a493-4289-8741-c2df7647c6a3	1	153699771	153722864	10	1.1823
c802681e-a493-4289-8741-c2df7647c6a3	1	153723505	155184594	704	0.4424
c802681e-a493-4289-8741-c2df7647c6a3	1	155205866	155307216	64	0.8218
c802681e-a493-4289-8741-c2df7647c6a3	1	155307639	157508748	1088	0.4633
c802681e-a493-4289-8741-c2df7647c6a3	1	157512664	157513157	2	-1.632
c802681e-a493-4289-8741-c2df7647c6a3	1	157513483	187522985	20758	0.4961
c802681e-a493-4289-8741-c2df7647c6a3	1	187523015	194479104	4667	0.5424
c802681e-a493-4289-8741-c2df7647c6a3	1	194482281	194485888	2	-1.486
c802681e-a493-4289-8741-c2df7647c6a3	1	194487886	195863534	870	0.541
c802681e-a493-4289-8741-c2df7647c6a3	1	195867138	195867794	3	2.0525
c802681e-a493-4289-8741-c2df7647c6a3	1	195867900	199437069	2238	0.5567
c802681e-a493-4289-8741-c2df7647c6a3	1	199442108	200172673	481	0.5071
c802681e-a493-4289-8741-c2df7647c6a3	1	200173049	202598144	1588	0.4368
c802681e-a493-4289-8741-c2df7647c6a3	1	202598425	202598658	3	1.9463
c802681e-a493-4289-8741-c2df7647c6a3	1	202599414	206972719	2799	0.4493
