GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8660cd0d-39dd-43d6-9296-1868977e44f1	1	62920	2950583	584	0.09
8660cd0d-39dd-43d6-9296-1868977e44f1	1	2951396	16785682	8109	0.0584
8660cd0d-39dd-43d6-9296-1868977e44f1	1	16787932	16935752	58	-0.3608
8660cd0d-39dd-43d6-9296-1868977e44f1	1	16949746	22488275	3666	0.0625
8660cd0d-39dd-43d6-9296-1868977e44f1	1	22492980	25256800	1595	-0.1082
8660cd0d-39dd-43d6-9296-1868977e44f1	1	25256850	25359294	35	0.3851
8660cd0d-39dd-43d6-9296-1868977e44f1	1	25359353	30268649	2384	-0.1251
8660cd0d-39dd-43d6-9296-1868977e44f1	1	30268809	30272363	3	1.0087
8660cd0d-39dd-43d6-9296-1868977e44f1	1	30274729	34638263	2565	-0.1396
8660cd0d-39dd-43d6-9296-1868977e44f1	1	34638442	34638890	8	-0.9321
8660cd0d-39dd-43d6-9296-1868977e44f1	1	34648667	35873798	559	-0.125
8660cd0d-39dd-43d6-9296-1868977e44f1	1	35874087	46044681	5773	-0.1653
8660cd0d-39dd-43d6-9296-1868977e44f1	1	46046603	46048154	2	1.0511
8660cd0d-39dd-43d6-9296-1868977e44f1	1	46053881	48371665	1405	-0.1731
8660cd0d-39dd-43d6-9296-1868977e44f1	1	48376143	48378940	2	1.2366
8660cd0d-39dd-43d6-9296-1868977e44f1	1	48379809	72303233	16014	-0.1854
8660cd0d-39dd-43d6-9296-1868977e44f1	1	72303253	72351338	49	-0.8427
8660cd0d-39dd-43d6-9296-1868977e44f1	1	72352916	81422771	5769	-0.1818
8660cd0d-39dd-43d6-9296-1868977e44f1	1	81422917	81422920	2	1.8292
8660cd0d-39dd-43d6-9296-1868977e44f1	1	81422982	102350985	13593	-0.1874
8660cd0d-39dd-43d6-9296-1868977e44f1	1	102353061	102353130	2	-1.653
8660cd0d-39dd-43d6-9296-1868977e44f1	1	102353146	109684695	4224	-0.1886
8660cd0d-39dd-43d6-9296-1868977e44f1	1	109684893	109702376	15	0.886
8660cd0d-39dd-43d6-9296-1868977e44f1	1	109703504	120414592	7036	-0.1842
8660cd0d-39dd-43d6-9296-1868977e44f1	1	120885464	121601998	97	0.2448
8660cd0d-39dd-43d6-9296-1868977e44f1	1	121705338	144442098	133	-0.0311
8660cd0d-39dd-43d6-9296-1868977e44f1	1	144442342	152583319	2311	0.3075
8660cd0d-39dd-43d6-9296-1868977e44f1	1	152583408	152613802	29	1.0155
8660cd0d-39dd-43d6-9296-1868977e44f1	1	152614064	152789532	173	0.3004
8660cd0d-39dd-43d6-9296-1868977e44f1	1	152789570	152796224	33	0.7458
8660cd0d-39dd-43d6-9296-1868977e44f1	1	152801429	193186662	27059	0.2982
8660cd0d-39dd-43d6-9296-1868977e44f1	1	193187149	193187202	3	1.6042
8660cd0d-39dd-43d6-9296-1868977e44f1	1	193187218	195851760	1811	0.303
8660cd0d-39dd-43d6-9296-1868977e44f1	1	195856252	195906930	44	-0.1663
8660cd0d-39dd-43d6-9296-1868977e44f1	1	195907075	196745692	540	0.3156
8660cd0d-39dd-43d6-9296-1868977e44f1	1	196745743	196832525	58	0.6492
8660cd0d-39dd-43d6-9296-1868977e44f1	1	196832720	248930189	35811	0.306
8660cd0d-39dd-43d6-9296-1868977e44f1	2	12784	34474248	24085	-0.0235
8660cd0d-39dd-43d6-9296-1868977e44f1	2	34476327	34515732	51	0.4172
