GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
559b3b27-1075-4594-8524-f0c3cff89d2d	1	62920	3054992	640	0.1085
559b3b27-1075-4594-8524-f0c3cff89d2d	1	3055869	12792599	5850	0.0066
559b3b27-1075-4594-8524-f0c3cff89d2d	1	12797714	12817195	21	0.404
559b3b27-1075-4594-8524-f0c3cff89d2d	1	12822696	16488499	2124	0.0001
559b3b27-1075-4594-8524-f0c3cff89d2d	1	16489035	16864367	68	0.1263
559b3b27-1075-4594-8524-f0c3cff89d2d	1	16868660	16951445	55	0.4037
559b3b27-1075-4594-8524-f0c3cff89d2d	1	16955930	25256850	5258	0.0063
559b3b27-1075-4594-8524-f0c3cff89d2d	1	25266637	25320455	24	0.7658
559b3b27-1075-4594-8524-f0c3cff89d2d	1	25336819	33428857	4016	0.0083
559b3b27-1075-4594-8524-f0c3cff89d2d	1	33432565	33433413	3	-1.3191
559b3b27-1075-4594-8524-f0c3cff89d2d	1	33434101	34626073	931	0.0054
559b3b27-1075-4594-8524-f0c3cff89d2d	1	34637053	34638878	19	0.4183
559b3b27-1075-4594-8524-f0c3cff89d2d	1	34638890	54755221	11136	0.008
559b3b27-1075-4594-8524-f0c3cff89d2d	1	54755724	54808979	37	0.2926
559b3b27-1075-4594-8524-f0c3cff89d2d	1	54809137	67525427	9625	-0.0039
559b3b27-1075-4594-8524-f0c3cff89d2d	1	67526399	67527394	3	-1.1293
559b3b27-1075-4594-8524-f0c3cff89d2d	1	67528099	73834305	3914	-0.0038
559b3b27-1075-4594-8524-f0c3cff89d2d	1	73834322	73834333	2	-1.5418
559b3b27-1075-4594-8524-f0c3cff89d2d	1	73839919	75585159	1025	0.0033
559b3b27-1075-4594-8524-f0c3cff89d2d	1	75589078	75589169	2	-3.2947
559b3b27-1075-4594-8524-f0c3cff89d2d	1	75593824	105470754	19016	0.0008
559b3b27-1075-4594-8524-f0c3cff89d2d	1	105476583	105479753	17	-1.9123
559b3b27-1075-4594-8524-f0c3cff89d2d	1	105481433	108187137	1937	-0.006
559b3b27-1075-4594-8524-f0c3cff89d2d	1	108191613	108192255	2	-4.5729
559b3b27-1075-4594-8524-f0c3cff89d2d	1	108194874	109690352	697	0.0235
559b3b27-1075-4594-8524-f0c3cff89d2d	1	109690415	109697556	12	-0.7652
559b3b27-1075-4594-8524-f0c3cff89d2d	1	109702376	112153651	1953	0.0073
559b3b27-1075-4594-8524-f0c3cff89d2d	1	112153686	112154375	13	0.6135
559b3b27-1075-4594-8524-f0c3cff89d2d	1	112154390	121552111	5152	0.0044
559b3b27-1075-4594-8524-f0c3cff89d2d	1	121555193	145716953	182	0.2659
559b3b27-1075-4594-8524-f0c3cff89d2d	1	145719752	146044884	141	0.0119
559b3b27-1075-4594-8524-f0c3cff89d2d	1	146062439	146250588	5	1.0201
559b3b27-1075-4594-8524-f0c3cff89d2d	1	146716041	149904279	732	0.0838
559b3b27-1075-4594-8524-f0c3cff89d2d	1	149904572	152575425	1385	0.0066
559b3b27-1075-4594-8524-f0c3cff89d2d	1	152575461	152583051	16	0.2223
559b3b27-1075-4594-8524-f0c3cff89d2d	1	152583230	152614118	35	0.5306
559b3b27-1075-4594-8524-f0c3cff89d2d	1	152618018	175461719	15460	-0.0012
559b3b27-1075-4594-8524-f0c3cff89d2d	1	175467395	175725225	242	0.1209
559b3b27-1075-4594-8524-f0c3cff89d2d	1	175725368	194734360	12660	-0.0017
559b3b27-1075-4594-8524-f0c3cff89d2d	1	194734400	194741049	4	-1.0759
559b3b27-1075-4594-8524-f0c3cff89d2d	1	194742162	196762956	1311	0.015
559b3b27-1075-4594-8524-f0c3cff89d2d	1	196769493	196832525	53	-0.5237
559b3b27-1075-4594-8524-f0c3cff89d2d	1	196832720	242881689	32015	0.0039
559b3b27-1075-4594-8524-f0c3cff89d2d	1	242884254	242914961	28	0.349
559b3b27-1075-4594-8524-f0c3cff89d2d	1	242917103	242928019	10	-0.2324
559b3b27-1075-4594-8524-f0c3cff89d2d	1	242946559	243105104	30	0.3069
559b3b27-1075-4594-8524-f0c3cff89d2d	1	243105657	246428487	2266	0.0167
559b3b27-1075-4594-8524-f0c3cff89d2d	1	246428932	246431417	4	-0.7748
559b3b27-1075-4594-8524-f0c3cff89d2d	1	246431821	247403573	586	0.0364
559b3b27-1075-4594-8524-f0c3cff89d2d	1	247404621	247404630	2	-2.2954
559b3b27-1075-4594-8524-f0c3cff89d2d	1	247404749	248930189	873	0.0525
559b3b27-1075-4594-8524-f0c3cff89d2d	2	12784	1008744	676	0.0269
559b3b27-1075-4594-8524-f0c3cff89d2d	2	1009030	1880129	537	0.1175
559b3b27-1075-4594-8524-f0c3cff89d2d	2	1880297	14563570	9823	0.0088
559b3b27-1075-4594-8524-f0c3cff89d2d	2	14564825	14569968	12	-1.2068
559b3b27-1075-4594-8524-f0c3cff89d2d	2	14570240	14887765	215	0.0313
559b3b27-1075-4594-8524-f0c3cff89d2d	2	14891898	14922012	27	0.3211
559b3b27-1075-4594-8524-f0c3cff89d2d	2	14922774	24384202	6647	0.001
559b3b27-1075-4594-8524-f0c3cff89d2d	2	24386596	24388259	11	-0.7381
559b3b27-1075-4594-8524-f0c3cff89d2d	2	24388858	34476558	6147	0.0053
559b3b27-1075-4594-8524-f0c3cff89d2d	2	34476604	34512489	44	-0.3348
559b3b27-1075-4594-8524-f0c3cff89d2d	2	34512965	35750907	869	-0.0163
559b3b27-1075-4594-8524-f0c3cff89d2d	2	35752724	35762850	6	-1.5089
559b3b27-1075-4594-8524-f0c3cff89d2d	2	35762881	49305903	9850	0.0057
559b3b27-1075-4594-8524-f0c3cff89d2d	2	49308629	49311506	4	-1.0174
559b3b27-1075-4594-8524-f0c3cff89d2d	2	49314051	50378590	756	0.0155
559b3b27-1075-4594-8524-f0c3cff89d2d	2	50378725	50382903	3	-1.4081
559b3b27-1075-4594-8524-f0c3cff89d2d	2	50383906	52312396	1359	-0.0015
559b3b27-1075-4594-8524-f0c3cff89d2d	2	52312430	52312770	2	-1.3343
559b3b27-1075-4594-8524-f0c3cff89d2d	2	52313501	52527743	160	0.019
559b3b27-1075-4594-8524-f0c3cff89d2d	2	52531615	52554404	33	0.7333
559b3b27-1075-4594-8524-f0c3cff89d2d	2	52560811	55394608	2169	0.0107
559b3b27-1075-4594-8524-f0c3cff89d2d	2	55400503	55400635	2	-1.2345
559b3b27-1075-4594-8524-f0c3cff89d2d	2	55405109	63811577	5036	0.0006
559b3b27-1075-4594-8524-f0c3cff89d2d	2	63819827	63826428	4	-0.9824
559b3b27-1075-4594-8524-f0c3cff89d2d	2	63827643	73306492	6187	0.0017
559b3b27-1075-4594-8524-f0c3cff89d2d	2	73312475	73312699	2	-1.5477
559b3b27-1075-4594-8524-f0c3cff89d2d	2	73314705	73919850	292	0.0157
559b3b27-1075-4594-8524-f0c3cff89d2d	2	73920500	73920691	2	-1.4328
559b3b27-1075-4594-8524-f0c3cff89d2d	2	73923129	77769395	2651	0.0052
559b3b27-1075-4594-8524-f0c3cff89d2d	2	77769526	77769540	2	-1.4517
559b3b27-1075-4594-8524-f0c3cff89d2d	2	77769744	79445329	1128	0.0112
559b3b27-1075-4594-8524-f0c3cff89d2d	2	79447201	79459796	4	-0.9148
559b3b27-1075-4594-8524-f0c3cff89d2d	2	79460126	86710564	4447	0.0024
559b3b27-1075-4594-8524-f0c3cff89d2d	2	86725947	86726731	2	-1.4686
559b3b27-1075-4594-8524-f0c3cff89d2d	2	86743283	86901078	63	0.0291
559b3b27-1075-4594-8524-f0c3cff89d2d	2	86902080	87082140	14	0.5296
559b3b27-1075-4594-8524-f0c3cff89d2d	2	87082711	89011856	709	0.0334
559b3b27-1075-4594-8524-f0c3cff89d2d	2	89012042	94703691	276	0.1578
559b3b27-1075-4594-8524-f0c3cff89d2d	2	94706535	97124542	814	0.0113
559b3b27-1075-4594-8524-f0c3cff89d2d	2	97128607	97643270	85	0.2637
559b3b27-1075-4594-8524-f0c3cff89d2d	2	97645672	130004164	19824	0.0014
559b3b27-1075-4594-8524-f0c3cff89d2d	2	130005319	130271890	62	0.2804
559b3b27-1075-4594-8524-f0c3cff89d2d	2	130278427	132000258	594	0.0108
559b3b27-1075-4594-8524-f0c3cff89d2d	2	132002227	132366126	61	0.2787
559b3b27-1075-4594-8524-f0c3cff89d2d	2	132371593	186124118	33422	-0.0007
559b3b27-1075-4594-8524-f0c3cff89d2d	2	186126409	186128728	4	-1.3954
559b3b27-1075-4594-8524-f0c3cff89d2d	2	186128794	242147305	34494	0.0039
559b3b27-1075-4594-8524-f0c3cff89d2d	3	20930	141230	112	-0.0203
559b3b27-1075-4594-8524-f0c3cff89d2d	3	142563	143853	3	-1.5545
559b3b27-1075-4594-8524-f0c3cff89d2d	3	144336	182919	39	0.1123
559b3b27-1075-4594-8524-f0c3cff89d2d	3	188339	191117	4	-1.2674
559b3b27-1075-4594-8524-f0c3cff89d2d	3	193194	47437019	33338	0.0085
559b3b27-1075-4594-8524-f0c3cff89d2d	3	47450332	47451230	2	-2.5105
559b3b27-1075-4594-8524-f0c3cff89d2d	3	47455724	60834427	8079	0.0057
559b3b27-1075-4594-8524-f0c3cff89d2d	3	60838058	60838650	4	-0.9329
559b3b27-1075-4594-8524-f0c3cff89d2d	3	60838831	60842290	6	0.013
559b3b27-1075-4594-8524-f0c3cff89d2d	3	60843708	60949789	116	0.1808
559b3b27-1075-4594-8524-f0c3cff89d2d	3	60950040	68672892	6084	0.0052
559b3b27-1075-4594-8524-f0c3cff89d2d	3	68674077	68698262	19	0.4699
559b3b27-1075-4594-8524-f0c3cff89d2d	3	68699607	75458243	4905	0.004
559b3b27-1075-4594-8524-f0c3cff89d2d	3	75458741	75523398	25	0.366
559b3b27-1075-4594-8524-f0c3cff89d2d	3	75527410	75547095	7	1.1238
559b3b27-1075-4594-8524-f0c3cff89d2d	3	75559488	75590356	6	0.4466
559b3b27-1075-4594-8524-f0c3cff89d2d	3	75596233	84649683	4970	0.0039
559b3b27-1075-4594-8524-f0c3cff89d2d	3	84649706	84653449	22	0.4835
559b3b27-1075-4594-8524-f0c3cff89d2d	3	84657133	89620865	2862	0.0028
559b3b27-1075-4594-8524-f0c3cff89d2d	3	89622183	89624990	8	-1.0363
559b3b27-1075-4594-8524-f0c3cff89d2d	3	89629449	99174666	3081	0.0056
559b3b27-1075-4594-8524-f0c3cff89d2d	3	99174785	99234917	69	0.2288
559b3b27-1075-4594-8524-f0c3cff89d2d	3	99246033	105586175	3787	-0.0016
559b3b27-1075-4594-8524-f0c3cff89d2d	3	105586555	105587097	2	-1.5653
559b3b27-1075-4594-8524-f0c3cff89d2d	3	105594893	107314617	974	-0.0056
559b3b27-1075-4594-8524-f0c3cff89d2d	3	107316951	107328314	9	0.7315
559b3b27-1075-4594-8524-f0c3cff89d2d	3	107328596	162788742	34234	0.0012
559b3b27-1075-4594-8524-f0c3cff89d2d	3	162790390	162807070	15	-0.621
559b3b27-1075-4594-8524-f0c3cff89d2d	3	162810842	162822221	8	0.4555
559b3b27-1075-4594-8524-f0c3cff89d2d	3	162822685	162822702	2	1.8345
559b3b27-1075-4594-8524-f0c3cff89d2d	3	162827928	162849883	10	-0.6841
559b3b27-1075-4594-8524-f0c3cff89d2d	3	162849938	186668814	14441	0.0052
559b3b27-1075-4594-8524-f0c3cff89d2d	3	186668830	186711219	55	0.2603
559b3b27-1075-4594-8524-f0c3cff89d2d	3	186716473	189642965	2211	-0.0048
559b3b27-1075-4594-8524-f0c3cff89d2d	3	189645889	189646849	11	-0.8966
559b3b27-1075-4594-8524-f0c3cff89d2d	3	189653199	192893525	2316	-0.0017
559b3b27-1075-4594-8524-f0c3cff89d2d	3	192894606	192894779	8	-0.5803
559b3b27-1075-4594-8524-f0c3cff89d2d	3	192895902	193160173	168	0.0409
559b3b27-1075-4594-8524-f0c3cff89d2d	3	193160256	193168646	19	-0.5487
559b3b27-1075-4594-8524-f0c3cff89d2d	3	193168669	195559056	1481	0.0151
559b3b27-1075-4594-8524-f0c3cff89d2d	3	195656271	195746925	42	0.483
559b3b27-1075-4594-8524-f0c3cff89d2d	3	195747311	195929743	78	0.0553
559b3b27-1075-4594-8524-f0c3cff89d2d	3	195934553	195991894	11	0.6053
559b3b27-1075-4594-8524-f0c3cff89d2d	3	195998433	198169247	1079	0.028
559b3b27-1075-4594-8524-f0c3cff89d2d	4	68929	3597723	1439	0.0303
559b3b27-1075-4594-8524-f0c3cff89d2d	4	3598142	3600457	2	-1.76
559b3b27-1075-4594-8524-f0c3cff89d2d	4	3607663	3869335	124	-0.0003
559b3b27-1075-4594-8524-f0c3cff89d2d	4	3873169	4182970	82	0.2221
559b3b27-1075-4594-8524-f0c3cff89d2d	4	4183221	10208766	4058	0.0169
559b3b27-1075-4594-8524-f0c3cff89d2d	4	10221792	10232642	30	-1.5759
559b3b27-1075-4594-8524-f0c3cff89d2d	4	10232984	49214614	25993	0.0019
559b3b27-1075-4594-8524-f0c3cff89d2d	4	49289175	49654496	18	0.6008
559b3b27-1075-4594-8524-f0c3cff89d2d	4	49654578	54631719	1824	-0.0112
559b3b27-1075-4594-8524-f0c3cff89d2d	4	54635559	54635754	3	-1.685
559b3b27-1075-4594-8524-f0c3cff89d2d	4	54639193	56632503	1330	0.0034
559b3b27-1075-4594-8524-f0c3cff89d2d	4	56633100	56637762	2	-2.7111
559b3b27-1075-4594-8524-f0c3cff89d2d	4	56640405	63840033	4428	0.0034
559b3b27-1075-4594-8524-f0c3cff89d2d	4	63841863	63842540	8	-0.9323
559b3b27-1075-4594-8524-f0c3cff89d2d	4	63850713	68354665	2848	0.0043
559b3b27-1075-4594-8524-f0c3cff89d2d	4	68361130	68422424	12	0.7787
559b3b27-1075-4594-8524-f0c3cff89d2d	4	68429081	69272329	404	-0.0556
559b3b27-1075-4594-8524-f0c3cff89d2d	4	69277656	69366081	42	-0.6517
559b3b27-1075-4594-8524-f0c3cff89d2d	4	69366304	171448195	61994	0.0007
559b3b27-1075-4594-8524-f0c3cff89d2d	4	171453733	171456137	7	1.1611
559b3b27-1075-4594-8524-f0c3cff89d2d	4	171456293	172370814	574	0.0205
559b3b27-1075-4594-8524-f0c3cff89d2d	4	172387728	172390861	2	-1.4209
559b3b27-1075-4594-8524-f0c3cff89d2d	4	172393182	177996022	3432	-0.0001
559b3b27-1075-4594-8524-f0c3cff89d2d	4	178001552	178001589	2	-2.1626
559b3b27-1075-4594-8524-f0c3cff89d2d	4	178001853	188195233	7269	0.021
559b3b27-1075-4594-8524-f0c3cff89d2d	4	188196287	188217530	11	-0.828
559b3b27-1075-4594-8524-f0c3cff89d2d	4	188217645	189267889	853	0.031
559b3b27-1075-4594-8524-f0c3cff89d2d	4	189273964	189278110	4	-2.1384
559b3b27-1075-4594-8524-f0c3cff89d2d	4	189278617	190106768	350	0.0962
559b3b27-1075-4594-8524-f0c3cff89d2d	5	15532	670630	300	0.0942
559b3b27-1075-4594-8524-f0c3cff89d2d	5	676334	779766	34	0.7978
559b3b27-1075-4594-8524-f0c3cff89d2d	5	800724	1869823	580	0.0929
559b3b27-1075-4594-8524-f0c3cff89d2d	5	1871766	12588576	9162	0.0032
559b3b27-1075-4594-8524-f0c3cff89d2d	5	12588908	12791608	112	0.079
559b3b27-1075-4594-8524-f0c3cff89d2d	5	12800777	12838421	15	-1.183
559b3b27-1075-4594-8524-f0c3cff89d2d	5	12849089	21433487	5498	-0.0013
559b3b27-1075-4594-8524-f0c3cff89d2d	5	21434746	21452387	17	0.5189
559b3b27-1075-4594-8524-f0c3cff89d2d	5	21454830	46101755	14917	-0.0039
559b3b27-1075-4594-8524-f0c3cff89d2d	5	46102589	50264459	81	0.2796
559b3b27-1075-4594-8524-f0c3cff89d2d	5	50265025	55648434	3372	-0.0084
559b3b27-1075-4594-8524-f0c3cff89d2d	5	55648442	55652905	2	-1.5056
559b3b27-1075-4594-8524-f0c3cff89d2d	5	55653361	59008327	2433	-0.0033
559b3b27-1075-4594-8524-f0c3cff89d2d	5	59008560	59008878	3	-1.4786
559b3b27-1075-4594-8524-f0c3cff89d2d	5	59008903	69533520	6550	-0.0029
559b3b27-1075-4594-8524-f0c3cff89d2d	5	69550476	70959079	18	0.5643
559b3b27-1075-4594-8524-f0c3cff89d2d	5	71010832	101851386	18011	-0.0055
559b3b27-1075-4594-8524-f0c3cff89d2d	5	101853816	101870500	27	0.339
559b3b27-1075-4594-8524-f0c3cff89d2d	5	101870907	111105508	5678	-0.0075
559b3b27-1075-4594-8524-f0c3cff89d2d	5	111105740	111106791	3	-1.2195
559b3b27-1075-4594-8524-f0c3cff89d2d	5	111107216	140839137	19030	-0.0022
559b3b27-1075-4594-8524-f0c3cff89d2d	5	140844251	140874202	15	-0.5505
559b3b27-1075-4594-8524-f0c3cff89d2d	5	140874401	152135909	7543	-0.0032
559b3b27-1075-4594-8524-f0c3cff89d2d	5	152135923	152137227	7	-0.8886
559b3b27-1075-4594-8524-f0c3cff89d2d	5	152138502	156049910	2666	0.0019
559b3b27-1075-4594-8524-f0c3cff89d2d	5	156049988	156055719	12	-0.7032
559b3b27-1075-4594-8524-f0c3cff89d2d	5	156068240	156993692	624	0.0006
559b3b27-1075-4594-8524-f0c3cff89d2d	5	156994920	156999228	5	-1.2007
