GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	62920	3220294	701	0.098
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	3221349	10307286	4460	0.0075
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	10310344	10321714	19	0.4286
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	10321730	16518437	3456	-0.0053
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	16525019	16689764	38	0.1767
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	16718963	16766922	8	0.6733
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	16767520	16891412	24	0.1939
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	16898475	25256850	5304	-0.0035
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	25266637	25292440	16	0.7651
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	25292549	72303233	28734	0.0002
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	72303253	72345465	45	-1.1974
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	72346221	109690352	23599	0.0013
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	109690415	109697556	12	-1.3471
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	109702376	112147704	1951	-0.0016
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	112153343	112154768	25	0.4805
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	112163334	120885464	5063	0.0054
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	120885477	120954128	2	1.3901
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	120954165	143545399	99	0.0288
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	143546558	143942271	124	0.1997
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	144432083	152789570	2520	0.0272
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	152789781	152796224	32	0.5085
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	152801429	169247699	11271	0.004
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	169264736	169272528	7	0.7281
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	169273163	178688268	6040	0.0049
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	178688746	178699977	35	0.319
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	178700417	179361393	531	-0.0102
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	179362247	179364180	3	-1.1557
e9c3cdc8-de82-4f34-8ed5-cdad77bc49ca	1	179370071	194479104	10103	0.0015
