GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	62920	15823420	8327	0.0423
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	15827002	15828471	9	-1.8054
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	15828515	40555364	13840	0.0568
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	40556404	40562538	4	-1.3032
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	40563254	48667989	4738	0.0677
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	48668214	48668918	2	-1.2836
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	48669266	72284670	15814	0.0714
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	72290430	72297687	9	-0.6588
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	72302735	75585159	1977	0.0849
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	75589078	75589169	2	-2.1686
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	75593824	103560608	18064	0.0781
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	103566616	103760781	34	0.6786
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	103760879	105476583	918	0.0852
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	105476614	105479753	16	-2.6919
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	105481433	108223733	1955	0.0822
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	108226680	108274557	2	1.3311
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	108310648	112153931	2647	0.0747
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	112153950	112154768	16	0.5208
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	112163334	121485184	5107	0.075
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	121487879	143714499	144	0.266
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	143714665	143754062	19	0.7285
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	143754077	152583051	2328	0.2127
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	152583230	152613802	32	-2.1721
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	152614064	152787202	169	0.1353
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	152789447	152796224	37	-0.1994
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	152801429	158896783	3613	0.199
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	158898711	158899969	2	2.3722
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	158905028	179354603	14277	0.2011
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	179361393	179370071	5	-0.7746
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	179370127	195861642	10979	0.2103
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	195861806	195867794	5	-1.1366
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	195867900	196762956	580	0.2368
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	196769493	196772186	11	-0.4479
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	196772237	199138574	1420	0.2248
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	199142235	199143343	6	0.9617
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	199143396	209897717	7397	0.1976
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	209908268	209913207	4	1.0312
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	209920149	212826477	1944	0.1973
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	212831113	212837094	8	-0.6521
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	212841111	227237600	9710	0.1986
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	227238371	227238705	3	-1.1208
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	227241477	229675422	1377	0.204
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	229681109	229684449	3	-3.9322
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	229684709	240228440	8108	0.2004
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	240230715	240230839	6	0.9611
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	240232805	248471839	5668	0.1945
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	248473963	248574146	18	-0.1349
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	248585893	248633912	32	-0.5905
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	1	248645563	248930189	140	0.2254
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	12784	1287127	841	0.0133
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	1287324	1289488	2	-1.599
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	1289899	4166274	2139	0.011
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	4166610	4175059	33	0.4503
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	4175113	13060284	6971	0.0338
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	13062181	13140124	42	0.6561
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	13142715	34476327	14038	0.0331
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	34476516	34511446	43	0.4983
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	34511990	37829329	2520	0.0441
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	37829808	37830150	2	-1.7116
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	37831944	52527743	10475	0.0467
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	52531615	52554404	33	0.8128
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	52560811	77749622	16278	0.0383
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	77750052	77759560	6	-0.9654
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	77762186	96719417	7315	0.0472
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	96727785	97107704	164	0.1757
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	97110486	97139934	11	0.7319
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	97141095	97535071	53	0.1218
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	97537802	97624729	21	0.661
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	97627711	114782017	10072	0.1796
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	114782028	114784339	8	0.8982
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	114784441	127100187	7831	0.1766
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	127100370	127101070	2	-1.2303
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	127103254	130036283	1915	0.1783
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	130036310	130116915	13	-0.4656
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	130117303	146104517	9527	0.1889
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	146106836	146109366	24	-1.9608
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	146120238	163780342	10582	0.1903
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	163786978	163790132	6	-1.1235
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	163792152	172685285	5481	0.1835
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	172685440	172691308	4	-0.9009
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	172694340	183220725	6758	0.1807
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	183221060	183224996	9	-0.8262
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	183229270	228397576	27694	0.1899
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	228399698	228401658	2	-1.3261
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	228404140	241780061	8345	0.1654
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	241780390	241841244	14	0.0196
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	241973315	241999624	27	-1.568
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	241999739	242030314	27	-0.7163
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	242031343	242092368	48	-1.3992
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	2	242095460	242147305	24	0.1909
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	20930	26204922	19740	-0.1159
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	26205084	26205510	2	-1.9642
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	26205927	46008216	12905	-0.1136
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	46008344	46010221	2	-2.3091
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	46010251	52994359	3013	-0.1194
d4b60e69-35ab-49d1-ad0e-3682ac7f1b0f	3	52997720	52998009	11	0.6611
